Date,CYBR
2022-02-28,170.13999938964844
2022-03-01,167.22000122070312
2022-03-02,168.97999572753906
2022-03-03,165.66000366210938
2022-03-04,160.24000549316406
2022-03-07,151.80999755859375
2022-03-08,150.05999755859375
2022-03-09,160.2899932861328
2022-03-10,157.52000427246094
2022-03-11,150.14999389648438
2022-03-14,142.02999877929688
2022-03-15,144.77000427246094
2022-03-16,150.0399932861328
2022-03-17,152.3300018310547
2022-03-18,157.0
2022-03-21,158.8300018310547
2022-03-22,167.85000610351562
2022-03-23,170.0
2022-03-24,169.75
2022-03-25,167.27000427246094
2022-03-28,166.97999572753906
2022-03-29,171.0800018310547
2022-03-30,168.94000244140625
2022-03-31,168.75
2022-04-01,169.97999572753906
2022-04-04,174.27999877929688
2022-04-05,173.35000610351562
2022-04-06,164.08999633789062
2022-04-07,165.3800048828125
2022-04-08,164.02999877929688
2022-04-11,174.25999450683594
2022-04-12,169.63999938964844
2022-04-13,175.42999267578125
2022-04-14,172.5800018310547
2022-04-18,168.17999267578125
2022-04-19,175.80999755859375
2022-04-20,174.8699951171875
2022-04-21,163.1300048828125
2022-04-22,160.3699951171875
2022-04-25,164.6699981689453
2022-04-26,158.7100067138672
2022-04-27,157.5
2022-04-28,160.57000732421875
2022-04-29,157.13999938964844
2022-05-02,158.60000610351562
2022-05-03,156.36000061035156
2022-05-04,155.3800048828125
2022-05-05,142.41000366210938
2022-05-06,126.37999725341797
2022-05-09,112.86000061035156
2022-05-10,116.62000274658203
2022-05-11,107.33000183105469
2022-05-12,120.5
2022-05-13,133.57000732421875
2022-05-16,130.14999389648438
2022-05-17,130.63999938964844
2022-05-18,125.44000244140625
2022-05-19,128.3699951171875
2022-05-20,132.6699981689453
2022-05-23,137.2899932861328
2022-05-24,132.22000122070312
2022-05-25,134.44000244140625
2022-05-26,137.5500030517578
2022-05-27,146.16000366210938
2022-05-31,138.89999389648438
2022-06-01,137.32000732421875
2022-06-02,146.16000366210938
2022-06-03,143.66000366210938
2022-06-06,140.63999938964844
2022-06-07,144.89999389648438
2022-06-08,143.27000427246094
2022-06-09,139.11000061035156
2022-06-10,132.7100067138672
2022-06-13,121.5
2022-06-14,119.47000122070312
2022-06-15,127.97000122070312
2022-06-16,118.51000213623047
2022-06-17,125.62999725341797
2022-06-21,128.36000061035156
2022-06-22,128.19000244140625
2022-06-23,137.1999969482422
2022-06-24,142.8000030517578
2022-06-27,137.52000427246094
2022-06-28,132.47000122070312
2022-06-29,132.2100067138672
2022-06-30,127.95999908447266
2022-07-01,130.8300018310547
2022-07-05,137.27000427246094
2022-07-06,136.7899932861328
2022-07-07,142.57000732421875
2022-07-08,139.6300048828125
2022-07-11,135.6199951171875
2022-07-12,128.86000061035156
2022-07-13,128.1699981689453
2022-07-14,125.61000061035156
2022-07-15,126.80999755859375
2022-07-18,128.19000244140625
2022-07-19,135.4199981689453
2022-07-20,140.5
2022-07-21,143.0500030517578
2022-07-22,139.72000122070312
2022-07-25,137.3300018310547
2022-07-26,131.1300048828125
2022-07-27,128.97000122070312
2022-07-28,129.0800018310547
2022-07-29,130.1300048828125
2022-08-01,130.1300048828125
2022-08-02,133.72000122070312
2022-08-03,141.1300048828125
2022-08-04,136.74000549316406
2022-08-05,136.44000244140625
2022-08-08,137.75
2022-08-09,138.4499969482422
2022-08-10,149.74000549316406
2022-08-11,145.58999633789062
2022-08-12,147.0800018310547
2022-08-15,150.39999389648438
2022-08-16,152.8699951171875
2022-08-17,151.02999877929688
2022-08-18,152.5800018310547
2022-08-19,151.0399932861328
2022-08-22,145.1999969482422
2022-08-23,148.41000366210938
2022-08-24,150.1300048828125
2022-08-25,153.8000030517578
2022-08-26,148.25
2022-08-29,145.00999450683594
2022-08-30,145.19000244140625
2022-08-31,144.27999877929688
2022-09-01,138.72999572753906
2022-09-02,137.50999450683594
2022-09-06,137.25
2022-09-07,142.5
2022-09-08,145.36000061035156
2022-09-09,153.5
2022-09-12,155.5800018310547
2022-09-13,152.24000549316406
2022-09-14,151.57000732421875
2022-09-15,153.1999969482422
2022-09-16,151.19000244140625
2022-09-19,155.3000030517578
2022-09-20,154.11000061035156
2022-09-21,155.07000732421875
2022-09-22,147.88999938964844
2022-09-23,146.1199951171875
2022-09-26,147.02999877929688
2022-09-27,150.72000122070312
2022-09-28,151.99000549316406
2022-09-29,149.16000366210938
2022-09-30,149.94000244140625
2022-10-03,149.02999877929688
2022-10-04,157.05999755859375
2022-10-05,160.0
2022-10-06,158.8699951171875
2022-10-07,149.3300018310547
2022-10-10,137.97999572753906
2022-10-11,140.33999633789062
2022-10-12,140.49000549316406
2022-10-13,140.36000061035156
2022-10-14,134.50999450683594
2022-10-17,142.75
2022-10-18,149.60000610351562
2022-10-19,149.0399932861328
2022-10-20,149.52000427246094
2022-10-21,150.1199951171875
2022-10-24,148.77000427246094
2022-10-25,156.19000244140625
2022-10-26,151.7899932861328
2022-10-27,156.94000244140625
2022-10-28,156.97000122070312
2022-10-31,156.91000366210938
2022-11-01,146.3699951171875
2022-11-02,135.55999755859375
2022-11-03,150.5
2022-11-04,143.5500030517578
2022-11-07,138.9600067138672
2022-11-08,146.0
2022-11-09,145.4600067138672
2022-11-10,153.6999969482422
2022-11-11,160.02999877929688
2022-11-14,157.3800048828125
2022-11-15,162.47999572753906
2022-11-16,153.17999267578125
2022-11-17,149.88999938964844
2022-11-18,148.89999389648438
2022-11-21,149.22999572753906
2022-11-22,150.1999969482422
2022-11-23,153.41000366210938
2022-11-25,153.02999877929688
2022-11-28,150.49000549316406
