Date,PCTY
2022-02-28,212.44000244140625
2022-03-01,206.52000427246094
2022-03-02,206.72000122070312
2022-03-03,198.52999877929688
2022-03-04,193.5800018310547
2022-03-07,184.33999633789062
2022-03-08,182.27999877929688
2022-03-09,197.02000427246094
2022-03-10,195.9499969482422
2022-03-11,189.5500030517578
2022-03-14,182.8699951171875
2022-03-15,189.58999633789062
2022-03-16,198.75999450683594
2022-03-17,203.32000732421875
2022-03-18,213.6999969482422
2022-03-21,209.0
2022-03-22,214.2899932861328
2022-03-23,206.6699981689453
2022-03-24,208.5800018310547
2022-03-25,202.82000732421875
2022-03-28,205.9600067138672
2022-03-29,211.97000122070312
2022-03-30,207.3300018310547
2022-03-31,205.77000427246094
2022-04-01,209.8300018310547
2022-04-04,216.4600067138672
2022-04-05,209.5800018310547
2022-04-06,205.52000427246094
2022-04-07,206.88999938964844
2022-04-08,202.9600067138672
2022-04-11,201.7899932861328
2022-04-12,201.55999755859375
2022-04-13,205.41000366210938
2022-04-14,200.35000610351562
2022-04-18,197.13999938964844
2022-04-19,203.27999877929688
2022-04-20,199.92999267578125
2022-04-21,190.89999389648438
2022-04-22,191.6699981689453
2022-04-25,196.86000061035156
2022-04-26,186.38999938964844
2022-04-27,189.19000244140625
2022-04-28,197.02999877929688
2022-04-29,189.6300048828125
2022-05-02,194.5800018310547
2022-05-03,194.4499969482422
2022-05-04,209.39999389648438
2022-05-05,188.8699951171875
2022-05-06,181.5800018310547
2022-05-09,165.3800048828125
2022-05-10,174.6699981689453
2022-05-11,160.75
2022-05-12,160.6699981689453
2022-05-13,169.97999572753906
2022-05-16,162.5
2022-05-17,167.97000122070312
2022-05-18,159.42999267578125
2022-05-19,158.58999633789062
2022-05-20,161.7100067138672
2022-05-23,167.75999450683594
2022-05-24,163.14999389648438
2022-05-25,168.0
2022-05-26,171.24000549316406
2022-05-27,178.4600067138672
2022-05-31,174.86000061035156
2022-06-01,175.08999633789062
2022-06-02,186.24000549316406
2022-06-03,182.1699981689453
2022-06-06,183.27999877929688
2022-06-07,187.33999633789062
2022-06-08,184.44000244140625
2022-06-09,179.94000244140625
2022-06-10,173.4199981689453
2022-06-13,161.47999572753906
2022-06-14,161.5
2022-06-15,164.32000732421875
2022-06-16,154.3000030517578
2022-06-17,160.08999633789062
2022-06-21,163.85000610351562
2022-06-22,168.27999877929688
2022-06-23,178.0399932861328
2022-06-24,185.22000122070312
2022-06-27,185.0500030517578
2022-06-28,177.22999572753906
2022-06-29,177.6999969482422
2022-06-30,174.4199981689453
2022-07-01,177.85000610351562
2022-07-05,189.41000366210938
2022-07-06,191.97999572753906
2022-07-07,198.4199981689453
2022-07-08,195.4499969482422
2022-07-11,187.0500030517578
2022-07-12,176.14999389648438
2022-07-13,171.0800018310547
2022-07-14,171.3300018310547
2022-07-15,180.5399932861328
2022-07-18,177.80999755859375
2022-07-19,183.4499969482422
2022-07-20,196.44000244140625
2022-07-21,199.32000732421875
2022-07-22,195.52000427246094
2022-07-25,191.8000030517578
2022-07-26,186.9600067138672
2022-07-27,196.89999389648438
2022-07-28,202.8300018310547
2022-07-29,205.92999267578125
2022-08-01,206.52999877929688
2022-08-02,211.39999389648438
2022-08-03,225.3699951171875
2022-08-04,226.4600067138672
2022-08-05,255.25999450683594
2022-08-08,260.79998779296875
2022-08-09,261.1199951171875
2022-08-10,271.0799865722656
2022-08-11,257.6099853515625
2022-08-12,264.94000244140625
2022-08-15,272.239990234375
2022-08-16,271.7699890136719
2022-08-17,269.17999267578125
2022-08-18,266.4800109863281
2022-08-19,258.1400146484375
2022-08-22,248.4199981689453
2022-08-23,246.99000549316406
2022-08-24,246.9600067138672
2022-08-25,249.8800048828125
2022-08-26,245.77000427246094
2022-08-29,241.33999633789062
2022-08-30,242.25
2022-08-31,241.0
2022-09-01,237.0
2022-09-02,235.77000427246094
2022-09-06,238.25
2022-09-07,246.58999633789062
2022-09-08,249.89999389648438
2022-09-09,258.45001220703125
2022-09-12,261.4700012207031
2022-09-13,254.75999450683594
2022-09-14,257.5799865722656
2022-09-15,253.27999877929688
2022-09-16,248.8000030517578
2022-09-19,253.86000061035156
2022-09-20,250.41000366210938
2022-09-21,249.19000244140625
2022-09-22,241.47999572753906
2022-09-23,236.5800018310547
2022-09-26,232.47999572753906
2022-09-27,241.44000244140625
2022-09-28,251.47000122070312
2022-09-29,246.38999938964844
2022-09-30,241.5800018310547
2022-10-03,243.67999267578125
2022-10-04,252.3300018310547
2022-10-05,261.3299865722656
