Date,COO
2022-02-28,102.25499725341797
2022-03-01,102.82499694824219
2022-03-02,103.93250274658203
2022-03-03,104.28500366210938
2022-03-04,106.13500213623047
2022-03-07,100.30249786376953
2022-03-08,95.09750366210938
2022-03-09,96.68250274658203
2022-03-10,96.32499694824219
2022-03-11,94.98999786376953
2022-03-14,95.45249938964844
2022-03-15,97.61750030517578
2022-03-16,101.77999877929688
2022-03-17,104.45500183105469
2022-03-18,105.32749938964844
2022-03-21,104.51750183105469
2022-03-22,104.65249633789062
2022-03-23,101.77999877929688
2022-03-24,102.98500061035156
2022-03-25,102.10250091552734
2022-03-28,103.1875
2022-03-29,104.40249633789062
2022-03-30,105.3499984741211
2022-03-31,104.39749908447266
2022-04-01,107.1050033569336
2022-04-04,104.33000183105469
2022-04-05,105.12999725341797
2022-04-06,104.90499877929688
2022-04-07,103.99500274658203
2022-04-08,102.86250305175781
2022-04-11,101.73999786376953
2022-04-12,100.7125015258789
2022-04-13,101.15249633789062
2022-04-14,99.90499877929688
2022-04-18,98.80500030517578
2022-04-19,102.69249725341797
2022-04-20,104.6449966430664
2022-04-21,102.36250305175781
2022-04-22,97.72750091552734
2022-04-25,98.51499938964844
2022-04-26,95.66999816894531
2022-04-27,94.34500122070312
2022-04-28,93.29000091552734
2022-04-29,90.26000213623047
2022-05-02,89.26000213623047
2022-05-03,88.52249908447266
2022-05-04,90.62000274658203
2022-05-05,86.97250366210938
2022-05-06,84.38749694824219
2022-05-09,77.90249633789062
2022-05-10,79.25749969482422
2022-05-11,79.0199966430664
2022-05-12,79.41500091552734
2022-05-13,81.94750213623047
2022-05-16,81.97750091552734
2022-05-17,85.0625
2022-05-18,83.44000244140625
2022-05-19,84.66999816894531
2022-05-20,85.30249786376953
2022-05-23,84.68000030517578
2022-05-24,85.26249694824219
2022-05-25,84.95999908447266
2022-05-26,85.92749786376953
2022-05-27,88.0425033569336
2022-05-31,87.68499755859375
2022-06-01,85.80249786376953
2022-06-02,88.20249938964844
2022-06-03,85.56749725341797
2022-06-06,86.15249633789062
2022-06-07,86.87750244140625
2022-06-08,86.01499938964844
2022-06-09,84.26750183105469
2022-06-10,83.0875015258789
2022-06-13,80.0374984741211
2022-06-14,78.7300033569336
