Date,XP
2022-02-28,32.34000015258789
2022-03-01,31.6299991607666
2022-03-02,31.760000228881836
2022-03-03,31.100000381469727
2022-03-04,29.209999084472656
2022-03-07,26.510000228881836
2022-03-08,28.010000228881836
2022-03-09,31.40999984741211
2022-03-10,30.989999771118164
2022-03-11,29.56999969482422
2022-03-14,28.329999923706055
2022-03-15,29.139999389648438
2022-03-16,31.450000762939453
2022-03-17,31.3700008392334
2022-03-18,32.40999984741211
2022-03-21,32.33000183105469
2022-03-22,33.13999938964844
2022-03-23,31.31999969482422
2022-03-24,32.29999923706055
2022-03-25,32.119998931884766
2022-03-28,32.060001373291016
2022-03-29,33.5
2022-03-30,31.18000030517578
2022-03-31,30.100000381469727
2022-04-01,30.969999313354492
2022-04-04,31.739999771118164
2022-04-05,31.299999237060547
2022-04-06,30.5
2022-04-07,30.709999084472656
2022-04-08,29.860000610351562
2022-04-11,29.610000610351562
2022-04-12,28.8700008392334
2022-04-13,29.100000381469727
2022-04-14,28.200000762939453
2022-04-18,27.479999542236328
2022-04-19,28.149999618530273
2022-04-20,28.149999618530273
2022-04-21,26.649999618530273
2022-04-22,25.56999969482422
2022-04-25,25.989999771118164
2022-04-26,24.75
2022-04-27,23.950000762939453
2022-04-28,24.989999771118164
2022-04-29,24.610000610351562
2022-05-02,24.15999984741211
2022-05-03,23.59000015258789
2022-05-04,21.829999923706055
2022-05-05,21.43000030517578
2022-05-06,20.139999389648438
2022-05-09,18.93000030517578
2022-05-10,18.649999618530273
2022-05-11,18.09000015258789
2022-05-12,19.579999923706055
2022-05-13,20.239999771118164
2022-05-16,19.09000015258789
2022-05-17,20.0
2022-05-18,19.229999542236328
2022-05-19,20.850000381469727
2022-05-20,21.3700008392334
2022-05-23,21.700000762939453
2022-05-24,20.719999313354492
2022-05-25,21.239999771118164
2022-05-26,22.610000610351562
2022-05-27,23.440000534057617
2022-05-31,22.610000610351562
2022-06-01,21.780000686645508
2022-06-02,23.239999771118164
2022-06-03,22.719999313354492
2022-06-06,22.829999923706055
2022-06-07,23.700000762939453
2022-06-08,22.739999771118164
2022-06-09,22.139999389648438
2022-06-10,20.450000762939453
2022-06-13,18.989999771118164
2022-06-14,18.850000381469727
2022-06-15,19.530000686645508
2022-06-16,18.68000030517578
2022-06-17,18.780000686645508
2022-06-21,18.989999771118164
2022-06-22,19.110000610351562
2022-06-23,19.479999542236328
2022-06-24,19.739999771118164
2022-06-27,19.850000381469727
2022-06-28,18.670000076293945
2022-06-29,18.290000915527344
2022-06-30,17.959999084472656
2022-07-01,17.8799991607666
2022-07-05,18.65999984741211
2022-07-06,18.059999465942383
2022-07-07,18.479999542236328
2022-07-08,18.489999771118164
2022-07-11,17.329999923706055
2022-07-12,17.850000381469727
2022-07-13,17.899999618530273
2022-07-14,17.010000228881836
2022-07-15,17.530000686645508
2022-07-18,17.559999465942383
2022-07-19,18.239999771118164
2022-07-20,18.479999542236328
2022-07-21,19.139999389648438
2022-07-22,18.68000030517578
2022-07-25,18.8799991607666
2022-07-26,18.549999237060547
2022-07-27,20.059999465942383
2022-07-28,20.530000686645508
2022-07-29,21.100000381469727
2022-08-01,21.989999771118164
2022-08-02,21.93000030517578
2022-08-03,23.049999237060547
2022-08-04,23.43000030517578
2022-08-05,23.770000457763672
2022-08-08,24.65999984741211
2022-08-09,23.65999984741211
2022-08-10,20.530000686645508
2022-08-11,18.770000457763672
2022-08-12,19.690000534057617
2022-08-15,21.850000381469727
2022-08-16,21.040000915527344
2022-08-17,21.229999542236328
2022-08-18,21.329999923706055
2022-08-19,20.3799991607666
2022-08-22,19.479999542236328
2022-08-23,21.6200008392334
2022-08-24,22.43000030517578
2022-08-25,22.1200008392334
2022-08-26,21.31999969482422
2022-08-29,20.780000686645508
2022-08-30,19.75
2022-08-31,19.239999771118164
2022-09-01,19.350000381469727
