Date,AMGN
2022-02-28,226.47999572753906
2022-03-01,225.2100067138672
2022-03-02,228.58999633789062
2022-03-03,232.63999938964844
2022-03-04,232.91000366210938
2022-03-07,234.36000061035156
2022-03-08,231.10000610351562
2022-03-09,231.4600067138672
2022-03-10,226.9499969482422
2022-03-11,228.85000610351562
2022-03-14,229.2100067138672
2022-03-15,231.55999755859375
2022-03-16,231.6699981689453
2022-03-17,235.86000061035156
2022-03-18,236.25
2022-03-21,236.32000732421875
2022-03-22,236.47000122070312
2022-03-23,234.17999267578125
2022-03-24,236.8699951171875
2022-03-25,238.7899932861328
2022-03-28,240.47000122070312
2022-03-29,241.5399932861328
2022-03-30,242.57000732421875
2022-03-31,241.82000732421875
2022-04-01,243.1199951171875
2022-04-04,244.8699951171875
2022-04-05,244.55999755859375
2022-04-06,249.92999267578125
2022-04-07,251.63999938964844
2022-04-08,252.02000427246094
2022-04-11,250.8699951171875
2022-04-12,250.0399932861328
2022-04-13,253.50999450683594
2022-04-14,254.02000427246094
2022-04-18,251.92999267578125
2022-04-19,253.3699951171875
2022-04-20,255.3800048828125
2022-04-21,255.4600067138672
2022-04-22,250.35000610351562
2022-04-25,252.1699981689453
2022-04-26,249.8699951171875
2022-04-27,248.7899932861328
2022-04-28,238.1300048828125
2022-04-29,233.19000244140625
2022-05-02,230.9199981689453
2022-05-03,232.19000244140625
2022-05-04,236.10000610351562
2022-05-05,234.35000610351562
2022-05-06,236.5
2022-05-09,239.24000549316406
2022-05-10,240.7100067138672
2022-05-11,240.63999938964844
2022-05-12,244.72000122070312
2022-05-13,243.39999389648438
2022-05-16,243.8699951171875
2022-05-17,245.35000610351562
2022-05-18,243.9600067138672
2022-05-19,244.77000427246094
2022-05-20,247.5
2022-05-23,249.0399932861328
2022-05-24,251.88999938964844
2022-05-25,253.00999450683594
2022-05-26,253.0500030517578
2022-05-27,255.25999450683594
2022-05-31,256.739990234375
2022-06-01,253.4199981689453
2022-06-02,248.27999877929688
2022-06-03,248.4499969482422
2022-06-06,245.44000244140625
2022-06-07,246.41000366210938
2022-06-08,245.47999572753906
2022-06-09,241.75
2022-06-10,240.00999450683594
2022-06-13,236.77000427246094
2022-06-14,235.6999969482422
2022-06-15,235.5800018310547
2022-06-16,230.7100067138672
2022-06-17,234.72000122070312
2022-06-21,238.41000366210938
2022-06-22,240.13999938964844
2022-06-23,243.08999633789062
2022-06-24,245.3699951171875
2022-06-27,244.85000610351562
2022-06-28,243.50999450683594
2022-06-29,245.42999267578125
2022-06-30,243.3000030517578
2022-07-01,245.5500030517578
2022-07-05,246.72999572753906
2022-07-06,245.25
2022-07-07,247.4199981689453
2022-07-08,248.47999572753906
2022-07-11,247.77999877929688
2022-07-12,246.97000122070312
2022-07-13,247.08999633789062
2022-07-14,245.58999633789062
2022-07-15,248.69000244140625
2022-07-18,243.83999633789062
2022-07-19,247.32000732421875
2022-07-20,246.6300048828125
2022-07-21,245.77999877929688
2022-07-22,245.9499969482422
2022-07-25,248.72000122070312
2022-07-26,251.13999938964844
2022-07-27,251.72000122070312
2022-07-28,249.75
2022-07-29,247.47000122070312
2022-08-01,245.63999938964844
2022-08-02,243.91000366210938
2022-08-03,247.13999938964844
2022-08-04,246.97999572753906
2022-08-05,246.25
2022-08-08,247.2899932861328
2022-08-09,248.36000061035156
2022-08-10,252.08999633789062
2022-08-11,248.35000610351562
2022-08-12,248.38999938964844
2022-08-15,251.0800018310547
2022-08-16,253.14999389648438
2022-08-17,250.5800018310547
2022-08-18,249.6999969482422
2022-08-19,250.86000061035156
2022-08-22,246.89999389648438
2022-08-23,244.47000122070312
2022-08-24,244.49000549316406
2022-08-25,245.67999267578125
2022-08-26,240.64999389648438
2022-08-29,239.3800048828125
2022-08-30,239.1199951171875
2022-08-31,240.3000030517578
2022-09-01,245.5
2022-09-02,242.3699951171875
2022-09-06,242.22000122070312
2022-09-07,244.7899932861328
2022-09-08,245.4499969482422
2022-09-09,247.69000244140625
2022-09-12,237.6199951171875
2022-09-13,226.86000061035156
2022-09-14,228.1199951171875
2022-09-15,227.66000366210938
2022-09-16,231.13999938964844
2022-09-19,230.75999450683594
2022-09-20,227.7100067138672
2022-09-21,224.4600067138672
2022-09-22,227.75
2022-09-23,226.97000122070312
2022-09-26,226.8699951171875
2022-09-27,225.99000549316406
2022-09-28,230.97999572753906
2022-09-29,228.41000366210938
2022-09-30,225.39999389648438
2022-10-03,230.44000244140625
2022-10-04,233.02000427246094
2022-10-05,233.82000732421875
2022-10-06,230.94000244140625
2022-10-07,229.02999877929688
2022-10-10,232.14999389648438
2022-10-11,245.44000244140625
2022-10-12,246.44000244140625
2022-10-13,251.66000366210938
2022-10-14,251.33999633789062
2022-10-17,252.92999267578125
2022-10-18,252.1199951171875
2022-10-19,248.19000244140625
2022-10-20,247.4499969482422
2022-10-21,251.94000244140625
2022-10-24,261.32000732421875
2022-10-25,259.989990234375
2022-10-26,266.6600036621094
2022-10-27,267.2300109863281
2022-10-28,273.80999755859375
2022-10-31,270.3500061035156
2022-11-01,272.05999755859375
2022-11-02,269.010009765625
2022-11-03,265.8800048828125
2022-11-04,269.0400085449219
2022-11-07,277.0199890136719
2022-11-08,292.3900146484375
2022-11-09,289.6499938964844
2022-11-10,291.010009765625
2022-11-11,285.0199890136719
2022-11-14,285.29998779296875
2022-11-15,283.6000061035156
2022-11-16,283.7699890136719
2022-11-17,287.29998779296875
2022-11-18,287.2900085449219
2022-11-21,288.1600036621094
2022-11-22,287.04998779296875
2022-11-23,283.3999938964844
