Date,GNTX
2022-02-28,30.270000457763672
2022-03-01,28.75
2022-03-02,29.809999465942383
2022-03-03,29.389999389648438
2022-03-04,28.469999313354492
2022-03-07,27.649999618530273
2022-03-08,27.860000610351562
2022-03-09,28.6200008392334
2022-03-10,28.600000381469727
2022-03-11,28.190000534057617
2022-03-14,27.850000381469727
2022-03-15,28.09000015258789
2022-03-16,29.059999465942383
2022-03-17,29.059999465942383
2022-03-18,29.59000015258789
2022-03-21,29.049999237060547
2022-03-22,29.389999389648438
2022-03-23,28.479999542236328
2022-03-24,28.850000381469727
2022-03-25,28.8700008392334
2022-03-28,28.959999084472656
2022-03-29,29.860000610351562
2022-03-30,29.540000915527344
2022-03-31,29.170000076293945
2022-04-01,29.3799991607666
2022-04-04,29.030000686645508
2022-04-05,28.219999313354492
2022-04-06,28.0
2022-04-07,27.469999313354492
2022-04-08,27.450000762939453
2022-04-11,27.729999542236328
2022-04-12,27.59000015258789
2022-04-13,27.610000610351562
2022-04-14,27.59000015258789
2022-04-18,27.5
2022-04-19,28.209999084472656
2022-04-20,28.760000228881836
2022-04-21,28.600000381469727
2022-04-22,29.610000610351562
2022-04-25,30.549999237060547
2022-04-26,29.649999618530273
2022-04-27,29.600000381469727
2022-04-28,30.190000534057617
2022-04-29,29.350000381469727
2022-05-02,29.440000534057617
2022-05-03,29.670000076293945
2022-05-04,30.3799991607666
2022-05-05,29.190000534057617
2022-05-06,29.280000686645508
2022-05-09,29.09000015258789
2022-05-10,28.579999923706055
2022-05-11,28.110000610351562
2022-05-12,28.690000534057617
2022-05-13,29.700000762939453
2022-05-16,29.149999618530273
2022-05-17,30.309999465942383
2022-05-18,29.65999984741211
2022-05-19,29.889999389648438
2022-05-20,29.829999923706055
2022-05-23,29.6200008392334
2022-05-24,29.5
2022-05-25,29.729999542236328
2022-05-26,30.100000381469727
2022-05-27,31.299999237060547
2022-05-31,31.079999923706055
2022-06-01,30.469999313354492
2022-06-02,30.959999084472656
2022-06-03,30.479999542236328
2022-06-06,31.020000457763672
2022-06-07,31.049999237060547
2022-06-08,30.969999313354492
2022-06-09,30.760000228881836
2022-06-10,29.670000076293945
2022-06-13,28.559999465942383
2022-06-14,28.040000915527344
2022-06-15,28.350000381469727
2022-06-16,26.34000015258789
2022-06-17,26.729999542236328
2022-06-21,28.1200008392334
2022-06-22,27.969999313354492
2022-06-23,27.940000534057617
2022-06-24,28.540000915527344
2022-06-27,28.850000381469727
2022-06-28,28.420000076293945
2022-06-29,28.510000228881836
2022-06-30,27.969999313354492
2022-07-01,28.360000610351562
2022-07-05,28.110000610351562
2022-07-06,27.780000686645508
2022-07-07,28.610000610351562
2022-07-08,28.549999237060547
2022-07-11,28.010000228881836
2022-07-12,28.299999237060547
2022-07-13,27.81999969482422
2022-07-14,27.479999542236328
2022-07-15,27.979999542236328
2022-07-18,27.850000381469727
2022-07-19,28.860000610351562
2022-07-20,29.43000030517578
2022-07-21,29.65999984741211
2022-07-22,27.280000686645508
2022-07-25,27.450000762939453
2022-07-26,27.40999984741211
2022-07-27,28.110000610351562
2022-07-28,28.209999084472656
2022-07-29,28.219999313354492
2022-08-01,28.3700008392334
2022-08-02,27.8799991607666
2022-08-03,28.25
2022-08-04,27.670000076293945
2022-08-05,27.389999389648438
2022-08-08,27.760000228881836
2022-08-09,27.229999542236328
2022-08-10,28.030000686645508
2022-08-11,28.540000915527344
2022-08-12,28.899999618530273
2022-08-15,28.959999084472656
2022-08-16,29.139999389648438
2022-08-17,28.780000686645508
