Date,NXST
2022-02-28,185.0500030517578
2022-03-01,183.92999267578125
2022-03-02,189.67999267578125
2022-03-03,186.00999450683594
2022-03-04,183.19000244140625
2022-03-07,178.97000122070312
2022-03-08,184.72999572753906
2022-03-09,184.0500030517578
2022-03-10,180.72999572753906
2022-03-11,177.42999267578125
2022-03-14,175.94000244140625
2022-03-15,179.75
2022-03-16,187.72000122070312
2022-03-17,188.6199951171875
2022-03-18,188.86000061035156
2022-03-21,187.05999755859375
2022-03-22,187.52999877929688
2022-03-23,185.3699951171875
2022-03-24,189.50999450683594
2022-03-25,189.8000030517578
2022-03-28,187.02000427246094
2022-03-29,187.02999877929688
2022-03-30,188.50999450683594
2022-03-31,188.47999572753906
2022-04-01,187.02000427246094
2022-04-04,186.27000427246094
2022-04-05,184.5
2022-04-06,180.86000061035156
2022-04-07,174.7899932861328
2022-04-08,173.0
2022-04-11,171.58999633789062
2022-04-12,172.0
2022-04-13,172.9199981689453
2022-04-14,170.02000427246094
2022-04-18,170.5800018310547
2022-04-19,171.72000122070312
2022-04-20,171.8699951171875
2022-04-21,170.0399932861328
2022-04-22,169.00999450683594
2022-04-25,166.11000061035156
2022-04-26,162.33999633789062
2022-04-27,161.3300018310547
2022-04-28,162.17999267578125
2022-04-29,158.4199981689453
2022-05-02,162.8699951171875
2022-05-03,162.1699981689453
2022-05-04,166.3800048828125
2022-05-05,163.25999450683594
2022-05-06,158.41000366210938
2022-05-09,152.39999389648438
2022-05-10,160.14999389648438
2022-05-11,161.82000732421875
2022-05-12,167.41000366210938
2022-05-13,172.1199951171875
2022-05-16,171.75
2022-05-17,178.47999572753906
2022-05-18,172.86000061035156
2022-05-19,174.77999877929688
2022-05-20,174.0
2022-05-23,175.36000061035156
2022-05-24,160.42999267578125
2022-05-25,165.86000061035156
2022-05-26,171.2100067138672
2022-05-27,176.6999969482422
2022-05-31,175.22000122070312
2022-06-01,175.41000366210938
2022-06-02,176.0800018310547
2022-06-03,175.80999755859375
2022-06-06,175.0
2022-06-07,176.49000549316406
2022-06-08,172.66000366210938
2022-06-09,171.57000732421875
2022-06-10,167.27999877929688
2022-06-13,160.25
2022-06-14,165.19000244140625
2022-06-15,166.7899932861328
2022-06-16,159.6999969482422
2022-06-17,160.35000610351562
2022-06-21,160.10000610351562
2022-06-22,159.85000610351562
2022-06-23,160.42999267578125
2022-06-24,164.35000610351562
2022-06-27,166.97999572753906
2022-06-28,166.32000732421875
2022-06-29,164.33999633789062
2022-06-30,162.8800048828125
2022-07-01,168.52999877929688
2022-07-05,164.5800018310547
2022-07-06,163.27000427246094
2022-07-07,167.72999572753906
2022-07-08,166.97999572753906
2022-07-11,166.00999450683594
2022-07-12,167.91000366210938
2022-07-13,167.4600067138672
2022-07-14,163.8699951171875
2022-07-15,169.91000366210938
2022-07-18,170.42999267578125
2022-07-19,175.77999877929688
2022-07-20,180.49000549316406
2022-07-21,182.88999938964844
2022-07-22,182.66000366210938
2022-07-25,184.27000427246094
2022-07-26,182.1300048828125
2022-07-27,185.25999450683594
2022-07-28,192.77999877929688
2022-07-29,188.3699951171875
2022-08-01,188.5500030517578
2022-08-02,187.47999572753906
2022-08-03,190.44000244140625
2022-08-04,195.22999572753906
2022-08-05,194.02999877929688
2022-08-08,195.83999633789062
2022-08-09,196.25
2022-08-10,198.0
2022-08-11,201.99000549316406
2022-08-12,201.80999755859375
2022-08-15,199.25999450683594
2022-08-16,202.16000366210938
2022-08-17,200.3800048828125
2022-08-18,200.33999633789062
2022-08-19,197.97999572753906
2022-08-22,194.07000732421875
2022-08-23,193.5800018310547
2022-08-24,192.42999267578125
2022-08-25,194.91000366210938
2022-08-26,191.85000610351562
2022-08-29,193.22999572753906
2022-08-30,190.3300018310547
2022-08-31,191.32000732421875
2022-09-01,190.86000061035156
2022-09-02,191.30999755859375
2022-09-06,188.3699951171875
2022-09-07,188.13999938964844
2022-09-08,190.1699981689453
2022-09-09,195.3699951171875
2022-09-12,198.4600067138672
2022-09-13,193.1999969482422
2022-09-14,191.22000122070312
2022-09-15,192.52000427246094
2022-09-16,190.86000061035156
2022-09-19,191.9600067138672
2022-09-20,191.2899932861328
2022-09-21,187.86000061035156
2022-09-22,179.50999450683594
2022-09-23,175.8800048828125
2022-09-26,170.0399932861328
2022-09-27,168.47999572753906
2022-09-28,170.44000244140625
2022-09-29,166.72999572753906
2022-09-30,166.85000610351562
2022-10-03,172.74000549316406
2022-10-04,178.67999267578125
2022-10-05,178.3800048828125
2022-10-06,176.1999969482422
2022-10-07,173.38999938964844
2022-10-10,172.3300018310547
2022-10-11,171.08999633789062
2022-10-12,168.83999633789062
2022-10-13,175.39999389648438
2022-10-14,172.1999969482422
2022-10-17,177.4199981689453
2022-10-18,184.94000244140625
2022-10-19,182.9600067138672
2022-10-20,181.83999633789062
2022-10-21,184.17999267578125
2022-10-24,185.9499969482422
2022-10-25,191.17999267578125
2022-10-26,185.52000427246094
2022-10-27,178.5
2022-10-28,180.97999572753906
2022-10-31,171.3000030517578
2022-11-01,176.36000061035156
2022-11-02,170.80999755859375
2022-11-03,164.41000366210938
2022-11-04,155.5
2022-11-07,155.0
2022-11-08,167.4499969482422
2022-11-09,158.94000244140625
2022-11-10,162.69000244140625
2022-11-11,168.22999572753906
2022-11-14,168.24000549316406
2022-11-15,170.5800018310547
2022-11-16,169.07000732421875
2022-11-17,170.47999572753906
2022-11-18,170.9499969482422
2022-11-21,169.52000427246094
2022-11-22,173.0399932861328
2022-11-23,174.13999938964844
2022-11-25,175.14999389648438
