Date,AFRM
2022-02-28,41.84000015258789
2022-03-01,42.36000061035156
2022-03-02,41.79999923706055
2022-03-03,39.099998474121094
2022-03-04,35.81999969482422
2022-03-07,33.560001373291016
2022-03-08,34.279998779296875
2022-03-09,36.79999923706055
2022-03-10,36.54999923706055
2022-03-11,30.860000610351562
2022-03-14,26.219999313354492
2022-03-15,28.329999923706055
2022-03-16,33.34000015258789
2022-03-17,36.75
2022-03-18,40.709999084472656
2022-03-21,41.959999084472656
2022-03-22,43.5
2022-03-23,44.11000061035156
2022-03-24,44.79999923706055
2022-03-25,42.15999984741211
2022-03-28,43.25
2022-03-29,48.150001525878906
2022-03-30,46.75
2022-03-31,46.279998779296875
2022-04-01,46.61000061035156
2022-04-04,47.70000076293945
2022-04-05,43.84000015258789
2022-04-06,40.869998931884766
2022-04-07,38.70000076293945
2022-04-08,37.58000183105469
2022-04-11,37.70000076293945
2022-04-12,37.47999954223633
2022-04-13,38.400001525878906
2022-04-14,35.189998626708984
2022-04-18,35.209999084472656
2022-04-19,37.029998779296875
2022-04-20,34.7599983215332
2022-04-21,32.900001525878906
2022-04-22,31.15999984741211
2022-04-25,32.470001220703125
2022-04-26,30.18000030517578
2022-04-27,29.360000610351562
2022-04-28,31.209999084472656
2022-04-29,28.700000762939453
2022-05-02,30.360000610351562
2022-05-03,30.100000381469727
2022-05-04,31.760000228881836
2022-05-05,27.020000457763672
2022-05-06,24.950000762939453
2022-05-09,20.59000015258789
2022-05-10,18.190000534057617
2022-05-11,14.630000114440918
2022-05-12,18.040000915527344
2022-05-13,23.709999084472656
2022-05-16,22.950000762939453
2022-05-17,25.239999771118164
2022-05-18,24.450000762939453
2022-05-19,25.709999084472656
2022-05-20,24.81999969482422
2022-05-23,24.520000457763672
2022-05-24,20.760000228881836
2022-05-25,23.020000457763672
2022-05-26,28.020000457763672
2022-05-27,30.350000381469727
2022-05-31,28.5
2022-06-01,24.31999969482422
2022-06-02,26.420000076293945
2022-06-03,25.100000381469727
2022-06-06,23.719999313354492
2022-06-07,24.350000381469727
2022-06-08,23.329999923706055
2022-06-09,21.18000030517578
2022-06-10,20.440000534057617
2022-06-13,17.920000076293945
2022-06-14,17.700000762939453
2022-06-15,18.600000381469727
2022-06-16,16.719999313354492
