Date,KTOS
2022-02-28,20.920000076293945
2022-03-01,20.010000228881836
2022-03-02,19.350000381469727
2022-03-03,18.950000762939453
2022-03-04,20.0
2022-03-07,20.729999542236328
2022-03-08,20.3700008392334
2022-03-09,19.389999389648438
2022-03-10,19.649999618530273
2022-03-11,18.719999313354492
2022-03-14,18.1299991607666
2022-03-15,18.559999465942383
2022-03-16,18.270000457763672
2022-03-17,18.8700008392334
2022-03-18,20.010000228881836
2022-03-21,19.649999618530273
2022-03-22,20.06999969482422
2022-03-23,19.799999237060547
2022-03-24,20.969999313354492
2022-03-25,20.959999084472656
2022-03-28,20.670000076293945
2022-03-29,20.780000686645508
2022-03-30,20.479999542236328
2022-03-31,20.479999542236328
2022-04-01,20.700000762939453
2022-04-04,21.8799991607666
2022-04-05,21.139999389648438
2022-04-06,20.700000762939453
2022-04-07,20.450000762939453
2022-04-08,19.40999984741211
2022-04-11,19.329999923706055
2022-04-12,19.260000228881836
2022-04-13,19.260000228881836
2022-04-14,19.190000534057617
2022-04-18,18.860000610351562
2022-04-19,19.18000030517578
2022-04-20,18.420000076293945
2022-04-21,16.940000534057617
2022-04-22,16.59000015258789
2022-04-25,16.739999771118164
2022-04-26,16.040000915527344
2022-04-27,15.479999542236328
2022-04-28,15.65999984741211
2022-04-29,15.170000076293945
2022-05-02,15.399999618530273
2022-05-03,15.739999771118164
2022-05-04,16.280000686645508
2022-05-05,15.430000305175781
2022-05-06,14.010000228881836
2022-05-09,12.989999771118164
2022-05-10,13.449999809265137
2022-05-11,12.869999885559082
2022-05-12,13.020000457763672
2022-05-13,13.15999984741211
2022-05-16,12.579999923706055
2022-05-17,14.029999732971191
2022-05-18,13.5
2022-05-19,14.34000015258789
2022-05-20,13.899999618530273
2022-05-23,13.600000381469727
2022-05-24,13.609999656677246
2022-05-25,13.630000114440918
2022-05-26,14.279999732971191
2022-05-27,14.770000457763672
2022-05-31,14.420000076293945
2022-06-01,14.449999809265137
2022-06-02,15.210000038146973
2022-06-03,14.739999771118164
2022-06-06,14.65999984741211
2022-06-07,15.210000038146973
2022-06-08,14.979999542236328
2022-06-09,14.680000305175781
2022-06-10,14.210000038146973
2022-06-13,14.050000190734863
2022-06-14,13.630000114440918
2022-06-15,14.199999809265137
2022-06-16,13.649999618530273
2022-06-17,13.5600004196167
2022-06-21,13.90999984741211
2022-06-22,13.539999961853027
2022-06-23,13.979999542236328
2022-06-24,14.210000038146973
2022-06-27,14.210000038146973
2022-06-28,14.029999732971191
2022-06-29,13.729999542236328
2022-06-30,13.880000114440918
