Date,INSM
2022-02-28,23.899999618530273
2022-03-01,23.989999771118164
2022-03-02,23.770000457763672
2022-03-03,23.100000381469727
2022-03-04,22.940000534057617
2022-03-07,23.15999984741211
2022-03-08,23.09000015258789
2022-03-09,24.149999618530273
2022-03-10,23.59000015258789
2022-03-11,22.139999389648438
2022-03-14,21.200000762939453
2022-03-15,21.790000915527344
2022-03-16,22.600000381469727
2022-03-17,23.1200008392334
2022-03-18,24.209999084472656
2022-03-21,23.149999618530273
2022-03-22,23.510000228881836
2022-03-23,22.729999542236328
2022-03-24,22.81999969482422
2022-03-25,22.030000686645508
2022-03-28,21.790000915527344
2022-03-29,23.190000534057617
2022-03-30,22.920000076293945
2022-03-31,23.5
2022-04-01,24.469999313354492
2022-04-04,24.8700008392334
2022-04-05,24.440000534057617
2022-04-06,24.399999618530273
2022-04-07,24.639999389648438
2022-04-08,24.729999542236328
2022-04-11,23.950000762939453
2022-04-12,24.649999618530273
2022-04-13,25.709999084472656
2022-04-14,25.649999618530273
2022-04-18,24.850000381469727
2022-04-19,25.059999465942383
2022-04-20,25.030000686645508
2022-04-21,23.6299991607666
2022-04-22,22.809999465942383
2022-04-25,23.559999465942383
2022-04-26,22.219999313354492
2022-04-27,22.459999084472656
2022-04-28,22.34000015258789
2022-04-29,21.969999313354492
2022-05-02,22.450000762939453
2022-05-03,22.579999923706055
2022-05-04,22.84000015258789
2022-05-05,23.0
2022-05-06,20.59000015258789
2022-05-09,17.670000076293945
2022-05-10,18.360000610351562
2022-05-11,17.06999969482422
2022-05-12,17.190000534057617
2022-05-13,18.190000534057617
2022-05-16,19.700000762939453
2022-05-17,21.5
2022-05-18,19.899999618530273
2022-05-19,19.56999969482422
2022-05-20,20.25
2022-05-23,20.010000228881836
2022-05-24,19.18000030517578
2022-05-25,19.270000457763672
2022-05-26,18.600000381469727
2022-05-27,19.520000457763672
2022-05-31,18.81999969482422
2022-06-01,17.93000030517578
2022-06-02,18.440000534057617
2022-06-03,19.530000686645508
2022-06-06,19.030000686645508
2022-06-07,20.09000015258789
2022-06-08,19.850000381469727
2022-06-09,18.959999084472656
2022-06-10,18.270000457763672
2022-06-13,17.3799991607666
2022-06-14,17.389999389648438
2022-06-15,17.799999237060547
2022-06-16,17.31999969482422
2022-06-17,18.579999923706055
2022-06-21,19.3799991607666
2022-06-22,19.469999313354492
2022-06-23,19.850000381469727
2022-06-24,21.420000076293945
2022-06-27,21.049999237060547
2022-06-28,19.90999984741211
2022-06-29,20.06999969482422
2022-06-30,19.719999313354492
2022-07-01,20.889999389648438
2022-07-05,21.280000686645508
2022-07-06,22.059999465942383
2022-07-07,23.219999313354492
2022-07-08,24.799999237060547
2022-07-11,23.299999237060547
2022-07-12,22.93000030517578
2022-07-13,23.25
2022-07-14,23.200000762939453
2022-07-15,23.1299991607666
2022-07-18,22.6200008392334
2022-07-19,23.649999618530273
2022-07-20,23.84000015258789
2022-07-21,23.139999389648438
2022-07-22,22.31999969482422
2022-07-25,22.420000076293945
2022-07-26,22.3700008392334
2022-07-27,22.6200008392334
2022-07-28,22.530000686645508
2022-07-29,22.1200008392334
2022-08-01,20.8799991607666
2022-08-02,20.969999313354492
2022-08-03,21.760000228881836
2022-08-04,25.059999465942383
2022-08-05,27.75
2022-08-08,27.950000762939453
2022-08-09,27.540000915527344
2022-08-10,28.209999084472656
2022-08-11,26.75
2022-08-12,27.260000228881836
2022-08-15,27.399999618530273
2022-08-16,26.489999771118164
2022-08-17,25.770000457763672
2022-08-18,25.700000762939453
2022-08-19,25.1299991607666
2022-08-22,25.469999313354492
2022-08-23,26.540000915527344
2022-08-24,27.149999618530273
2022-08-25,26.110000610351562
2022-08-26,24.5
2022-08-29,24.170000076293945
2022-08-30,23.889999389648438
2022-08-31,24.6200008392334
2022-09-01,25.190000534057617
2022-09-02,24.549999237060547
2022-09-06,23.969999313354492
2022-09-07,24.809999465942383
2022-09-08,24.719999313354492
2022-09-09,24.829999923706055
2022-09-12,25.280000686645508
2022-09-13,23.739999771118164
2022-09-14,24.1299991607666
2022-09-15,24.18000030517578
2022-09-16,23.610000610351562
2022-09-19,24.1299991607666
2022-09-20,23.780000686645508
2022-09-21,22.530000686645508
2022-09-22,22.170000076293945
2022-09-23,21.540000915527344
2022-09-26,20.969999313354492
2022-09-27,21.3700008392334
2022-09-28,22.780000686645508
2022-09-29,21.8700008392334
2022-09-30,21.540000915527344
2022-10-03,22.15999984741211
2022-10-04,23.149999618530273
2022-10-05,23.020000457763672
2022-10-06,22.969999313354492
2022-10-07,22.09000015258789
2022-10-10,21.559999465942383
2022-10-11,21.31999969482422
2022-10-12,21.020000457763672
2022-10-13,21.260000228881836
2022-10-14,20.700000762939453
2022-10-17,21.709999084472656
2022-10-18,22.010000228881836
2022-10-19,18.780000686645508
2022-10-20,18.84000015258789
2022-10-21,18.459999084472656
2022-10-24,17.010000228881836
2022-10-25,17.06999969482422
2022-10-26,17.709999084472656
2022-10-27,16.979999542236328
2022-10-28,17.510000228881836
2022-10-31,17.31999969482422
2022-11-01,17.5
2022-11-02,17.59000015258789
2022-11-03,17.920000076293945
2022-11-04,18.200000762939453
2022-11-07,18.170000076293945
2022-11-08,18.6200008392334
2022-11-09,18.639999389648438
2022-11-10,19.3700008392334
2022-11-11,19.06999969482422
2022-11-14,18.969999313354492
2022-11-15,18.889999389648438
2022-11-16,18.030000686645508
2022-11-17,18.530000686645508
2022-11-18,19.5
2022-11-21,18.93000030517578
2022-11-22,18.719999313354492
2022-11-23,18.3700008392334
