Date,WBA
2022-02-28,46.09000015258789
2022-03-01,45.0099983215332
2022-03-02,46.150001525878906
2022-03-03,46.720001220703125
2022-03-04,47.720001220703125
2022-03-07,46.9900016784668
2022-03-08,47.470001220703125
2022-03-09,48.119998931884766
2022-03-10,48.06999969482422
2022-03-11,47.439998626708984
2022-03-14,47.90999984741211
2022-03-15,48.16999816894531
2022-03-16,47.380001068115234
2022-03-17,47.47999954223633
2022-03-18,47.36000061035156
2022-03-21,47.380001068115234
2022-03-22,47.43000030517578
2022-03-23,46.7400016784668
2022-03-24,47.02000045776367
2022-03-25,47.119998931884766
2022-03-28,47.189998626708984
2022-03-29,47.81999969482422
2022-03-30,47.459999084472656
2022-03-31,44.77000045776367
2022-04-01,43.86000061035156
2022-04-04,43.400001525878906
2022-04-05,43.4900016784668
2022-04-06,44.310001373291016
2022-04-07,45.11000061035156
2022-04-08,45.41999816894531
2022-04-11,44.43000030517578
2022-04-12,44.22999954223633
2022-04-13,44.599998474121094
2022-04-14,44.810001373291016
2022-04-18,44.5
2022-04-19,45.599998474121094
2022-04-20,46.540000915527344
2022-04-21,46.810001373291016
2022-04-22,45.540000915527344
2022-04-25,45.38999938964844
2022-04-26,44.869998931884766
2022-04-27,44.22999954223633
2022-04-28,44.529998779296875
2022-04-29,42.400001525878906
2022-05-02,42.52000045776367
2022-05-03,42.939998626708984
2022-05-04,44.459999084472656
2022-05-05,43.779998779296875
2022-05-06,43.9900016784668
2022-05-09,43.849998474121094
2022-05-10,43.310001373291016
2022-05-11,43.349998474121094
2022-05-12,43.15999984741211
2022-05-13,43.54999923706055
2022-05-16,44.150001525878906
2022-05-17,44.939998626708984
2022-05-18,41.16999816894531
2022-05-19,40.61000061035156
2022-05-20,40.959999084472656
2022-05-23,42.150001525878906
2022-05-24,42.08000183105469
2022-05-25,42.459999084472656
2022-05-26,43.040000915527344
2022-05-27,43.709999084472656
2022-05-31,43.83000183105469
2022-06-01,43.2599983215332
2022-06-02,43.43000030517578
2022-06-03,43.13999938964844
2022-06-06,43.38999938964844
2022-06-07,43.0
2022-06-08,42.599998474121094
2022-06-09,41.720001220703125
2022-06-10,41.540000915527344
2022-06-13,40.279998779296875
2022-06-14,40.20000076293945
2022-06-15,40.72999954223633
2022-06-16,39.66999816894531
2022-06-17,39.31999969482422
2022-06-21,40.099998474121094
2022-06-22,40.45000076293945
2022-06-23,40.88999938964844
2022-06-24,41.650001525878906
2022-06-27,42.189998626708984
2022-06-28,40.959999084472656
2022-06-29,40.869998931884766
2022-06-30,37.900001525878906
2022-07-01,38.560001373291016
2022-07-05,38.5099983215332
2022-07-06,37.779998779296875
2022-07-07,38.209999084472656
2022-07-08,37.54999923706055
2022-07-11,37.43000030517578
2022-07-12,37.970001220703125
2022-07-13,37.2400016784668
2022-07-14,36.86000061035156
2022-07-15,38.029998779296875
2022-07-18,38.31999969482422
2022-07-19,38.599998474121094
2022-07-20,38.91999816894531
2022-07-21,38.459999084472656
2022-07-22,38.65999984741211
2022-07-25,38.75
2022-07-26,38.849998474121094
2022-07-27,39.220001220703125
2022-07-28,39.439998626708984
2022-07-29,39.619998931884766
2022-08-01,39.88999938964844
2022-08-02,39.04999923706055
2022-08-03,39.189998626708984
2022-08-04,38.97999954223633
2022-08-05,38.9900016784668
2022-08-08,39.47999954223633
2022-08-09,39.130001068115234
2022-08-10,39.900001525878906
2022-08-11,40.06999969482422
2022-08-12,40.59000015258789
2022-08-15,41.06999969482422
2022-08-16,42.040000915527344
2022-08-17,40.869998931884766
2022-08-18,38.2400016784668
2022-08-19,38.220001220703125
2022-08-22,37.310001373291016
2022-08-23,37.439998626708984
2022-08-24,36.77000045776367
2022-08-25,36.79999923706055
2022-08-26,36.0
2022-08-29,35.959999084472656
2022-08-30,35.18000030517578
2022-08-31,35.060001373291016
2022-09-01,35.2599983215332
2022-09-02,35.27000045776367
2022-09-06,35.31999969482422
2022-09-07,36.08000183105469
2022-09-08,35.959999084472656
2022-09-09,36.2400016784668
2022-09-12,36.630001068115234
2022-09-13,34.7400016784668
2022-09-14,34.77000045776367
2022-09-15,34.22999954223633
2022-09-16,34.27000045776367
2022-09-19,34.150001525878906
2022-09-20,33.9900016784668
2022-09-21,33.43000030517578
2022-09-22,33.31999969482422
2022-09-23,32.83000183105469
2022-09-26,32.689998626708984
2022-09-27,32.43000030517578
2022-09-28,33.20000076293945
2022-09-29,31.549999237060547
2022-09-30,31.399999618530273
2022-10-03,32.43000030517578
2022-10-04,33.38999938964844
2022-10-05,33.15999984741211
2022-10-06,32.25
2022-10-07,30.520000457763672
2022-10-10,31.84000015258789
2022-10-11,32.61000061035156
2022-10-12,31.940000534057617
2022-10-13,33.650001525878906
2022-10-14,33.2400016784668
2022-10-17,33.0
2022-10-18,33.099998474121094
2022-10-19,33.38999938964844
2022-10-20,33.36000061035156
2022-10-21,34.29999923706055
2022-10-24,34.689998626708984
2022-10-25,35.52000045776367
2022-10-26,35.5099983215332
2022-10-27,35.66999816894531
2022-10-28,36.58000183105469
2022-10-31,36.5
2022-11-01,36.2599983215332
2022-11-02,35.810001373291016
2022-11-03,35.7400016784668
2022-11-04,37.06999969482422
2022-11-07,38.59000015258789
2022-11-08,38.290000915527344
2022-11-09,36.88999938964844
2022-11-10,38.4900016784668
2022-11-11,41.2599983215332
2022-11-14,40.540000915527344
2022-11-15,40.650001525878906
2022-11-16,40.38999938964844
2022-11-17,40.130001068115234
2022-11-18,39.75
2022-11-21,40.59000015258789
2022-11-22,41.790000915527344
2022-11-23,41.7599983215332
