Date,ETSY
2022-02-28,154.88999938964844
2022-03-01,157.52999877929688
2022-03-02,162.02999877929688
2022-03-03,159.77999877929688
2022-03-04,151.57000732421875
2022-03-07,137.49000549316406
2022-03-08,138.42999267578125
2022-03-09,144.72000122070312
2022-03-10,136.97999572753906
2022-03-11,121.2300033569336
2022-03-14,118.31999969482422
2022-03-15,124.9800033569336
2022-03-16,133.80999755859375
2022-03-17,141.67999267578125
2022-03-18,148.0
2022-03-21,142.27000427246094
2022-03-22,148.25
2022-03-23,142.47000122070312
2022-03-24,140.9600067138672
2022-03-25,132.32000732421875
2022-03-28,138.5399932861328
2022-03-29,142.9199981689453
2022-03-30,134.55999755859375
2022-03-31,124.27999877929688
2022-04-01,127.05000305175781
2022-04-04,136.1699981689453
2022-04-05,130.2100067138672
2022-04-06,125.47000122070312
2022-04-07,120.94999694824219
2022-04-08,116.58000183105469
2022-04-11,117.22000122070312
2022-04-12,112.94999694824219
2022-04-13,117.47000122070312
2022-04-14,115.79000091552734
2022-04-18,110.47000122070312
2022-04-19,115.29000091552734
2022-04-20,107.41000366210938
2022-04-21,101.79000091552734
2022-04-22,98.41000366210938
2022-04-25,102.05999755859375
2022-04-26,100.11000061035156
2022-04-27,97.55000305175781
2022-04-28,101.87999725341797
2022-04-29,93.19000244140625
2022-05-02,97.06999969482422
2022-05-03,100.52999877929688
2022-05-04,109.33000183105469
2022-05-05,90.93000030517578
2022-05-06,86.37999725341797
2022-05-09,86.4000015258789
2022-05-10,84.05999755859375
2022-05-11,77.80999755859375
2022-05-12,87.86000061035156
2022-05-13,92.08000183105469
2022-05-16,86.62000274658203
2022-05-17,88.05999755859375
2022-05-18,78.83999633789062
2022-05-19,79.23999786376953
2022-05-20,78.33999633789062
2022-05-23,76.06999969482422
2022-05-24,70.20999908447266
2022-05-25,71.58999633789062
2022-05-26,78.25
2022-05-27,82.1500015258789
2022-05-31,81.12000274658203
2022-06-01,80.94000244140625
2022-06-02,87.29000091552734
2022-06-03,80.9800033569336
2022-06-06,83.83000183105469
2022-06-07,81.4800033569336
2022-06-08,84.87999725341797
2022-06-09,83.06999969482422
2022-06-10,75.83999633789062
2022-06-13,71.37000274658203
2022-06-14,71.61000061035156
2022-06-15,76.05000305175781
2022-06-16,69.0
2022-06-17,72.11000061035156
