Date,TEAM
2022-02-28,305.7200012207031
2022-03-01,307.2699890136719
2022-03-02,309.2799987792969
2022-03-03,286.8800048828125
2022-03-04,267.6099853515625
2022-03-07,244.24000549316406
2022-03-08,240.9499969482422
2022-03-09,261.5899963378906
2022-03-10,255.1999969482422
2022-03-11,246.38999938964844
2022-03-14,238.66000366210938
2022-03-15,245.1699981689453
2022-03-16,280.9599914550781
2022-03-17,280.1300048828125
2022-03-18,294.7300109863281
2022-03-21,288.30999755859375
2022-03-22,298.510009765625
2022-03-23,289.4100036621094
2022-03-24,294.1300048828125
2022-03-25,284.2099914550781
2022-03-28,302.30999755859375
2022-03-29,311.6400146484375
2022-03-30,302.6400146484375
2022-03-31,293.8299865722656
2022-04-01,305.75
2022-04-04,317.17999267578125
2022-04-05,299.8599853515625
2022-04-06,286.9599914550781
2022-04-07,292.9700012207031
2022-04-08,272.0199890136719
2022-04-11,271.6300048828125
2022-04-12,268.32000732421875
2022-04-13,280.3299865722656
2022-04-14,265.3500061035156
2022-04-18,259.1199951171875
2022-04-19,273.8999938964844
2022-04-20,265.80999755859375
2022-04-21,253.82000732421875
2022-04-22,245.2899932861328
2022-04-25,253.6300048828125
2022-04-26,242.97999572753906
2022-04-27,243.66000366210938
2022-04-28,259.9800109863281
2022-04-29,224.8300018310547
2022-05-02,235.27999877929688
2022-05-03,223.5399932861328
2022-05-04,234.6999969482422
2022-05-05,212.7100067138672
2022-05-06,202.25999450683594
2022-05-09,183.35000610351562
2022-05-10,180.97999572753906
2022-05-11,169.27999877929688
2022-05-12,168.24000549316406
2022-05-13,188.89999389648438
2022-05-16,177.0
2022-05-17,174.42999267578125
2022-05-18,162.49000549316406
2022-05-19,174.75
2022-05-20,177.39999389648438
2022-05-23,177.6999969482422
2022-05-24,164.1699981689453
2022-05-25,170.75
2022-05-26,175.17999267578125
2022-05-27,184.77999877929688
2022-05-31,177.32000732421875
2022-06-01,179.25
2022-06-02,196.6199951171875
2022-06-03,190.57000732421875
2022-06-06,190.27000427246094
2022-06-07,200.85000610351562
2022-06-08,200.8000030517578
2022-06-09,196.05999755859375
2022-06-10,183.80999755859375
2022-06-13,166.2899932861328
2022-06-14,167.67999267578125
2022-06-15,179.66000366210938
2022-06-16,165.74000549316406
2022-06-17,178.5500030517578
2022-06-21,183.0
2022-06-22,185.39999389648438
2022-06-23,193.25999450683594
2022-06-24,205.32000732421875
2022-06-27,202.2100067138672
2022-06-28,192.60000610351562
2022-06-29,192.36000061035156
2022-06-30,187.39999389648438
2022-07-01,197.50999450683594
2022-07-05,208.38999938964844
2022-07-06,207.85000610351562
2022-07-07,213.77000427246094
2022-07-08,214.0800018310547
2022-07-11,211.02999877929688
2022-07-12,192.6699981689453
2022-07-13,194.47000122070312
2022-07-14,184.97999572753906
2022-07-15,188.88999938964844
2022-07-18,187.97000122070312
2022-07-19,191.58999633789062
2022-07-20,213.0399932861328
2022-07-21,214.17999267578125
2022-07-22,202.27000427246094
2022-07-25,196.0500030517578
2022-07-26,187.61000061035156
2022-07-27,197.27999877929688
2022-07-28,204.85000610351562
2022-07-29,209.32000732421875
2022-08-01,210.58999633789062
2022-08-02,214.2100067138672
2022-08-03,225.13999938964844
2022-08-04,230.41000366210938
2022-08-05,268.5899963378906
2022-08-08,279.3500061035156
2022-08-09,278.8599853515625
2022-08-10,286.19000244140625
2022-08-11,275.79998779296875
2022-08-12,283.25
2022-08-15,288.4700012207031
2022-08-16,289.3599853515625
2022-08-17,284.260009765625
2022-08-18,283.3699951171875
2022-08-19,269.3399963378906
2022-08-22,258.4700012207031
2022-08-23,258.2799987792969
2022-08-24,258.6600036621094
2022-08-25,266.3299865722656
2022-08-26,257.04998779296875
2022-08-29,250.9600067138672
2022-08-30,251.39999389648438
2022-08-31,247.66000366210938
2022-09-01,235.42999267578125
2022-09-02,232.4199981689453
2022-09-06,229.6699981689453
2022-09-07,235.4199981689453
2022-09-08,240.32000732421875
2022-09-09,258.92999267578125
2022-09-12,264.7900085449219
2022-09-13,248.89999389648438
2022-09-14,255.57000732421875
2022-09-15,252.88999938964844
2022-09-16,242.89999389648438
2022-09-19,241.6199951171875
2022-09-20,235.19000244140625
2022-09-21,232.3000030517578
2022-09-22,220.69000244140625
2022-09-23,217.55999755859375
2022-09-26,213.61000061035156
2022-09-27,214.58999633789062
2022-09-28,218.13999938964844
2022-09-29,212.3300018310547
2022-09-30,210.58999633789062
2022-10-03,217.3300018310547
2022-10-04,236.2100067138672
2022-10-05,242.4600067138672
2022-10-06,238.99000549316406
2022-10-07,228.24000549316406
2022-10-10,220.27000427246094
2022-10-11,207.63999938964844
2022-10-12,203.3699951171875
