Date,CDNS
2022-02-28,151.42999267578125
2022-03-01,150.52999877929688
2022-03-02,157.4600067138672
2022-03-03,153.94000244140625
2022-03-04,154.69000244140625
2022-03-07,150.39999389648438
2022-03-08,145.8000030517578
2022-03-09,150.88999938964844
2022-03-10,149.4600067138672
2022-03-11,144.91000366210938
2022-03-14,139.16000366210938
2022-03-15,142.5
2022-03-16,150.50999450683594
2022-03-17,153.32000732421875
2022-03-18,158.8699951171875
2022-03-21,157.1999969482422
2022-03-22,160.1999969482422
2022-03-23,157.2899932861328
2022-03-24,162.1199951171875
2022-03-25,158.83999633789062
2022-03-28,162.47000122070312
2022-03-29,165.97000122070312
2022-03-30,163.30999755859375
2022-03-31,164.4600067138672
2022-04-01,165.6300048828125
2022-04-04,167.11000061035156
2022-04-05,163.4499969482422
2022-04-06,161.85000610351562
2022-04-07,163.1300048828125
2022-04-08,158.24000549316406
2022-04-11,153.74000549316406
2022-04-12,153.3699951171875
2022-04-13,155.7899932861328
2022-04-14,149.8000030517578
2022-04-18,150.61000061035156
2022-04-19,155.6199951171875
2022-04-20,157.1300048828125
2022-04-21,151.86000061035156
2022-04-22,148.07000732421875
2022-04-25,151.10000610351562
2022-04-26,151.5399932861328
2022-04-27,153.41000366210938
2022-04-28,159.00999450683594
2022-04-29,150.85000610351562
2022-05-02,150.49000549316406
2022-05-03,152.85000610351562
2022-05-04,158.33999633789062
2022-05-05,149.39999389648438
2022-05-06,146.3699951171875
2022-05-09,137.17999267578125
2022-05-10,141.1699981689453
2022-05-11,135.67999267578125
2022-05-12,135.82000732421875
2022-05-13,142.44000244140625
2022-05-16,139.3800048828125
2022-05-17,142.8699951171875
2022-05-18,136.3000030517578
2022-05-19,143.8300018310547
2022-05-20,146.60000610351562
2022-05-23,147.6300048828125
2022-05-24,144.0
2022-05-25,145.05999755859375
2022-05-26,148.6699981689453
2022-05-27,156.24000549316406
2022-05-31,153.72999572753906
2022-06-01,153.22000122070312
2022-06-02,161.41000366210938
2022-06-03,158.55999755859375
2022-06-06,160.2899932861328
2022-06-07,162.27000427246094
2022-06-08,159.92999267578125
2022-06-09,155.80999755859375
2022-06-10,149.11000061035156
2022-06-13,141.66000366210938
2022-06-14,143.38999938964844
2022-06-15,147.72000122070312
2022-06-16,141.0800018310547
2022-06-17,143.08999633789062
2022-06-21,148.13999938964844
2022-06-22,145.9600067138672
2022-06-23,151.05999755859375
2022-06-24,157.6199951171875
2022-06-27,154.4499969482422
2022-06-28,150.1199951171875
2022-06-29,150.9199981689453
2022-06-30,150.02999877929688
2022-07-01,149.63999938964844
2022-07-05,151.63999938964844
2022-07-06,156.0399932861328
2022-07-07,160.19000244140625
2022-07-08,160.4199981689453
2022-07-11,157.8699951171875
2022-07-12,154.22000122070312
2022-07-13,153.33999633789062
2022-07-14,154.02000427246094
2022-07-15,157.0
2022-07-18,155.05999755859375
2022-07-19,161.5800018310547
2022-07-20,164.02000427246094
2022-07-21,168.75
2022-07-22,167.7100067138672
2022-07-25,167.66000366210938
2022-07-26,170.75
2022-07-27,176.6199951171875
2022-07-28,183.6199951171875
2022-07-29,186.0800018310547
2022-08-01,185.0399932861328
2022-08-02,183.4499969482422
2022-08-03,181.9499969482422
2022-08-04,185.5800018310547
2022-08-05,186.5500030517578
2022-08-08,184.3300018310547
2022-08-09,184.61000061035156
2022-08-10,186.33999633789062
2022-08-11,186.35000610351562
2022-08-12,188.8300018310547
2022-08-15,193.08999633789062
2022-08-16,192.6300048828125
2022-08-17,191.0
2022-08-18,190.72999572753906
2022-08-19,188.0399932861328
2022-08-22,184.89999389648438
2022-08-23,183.25
2022-08-24,182.99000549316406
2022-08-25,184.8000030517578
2022-08-26,177.8300018310547
2022-08-29,174.8300018310547
2022-08-30,174.22999572753906
2022-08-31,173.77000427246094
2022-09-01,170.0399932861328
2022-09-02,168.1699981689453
2022-09-06,167.82000732421875
2022-09-07,170.88999938964844
2022-09-08,171.83999633789062
2022-09-09,174.67999267578125
2022-09-12,175.02000427246094
2022-09-13,166.9199981689453
2022-09-14,167.22999572753906
2022-09-15,163.0500030517578
2022-09-16,164.27000427246094
2022-09-19,167.19000244140625
2022-09-20,166.99000549316406
2022-09-21,166.0399932861328
2022-09-22,162.32000732421875
2022-09-23,160.97000122070312
2022-09-26,162.3800048828125
2022-09-27,163.1300048828125
2022-09-28,166.97000122070312
2022-09-29,164.69000244140625
2022-09-30,163.42999267578125
2022-10-03,170.27999877929688
2022-10-04,171.3300018310547
2022-10-05,169.6999969482422
2022-10-06,168.41000366210938
2022-10-07,158.89999389648438
2022-10-10,154.7100067138672
2022-10-11,148.0399932861328
2022-10-12,147.97000122070312
2022-10-13,150.5500030517578
2022-10-14,147.4499969482422
2022-10-17,154.07000732421875
2022-10-18,155.55999755859375
2022-10-19,153.72000122070312
2022-10-20,153.0500030517578
2022-10-21,158.33999633789062
2022-10-24,160.22000122070312
2022-10-25,151.32000732421875
2022-10-26,149.0500030517578
2022-10-27,148.5800018310547
2022-10-28,151.47999572753906
2022-10-31,151.38999938964844
2022-11-01,150.92999267578125
2022-11-02,145.08999633789062
2022-11-03,142.86000061035156
2022-11-04,142.41000366210938
2022-11-07,146.0
2022-11-08,149.10000610351562
2022-11-09,147.75999450683594
2022-11-10,162.02000427246094
2022-11-11,166.89999389648438
2022-11-14,167.92999267578125
2022-11-15,168.74000549316406
2022-11-16,168.86000061035156
2022-11-17,165.10000610351562
2022-11-18,165.02000427246094
2022-11-21,161.86000061035156
2022-11-22,165.1999969482422
2022-11-23,167.50999450683594
