Date,SOFI
2022-02-28,11.449999809265137
2022-03-01,11.199999809265137
2022-03-02,11.579999923706055
2022-03-03,10.6899995803833
2022-03-04,10.0
2022-03-07,9.619999885559082
2022-03-08,9.720000267028809
2022-03-09,9.869999885559082
2022-03-10,9.40999984741211
2022-03-11,8.550000190734863
2022-03-14,7.929999828338623
2022-03-15,8.199999809265137
2022-03-16,8.569999694824219
2022-03-17,8.90999984741211
2022-03-18,9.869999885559082
2022-03-21,9.569999694824219
2022-03-22,9.720000267028809
2022-03-23,9.369999885559082
2022-03-24,9.470000267028809
2022-03-25,9.010000228881836
2022-03-28,9.25
2022-03-29,10.140000343322754
2022-03-30,9.770000457763672
2022-03-31,9.449999809265137
2022-04-01,9.329999923706055
2022-04-04,9.770000457763672
2022-04-05,9.119999885559082
2022-04-06,8.75
2022-04-07,8.119999885559082
2022-04-08,7.869999885559082
2022-04-11,7.71999979019165
2022-04-12,7.480000019073486
2022-04-13,7.610000133514404
2022-04-14,7.260000228881836
2022-04-18,7.130000114440918
2022-04-19,7.409999847412109
2022-04-20,6.949999809265137
2022-04-21,6.599999904632568
2022-04-22,6.389999866485596
2022-04-25,6.550000190734863
2022-04-26,6.289999961853027
2022-04-27,6.150000095367432
2022-04-28,6.449999809265137
2022-04-29,6.119999885559082
2022-05-02,6.329999923706055
2022-05-03,6.400000095367432
2022-05-04,7.139999866485596
2022-05-05,6.829999923706055
2022-05-06,6.440000057220459
2022-05-09,5.96999979019165
2022-05-10,5.25
2022-05-11,5.489999771118164
2022-05-12,5.659999847412109
2022-05-13,6.75
2022-05-16,6.909999847412109
2022-05-17,7.050000190734863
2022-05-18,7.230000019073486
2022-05-19,7.75
2022-05-20,7.489999771118164
2022-05-23,7.269999980926514
2022-05-24,6.71999979019165
2022-05-25,7.010000228881836
2022-05-26,7.139999866485596
2022-05-27,7.550000190734863
2022-05-31,7.480000019073486
2022-06-01,7.050000190734863
2022-06-02,7.420000076293945
2022-06-03,6.980000019073486
2022-06-06,6.860000133514404
2022-06-07,6.860000133514404
2022-06-08,6.659999847412109
2022-06-09,6.110000133514404
2022-06-10,5.940000057220459
2022-06-13,5.610000133514404
2022-06-14,5.925000190734863
2022-06-15,5.940000057220459
2022-06-16,5.46999979019165
2022-06-17,5.699999809265137
2022-06-21,5.71999979019165
2022-06-22,5.599999904632568
2022-06-23,5.78000020980835
2022-06-24,6.130000114440918
2022-06-27,5.929999828338623
2022-06-28,5.559999942779541
2022-06-29,5.539999961853027
2022-06-30,5.269999980926514
2022-07-01,5.409999847412109
2022-07-05,5.840000152587891
2022-07-06,5.900000095367432
2022-07-07,6.260000228881836
2022-07-08,6.190000057220459
2022-07-11,6.010000228881836
2022-07-12,6.039999961853027
2022-07-13,5.949999809265137
2022-07-14,5.909999847412109
2022-07-15,6.289999961853027
2022-07-18,6.349999904632568
2022-07-19,6.619999885559082
2022-07-20,6.96999979019165
2022-07-21,7.039999961853027
2022-07-22,6.619999885559082
2022-07-25,6.460000038146973
2022-07-26,6.139999866485596
2022-07-27,6.440000057220459
2022-07-28,6.300000190734863
2022-07-29,6.309999942779541
2022-08-01,6.360000133514404
2022-08-02,6.409999847412109
2022-08-03,8.229999542236328
2022-08-04,8.229999542236328
2022-08-05,7.960000038146973
2022-08-08,7.980000019073486
2022-08-09,7.389999866485596
2022-08-10,7.809999942779541
2022-08-11,7.420000076293945
2022-08-12,7.650000095367432
2022-08-15,7.619999885559082
2022-08-16,7.579999923706055
2022-08-17,6.880000114440918
2022-08-18,6.679999828338623
2022-08-19,6.329999923706055
2022-08-22,6.099999904632568
2022-08-23,6.170000076293945
2022-08-24,6.449999809265137
2022-08-25,6.690000057220459
2022-08-26,6.179999828338623
2022-08-29,6.0
2022-08-30,5.909999847412109
2022-08-31,5.920000076293945
2022-09-01,5.849999904632568
2022-09-02,5.739999771118164
2022-09-06,5.650000095367432
2022-09-07,5.820000171661377
2022-09-08,6.190000057220459
2022-09-09,6.329999923706055
2022-09-12,6.409999847412109
2022-09-13,5.840000152587891
2022-09-14,6.170000076293945
2022-09-15,6.409999847412109
2022-09-16,6.050000190734863
2022-09-19,6.079999923706055
2022-09-20,5.889999866485596
2022-09-21,5.690000057220459
2022-09-22,5.360000133514404
2022-09-23,5.309999942779541
2022-09-26,5.079999923706055
2022-09-27,5.079999923706055
2022-09-28,5.25
2022-09-29,4.840000152587891
2022-09-30,4.880000114440918
2022-10-03,5.130000114440918
2022-10-04,5.400000095367432
2022-10-05,5.28000020980835
2022-10-06,5.289999961853027
2022-10-07,5.010000228881836
2022-10-10,4.96999979019165
2022-10-11,5.0
2022-10-12,5.079999923706055
2022-10-13,5.090000152587891
2022-10-14,4.809999942779541
2022-10-17,5.070000171661377
2022-10-18,5.25
2022-10-19,4.989999771118164
2022-10-20,5.010000228881836
2022-10-21,5.150000095367432
2022-10-24,5.170000076293945
2022-10-25,5.659999847412109
2022-10-26,5.539999961853027
2022-10-27,5.349999904632568
2022-10-28,5.449999809265137
2022-10-31,5.440000057220459
2022-11-01,5.730000019073486
2022-11-02,5.119999885559082
2022-11-03,5.360000133514404
2022-11-04,5.179999828338623
2022-11-07,5.179999828338623
2022-11-08,5.099999904632568
2022-11-09,4.980000019073486
2022-11-10,5.340000152587891
2022-11-11,5.949999809265137
2022-11-14,5.860000133514404
2022-11-15,5.849999904632568
2022-11-16,5.53000020980835
2022-11-17,5.380000114440918
2022-11-18,5.179999828338623
2022-11-21,4.869999885559082
2022-11-22,4.639999866485596
2022-11-23,4.659999847412109
