Date,RIOT
2022-02-28,17.229999542236328
2022-03-01,17.5
2022-03-02,17.729999542236328
2022-03-03,15.970000267028809
2022-03-04,14.920000076293945
2022-03-07,14.949999809265137
2022-03-08,15.100000381469727
2022-03-09,16.84000015258789
2022-03-10,16.510000228881836
2022-03-11,15.140000343322754
2022-03-14,14.15999984741211
2022-03-15,14.90999984741211
2022-03-16,16.389999389648438
2022-03-17,18.43000030517578
2022-03-18,19.530000686645508
2022-03-21,19.6200008392334
2022-03-22,20.75
2022-03-23,20.84000015258789
2022-03-24,21.540000915527344
2022-03-25,20.760000228881836
2022-03-28,22.860000610351562
2022-03-29,23.0
2022-03-30,22.040000915527344
2022-03-31,21.170000076293945
2022-04-01,20.729999542236328
2022-04-04,20.690000534057617
2022-04-05,19.229999542236328
2022-04-06,17.65999984741211
2022-04-07,17.420000076293945
2022-04-08,16.68000030517578
2022-04-11,15.90999984741211
2022-04-12,15.470000267028809
2022-04-13,16.010000228881836
2022-04-14,14.970000267028809
2022-04-18,14.789999961853027
2022-04-19,14.880000114440918
2022-04-20,13.949999809265137
2022-04-21,12.800000190734863
2022-04-22,11.850000381469727
2022-04-25,12.039999961853027
2022-04-26,11.079999923706055
2022-04-27,10.979999542236328
2022-04-28,10.9399995803833
2022-04-29,10.140000343322754
2022-05-02,10.970000267028809
2022-05-03,10.84000015258789
2022-05-04,11.569999694824219
2022-05-05,10.1899995803833
2022-05-06,9.489999771118164
2022-05-09,7.670000076293945
2022-05-10,7.53000020980835
2022-05-11,6.840000152587891
2022-05-12,7.309999942779541
2022-05-13,7.96999979019165
2022-05-16,7.190000057220459
2022-05-17,7.619999885559082
2022-05-18,6.929999828338623
2022-05-19,7.130000114440918
2022-05-20,6.840000152587891
2022-05-23,6.860000133514404
2022-05-24,6.269999980926514
2022-05-25,6.429999828338623
2022-05-26,6.730000019073486
2022-05-27,7.239999771118164
2022-05-31,7.190000057220459
2022-06-01,6.519999980926514
2022-06-02,6.869999885559082
2022-06-03,6.210000038146973
2022-06-06,6.369999885559082
2022-06-07,6.170000076293945
2022-06-08,5.96999979019165
2022-06-09,5.46999979019165
2022-06-10,5.170000076293945
2022-06-13,4.650000095367432
2022-06-14,4.889999866485596
2022-06-15,4.860000133514404
2022-06-16,4.53000020980835
2022-06-17,4.650000095367432
2022-06-21,5.090000152587891
2022-06-22,4.599999904632568
2022-06-23,4.940000057220459
2022-06-24,5.190000057220459
2022-06-27,4.889999866485596
2022-06-28,4.760000228881836
2022-06-29,4.5
2022-06-30,4.190000057220459
2022-07-01,4.239999771118164
2022-07-05,4.730000019073486
2022-07-06,4.53000020980835
2022-07-07,5.28000020980835
2022-07-08,5.460000038146973
2022-07-11,4.869999885559082
2022-07-12,4.840000152587891
2022-07-13,4.929999828338623
2022-07-14,5.320000171661377
2022-07-15,5.570000171661377
2022-07-18,6.230000019073486
2022-07-19,6.980000019073486
2022-07-20,7.019999980926514
2022-07-21,7.619999885559082
2022-07-22,7.119999885559082
2022-07-25,6.650000095367432
2022-07-26,6.210000038146973
2022-07-27,7.150000095367432
2022-07-28,7.400000095367432
2022-07-29,7.320000171661377
2022-08-01,7.329999923706055
2022-08-02,7.75
2022-08-03,8.119999885559082
2022-08-04,8.180000305175781
2022-08-05,8.270000457763672
2022-08-08,8.710000038146973
2022-08-09,8.145000457763672
2022-08-10,9.109999656677246
2022-08-11,9.520000457763672
2022-08-12,9.930000305175781
2022-08-15,9.760000228881836
2022-08-16,9.170000076293945
2022-08-17,8.350000381469727
2022-08-18,8.279999732971191
2022-08-19,7.25
2022-08-22,7.0
2022-08-23,7.099999904632568
2022-08-24,7.289999961853027
2022-08-25,7.429999828338623
2022-08-26,6.789999961853027
2022-08-29,6.96999979019165
2022-08-30,6.889999866485596
2022-08-31,7.170000076293945
2022-09-01,6.849999904632568
2022-09-02,6.630000114440918
2022-09-06,6.400000095367432
2022-09-07,6.550000190734863
2022-09-08,7.460000038146973
2022-09-09,8.260000228881836
2022-09-12,8.470000267028809
2022-09-13,7.630000114440918
2022-09-14,7.559999942779541
2022-09-15,7.380000114440918
2022-09-16,6.644999980926514
2022-09-19,6.519999980926514
2022-09-20,6.21999979019165
2022-09-21,6.369999885559082
2022-09-22,6.340000152587891
2022-09-23,6.329999923706055
2022-09-26,6.699999809265137
2022-09-27,6.829999923706055
2022-09-28,7.340000152587891
2022-09-29,7.090000152587891
2022-09-30,7.010000228881836
2022-10-03,7.190000057220459
2022-10-04,7.590000152587891
2022-10-05,7.25
2022-10-06,7.159999847412109
2022-10-07,6.565000057220459
2022-10-10,6.389999866485596
2022-10-11,6.190000057220459
2022-10-12,6.139999866485596
2022-10-13,6.389999866485596
2022-10-14,5.760000228881836
2022-10-17,6.039999961853027
2022-10-18,5.869999885559082
2022-10-19,5.670000076293945
2022-10-20,5.579999923706055
2022-10-21,5.829999923706055
2022-10-24,6.050000190734863
2022-10-25,7.010000228881836
2022-10-26,7.059999942779541
2022-10-27,6.840000152587891
2022-10-28,7.050000190734863
2022-10-31,6.889999866485596
2022-11-01,6.449999809265137
2022-11-02,5.869999885559082
2022-11-03,5.510000228881836
2022-11-04,5.789999961853027
2022-11-07,5.75
2022-11-08,5.329999923706055
2022-11-09,4.900000095367432
2022-11-10,5.420000076293945
2022-11-11,5.340000152587891
2022-11-14,5.139999866485596
2022-11-15,5.21999979019165
2022-11-16,4.659999847412109
2022-11-17,4.630000114440918
2022-11-18,4.460000038146973
2022-11-21,3.9800000190734863
2022-11-22,3.990000009536743
2022-11-23,4.420000076293945
