Date,ACIW
2022-02-28,33.52000045776367
2022-03-01,31.690000534057617
2022-03-02,32.54999923706055
2022-03-03,32.779998779296875
2022-03-04,32.09000015258789
2022-03-07,31.520000457763672
2022-03-08,31.579999923706055
2022-03-09,32.65999984741211
2022-03-10,32.13999938964844
2022-03-11,31.610000610351562
2022-03-14,31.5
2022-03-15,31.989999771118164
2022-03-16,32.83000183105469
2022-03-17,32.95000076293945
2022-03-18,33.2599983215332
2022-03-21,33.61000061035156
2022-03-22,33.470001220703125
2022-03-23,32.59000015258789
2022-03-24,32.630001068115234
2022-03-25,32.560001373291016
2022-03-28,32.5099983215332
2022-03-29,33.2599983215332
2022-03-30,32.290000915527344
2022-03-31,31.489999771118164
2022-04-01,30.049999237060547
2022-04-04,29.6200008392334
2022-04-05,28.739999771118164
2022-04-06,27.3700008392334
2022-04-07,26.670000076293945
2022-04-08,26.739999771118164
2022-04-11,27.600000381469727
2022-04-12,27.139999389648438
2022-04-13,27.309999465942383
2022-04-14,27.489999771118164
2022-04-18,27.81999969482422
2022-04-19,28.559999465942383
2022-04-20,29.030000686645508
2022-04-21,28.540000915527344
2022-04-22,28.350000381469727
2022-04-25,28.399999618530273
2022-04-26,27.110000610351562
2022-04-27,26.899999618530273
2022-04-28,27.889999389648438
2022-04-29,27.6200008392334
2022-05-02,27.6299991607666
2022-05-03,27.75
2022-05-04,28.479999542236328
2022-05-05,27.3700008392334
2022-05-06,26.93000030517578
2022-05-09,25.81999969482422
2022-05-10,25.8700008392334
2022-05-11,24.600000381469727
2022-05-12,25.290000915527344
2022-05-13,25.75
2022-05-16,25.25
2022-05-17,25.65999984741211
2022-05-18,25.110000610351562
2022-05-19,25.770000457763672
2022-05-20,25.860000610351562
2022-05-23,26.0
2022-05-24,25.549999237060547
2022-05-25,25.920000076293945
2022-05-26,26.200000762939453
2022-05-27,26.350000381469727
2022-05-31,26.639999389648438
2022-06-01,27.1299991607666
2022-06-02,27.860000610351562
2022-06-03,27.530000686645508
2022-06-06,27.729999542236328
2022-06-07,28.3799991607666
2022-06-08,27.709999084472656
2022-06-09,27.6200008392334
2022-06-10,27.059999465942383
2022-06-13,26.0
2022-06-14,26.020000457763672
2022-06-15,25.829999923706055
2022-06-16,24.079999923706055
2022-06-17,25.200000762939453
2022-06-21,25.5
2022-06-22,25.610000610351562
2022-06-23,26.239999771118164
2022-06-24,27.34000015258789
2022-06-27,27.239999771118164
2022-06-28,26.110000610351562
2022-06-29,25.969999313354492
2022-06-30,25.889999389648438
2022-07-01,25.8700008392334
2022-07-05,26.229999542236328
2022-07-06,26.030000686645508
2022-07-07,27.149999618530273
2022-07-08,27.110000610351562
2022-07-11,27.15999984741211
2022-07-12,27.0
2022-07-13,26.239999771118164
2022-07-14,26.030000686645508
2022-07-15,26.81999969482422
2022-07-18,26.450000762939453
2022-07-19,27.25
2022-07-20,27.290000915527344
2022-07-21,27.450000762939453
2022-07-22,27.479999542236328
2022-07-25,27.329999923706055
2022-07-26,27.479999542236328
2022-07-27,27.899999618530273
2022-07-28,27.860000610351562
2022-07-29,28.530000686645508
2022-08-01,28.639999389648438
2022-08-02,28.3799991607666
2022-08-03,28.5
2022-08-04,27.190000534057617
2022-08-05,26.149999618530273
2022-08-08,25.920000076293945
2022-08-09,25.860000610351562
2022-08-10,26.43000030517578
2022-08-11,26.1299991607666
2022-08-12,26.1299991607666
2022-08-15,25.75
2022-08-16,26.510000228881836
2022-08-17,25.799999237060547
2022-08-18,25.790000915527344
2022-08-19,25.170000076293945
2022-08-22,24.719999313354492
2022-08-23,24.65999984741211
2022-08-24,24.56999969482422
2022-08-25,24.829999923706055
2022-08-26,24.1200008392334
2022-08-29,23.6200008392334
2022-08-30,24.09000015258789
2022-08-31,23.700000762939453
2022-09-01,23.260000228881836
2022-09-02,22.649999618530273
2022-09-06,21.860000610351562
2022-09-07,22.020000457763672
2022-09-08,21.950000762939453
2022-09-09,22.75
2022-09-12,23.399999618530273
2022-09-13,22.690000534057617
2022-09-14,22.440000534057617
2022-09-15,22.420000076293945
2022-09-16,21.8799991607666
2022-09-19,21.950000762939453
2022-09-20,21.739999771118164
2022-09-21,21.459999084472656
2022-09-22,20.899999618530273
2022-09-23,20.780000686645508
2022-09-26,20.440000534057617
2022-09-27,20.5
2022-09-28,21.020000457763672
2022-09-29,21.06999969482422
2022-09-30,20.899999618530273
2022-10-03,21.200000762939453
2022-10-04,22.219999313354492
2022-10-05,22.15999984741211
2022-10-06,22.1200008392334
2022-10-07,21.93000030517578
2022-10-10,21.75
2022-10-11,21.610000610351562
2022-10-12,21.6299991607666
2022-10-13,21.8700008392334
2022-10-14,21.610000610351562
2022-10-17,22.219999313354492
2022-10-18,22.420000076293945
2022-10-19,22.1200008392334
2022-10-20,21.790000915527344
2022-10-21,22.510000228881836
2022-10-24,22.860000610351562
2022-10-25,23.610000610351562
2022-10-26,23.530000686645508
2022-10-27,23.860000610351562
2022-10-28,24.739999771118164
2022-10-31,24.329999923706055
2022-11-01,24.6200008392334
2022-11-02,20.040000915527344
2022-11-03,20.600000381469727
2022-11-04,20.540000915527344
2022-11-07,20.979999542236328
2022-11-08,20.809999465942383
2022-11-09,20.0
2022-11-10,20.40999984741211
2022-11-11,20.780000686645508
2022-11-14,20.760000228881836
2022-11-15,21.610000610351562
2022-11-16,20.969999313354492
2022-11-17,20.829999923706055
2022-11-18,20.59000015258789
2022-11-21,20.309999465942383
2022-11-22,20.40999984741211
2022-11-23,20.639999389648438
2022-11-25,20.899999618530273
2022-11-28,20.43000030517578
