Date,RRR
2022-02-28,50.279998779296875
2022-03-01,47.38999938964844
2022-03-02,48.84000015258789
2022-03-03,47.70000076293945
2022-03-04,46.4900016784668
2022-03-07,41.56999969482422
2022-03-08,42.099998474121094
2022-03-09,43.970001220703125
2022-03-10,43.97999954223633
2022-03-11,43.25
2022-03-14,42.290000915527344
2022-03-15,44.7599983215332
2022-03-16,46.7599983215332
2022-03-17,46.68000030517578
2022-03-18,47.20000076293945
2022-03-21,45.599998474121094
2022-03-22,46.869998931884766
2022-03-23,47.58000183105469
2022-03-24,48.88999938964844
2022-03-25,47.849998474121094
2022-03-28,47.54999923706055
2022-03-29,49.0
2022-03-30,48.849998474121094
2022-03-31,48.560001373291016
2022-04-01,49.09000015258789
2022-04-04,49.970001220703125
2022-04-05,48.0099983215332
2022-04-06,44.09000015258789
2022-04-07,42.709999084472656
2022-04-08,43.150001525878906
2022-04-11,43.09000015258789
2022-04-12,44.45000076293945
2022-04-13,46.529998779296875
2022-04-14,46.599998474121094
2022-04-18,46.810001373291016
2022-04-19,48.06999969482422
2022-04-20,48.130001068115234
2022-04-21,45.689998626708984
2022-04-22,45.2400016784668
2022-04-25,46.70000076293945
2022-04-26,44.66999816894531
2022-04-27,43.75
2022-04-28,45.040000915527344
2022-04-29,43.959999084472656
2022-05-02,45.25
2022-05-03,44.95000076293945
2022-05-04,41.56999969482422
2022-05-05,39.84000015258789
2022-05-06,39.439998626708984
2022-05-09,37.06999969482422
2022-05-10,37.619998931884766
2022-05-11,36.31999969482422
2022-05-12,37.40999984741211
2022-05-13,38.38999938964844
2022-05-16,38.150001525878906
2022-05-17,38.189998626708984
2022-05-18,35.369998931884766
2022-05-19,36.130001068115234
2022-05-20,37.220001220703125
2022-05-23,36.52000045776367
2022-05-24,34.95000076293945
2022-05-25,35.779998779296875
2022-05-26,38.11000061035156
2022-05-27,38.630001068115234
2022-05-31,38.72999954223633
2022-06-01,39.29999923706055
2022-06-02,40.02000045776367
2022-06-03,39.41999816894531
2022-06-06,40.06999969482422
2022-06-07,40.790000915527344
2022-06-08,40.2599983215332
2022-06-09,39.63999938964844
2022-06-10,37.5099983215332
2022-06-13,33.91999816894531
2022-06-14,34.560001373291016
2022-06-15,35.040000915527344
