Date,CGNX
2022-02-28,67.55999755859375
2022-03-01,66.44000244140625
2022-03-02,67.91999816894531
2022-03-03,66.66999816894531
2022-03-04,67.62000274658203
2022-03-07,66.37999725341797
2022-03-08,64.72000122070312
2022-03-09,66.4800033569336
2022-03-10,66.02999877929688
2022-03-11,65.91999816894531
2022-03-14,64.56999969482422
2022-03-15,66.73999786376953
2022-03-16,68.20999908447266
2022-03-17,70.44000244140625
2022-03-18,71.6500015258789
2022-03-21,71.0999984741211
2022-03-22,72.68000030517578
2022-03-23,72.5
2022-03-24,74.12999725341797
2022-03-25,74.80999755859375
2022-03-28,76.2699966430664
2022-03-29,79.95999908447266
2022-03-30,78.08000183105469
2022-03-31,77.1500015258789
2022-04-01,78.05999755859375
2022-04-04,78.80999755859375
2022-04-05,77.80000305175781
2022-04-06,75.87999725341797
2022-04-07,76.0199966430664
2022-04-08,75.44000244140625
2022-04-11,71.66999816894531
2022-04-12,70.83000183105469
2022-04-13,71.38999938964844
2022-04-14,70.22000122070312
2022-04-18,70.9800033569336
2022-04-19,71.9800033569336
2022-04-20,72.16000366210938
2022-04-21,71.0199966430664
2022-04-22,69.18000030517578
2022-04-25,70.75
2022-04-26,68.04000091552734
2022-04-27,68.2699966430664
2022-04-28,69.81999969482422
2022-04-29,67.62999725341797
2022-05-02,67.0199966430664
2022-05-03,67.30000305175781
2022-05-04,68.12000274658203
2022-05-05,61.0099983215332
2022-05-06,54.34000015258789
2022-05-09,49.119998931884766
2022-05-10,48.9900016784668
2022-05-11,46.63999938964844
2022-05-12,46.59000015258789
2022-05-13,49.97999954223633
2022-05-16,48.43000030517578
2022-05-17,49.0099983215332
2022-05-18,47.560001373291016
2022-05-19,47.31999969482422
2022-05-20,47.540000915527344
2022-05-23,47.790000915527344
2022-05-24,45.2400016784668
2022-05-25,46.060001373291016
2022-05-26,46.15999984741211
2022-05-27,49.29999923706055
2022-05-31,48.41999816894531
2022-06-01,47.099998474121094
2022-06-02,49.79999923706055
2022-06-03,48.060001373291016
2022-06-06,48.25
2022-06-07,48.66999816894531
2022-06-08,47.900001525878906
2022-06-09,45.709999084472656
2022-06-10,45.18000030517578
2022-06-13,43.0
2022-06-14,43.02000045776367
2022-06-15,43.720001220703125
2022-06-16,42.25
2022-06-17,42.970001220703125
2022-06-21,42.959999084472656
2022-06-22,42.45000076293945
2022-06-23,44.189998626708984
2022-06-24,45.380001068115234
2022-06-27,45.470001220703125
2022-06-28,44.630001068115234
2022-06-29,43.959999084472656
2022-06-30,42.52000045776367
2022-07-01,43.470001220703125
2022-07-05,44.08000183105469
2022-07-06,44.18000030517578
2022-07-07,45.650001525878906
2022-07-08,44.7400016784668
2022-07-11,44.33000183105469
2022-07-12,43.52000045776367
2022-07-13,44.150001525878906
2022-07-14,44.150001525878906
2022-07-15,45.20000076293945
2022-07-18,44.93000030517578
2022-07-19,46.97999954223633
2022-07-20,47.88999938964844
2022-07-21,49.349998474121094
2022-07-22,48.7599983215332
2022-07-25,48.459999084472656
2022-07-26,47.599998474121094
2022-07-27,49.099998474121094
2022-07-28,50.59000015258789
2022-07-29,50.97999954223633
2022-08-01,50.529998779296875
2022-08-02,49.720001220703125
2022-08-03,46.459999084472656
2022-08-04,47.95000076293945
2022-08-05,47.939998626708984
2022-08-08,47.90999984741211
2022-08-09,45.9900016784668
2022-08-10,47.93000030517578
2022-08-11,48.47999954223633
2022-08-12,48.220001220703125
2022-08-15,48.560001373291016
2022-08-16,48.63999938964844
2022-08-17,47.34000015258789
2022-08-18,47.209999084472656
2022-08-19,46.040000915527344
2022-08-22,43.58000183105469
2022-08-23,43.02000045776367
2022-08-24,43.79999923706055
2022-08-25,45.369998931884766
2022-08-26,44.849998474121094
2022-08-29,44.22999954223633
2022-08-30,42.869998931884766
2022-08-31,42.11000061035156
2022-09-01,42.52000045776367
2022-09-02,41.880001068115234
2022-09-06,42.619998931884766
2022-09-07,43.75
2022-09-08,44.459999084472656
2022-09-09,45.18000030517578
2022-09-12,45.470001220703125
2022-09-13,42.88999938964844
2022-09-14,42.38999938964844
2022-09-15,41.93000030517578
2022-09-16,42.29999923706055
2022-09-19,41.720001220703125
2022-09-20,44.40999984741211
2022-09-21,42.90999984741211
2022-09-22,42.310001373291016
2022-09-23,42.540000915527344
2022-09-26,42.15999984741211
2022-09-27,42.63999938964844
2022-09-28,43.5
2022-09-29,42.16999816894531
2022-09-30,41.45000076293945
2022-10-03,43.439998626708984
2022-10-04,45.130001068115234
2022-10-05,44.880001068115234
2022-10-06,44.83000183105469
2022-10-07,42.93000030517578
2022-10-10,43.279998779296875
2022-10-11,42.7400016784668
2022-10-12,41.970001220703125
2022-10-13,42.88999938964844
2022-10-14,40.880001068115234
2022-10-17,43.459999084472656
2022-10-18,44.279998779296875
2022-10-19,43.45000076293945
2022-10-20,42.470001220703125
2022-10-21,43.70000076293945
2022-10-24,43.61000061035156
2022-10-25,45.9900016784668
2022-10-26,45.93000030517578
2022-10-27,45.7400016784668
2022-10-28,47.11000061035156
2022-10-31,46.22999954223633
2022-11-01,45.459999084472656
2022-11-02,42.72999954223633
2022-11-03,42.58000183105469
2022-11-04,46.040000915527344
2022-11-07,47.90999984741211
2022-11-08,46.900001525878906
2022-11-09,45.939998626708984
2022-11-10,49.810001373291016
2022-11-11,51.15999984741211
2022-11-14,50.7400016784668
2022-11-15,51.209999084472656
2022-11-16,50.16999816894531
2022-11-17,48.90999984741211
2022-11-18,47.7400016784668
2022-11-21,48.29999923706055
2022-11-22,47.5099983215332
2022-11-23,49.16999816894531
