Date,ROKU
2022-02-28,139.52999877929688
2022-03-01,136.6199951171875
2022-03-02,132.64999389648438
2022-03-03,127.8499984741211
2022-03-04,121.5
2022-03-07,112.44999694824219
2022-03-08,113.45999908447266
2022-03-09,117.55000305175781
2022-03-10,110.8499984741211
2022-03-11,103.8499984741211
2022-03-14,100.69000244140625
2022-03-15,101.83000183105469
2022-03-16,114.91000366210938
2022-03-17,119.87999725341797
2022-03-18,124.8499984741211
2022-03-21,120.51000213623047
2022-03-22,125.54000091552734
2022-03-23,125.33999633789062
2022-03-24,127.33000183105469
2022-03-25,123.75
2022-03-28,128.36000061035156
2022-03-29,137.55999755859375
2022-03-30,129.9499969482422
2022-03-31,125.2699966430664
2022-04-01,125.55999755859375
2022-04-04,134.58999633789062
2022-04-05,127.37000274658203
2022-04-06,119.33000183105469
2022-04-07,117.16999816894531
2022-04-08,114.73999786376953
2022-04-11,115.44999694824219
2022-04-12,113.58000183105469
2022-04-13,116.4800033569336
2022-04-14,111.36000061035156
2022-04-18,107.91000366210938
2022-04-19,116.77999877929688
2022-04-20,109.56999969482422
2022-04-21,99.55000305175781
2022-04-22,97.08999633789062
2022-04-25,101.41000366210938
2022-04-26,91.76000213623047
2022-04-27,84.76000213623047
2022-04-28,91.62999725341797
2022-04-29,92.9000015258789
2022-05-02,103.12999725341797
2022-05-03,103.94999694824219
2022-05-04,110.01000213623047
2022-05-05,102.44999694824219
2022-05-06,96.83000183105469
2022-05-09,87.7699966430664
2022-05-10,83.87000274658203
2022-05-11,78.72000122070312
2022-05-12,87.5
2022-05-13,97.83999633789062
2022-05-16,93.26000213623047
2022-05-17,97.66000366210938
2022-05-18,94.83999633789062
2022-05-19,96.87000274658203
2022-05-20,94.19999694824219
2022-05-23,91.7699966430664
2022-05-24,79.16000366210938
2022-05-25,84.79000091552734
2022-05-26,88.54000091552734
2022-05-27,96.47000122070312
2022-05-31,94.9000015258789
2022-06-01,90.7699966430664
2022-06-02,95.8499984741211
2022-06-03,87.27999877929688
2022-06-06,89.52999877929688
2022-06-07,93.41999816894531
2022-06-08,101.87999725341797
2022-06-09,92.37000274658203
2022-06-10,82.70999908447266
2022-06-13,73.25
2022-06-14,74.29000091552734
2022-06-15,83.0
2022-06-16,78.58000183105469
2022-06-17,82.41999816894531
2022-06-21,89.08000183105469
2022-06-22,91.19000244140625
2022-06-23,96.02999877929688
2022-06-24,98.7699966430664
2022-06-27,94.75
2022-06-28,89.08999633789062
2022-06-29,87.11000061035156
2022-06-30,82.13999938964844
2022-07-01,83.91000366210938
2022-07-05,92.05999755859375
2022-07-06,88.52999877929688
2022-07-07,93.48999786376953
2022-07-08,94.41000366210938
2022-07-11,85.86000061035156
2022-07-12,87.55999755859375
2022-07-13,87.0199966430664
2022-07-14,82.33999633789062
2022-07-15,85.7699966430664
2022-07-18,88.22000122070312
2022-07-19,89.87000274658203
2022-07-20,96.08000183105469
2022-07-21,97.52999877929688
2022-07-22,88.83999633789062
2022-07-25,86.70999908447266
2022-07-26,79.87000274658203
2022-07-27,86.91999816894531
2022-07-28,85.16999816894531
2022-07-29,65.5199966430664
2022-08-01,71.69000244140625
2022-08-02,75.70999908447266
2022-08-03,79.0
2022-08-04,81.27999877929688
2022-08-05,82.26000213623047
2022-08-08,83.5999984741211
2022-08-09,78.0999984741211
2022-08-10,81.08000183105469
2022-08-11,80.6500015258789
2022-08-12,83.80999755859375
2022-08-15,84.37999725341797
2022-08-16,84.12000274658203
2022-08-17,78.41999816894531
2022-08-18,77.91000366210938
2022-08-19,74.1500015258789
2022-08-22,70.98999786376953
2022-08-23,68.8499984741211
2022-08-24,69.01000213623047
2022-08-25,73.43000030517578
2022-08-26,68.31999969482422
2022-08-29,67.01000213623047
2022-08-30,67.01000213623047
2022-08-31,68.0
2022-09-01,68.30000305175781
2022-09-02,65.98999786376953
2022-09-06,63.72999954223633
2022-09-07,65.54000091552734
2022-09-08,69.2699966430664
2022-09-09,71.55000305175781
2022-09-12,72.01000213623047
2022-09-13,68.05000305175781
2022-09-14,68.3499984741211
2022-09-15,73.80999755859375
2022-09-16,71.3499984741211
2022-09-19,73.0199966430664
2022-09-20,68.4000015258789
2022-09-21,65.625
2022-09-22,60.88999938964844
2022-09-23,59.880001068115234
2022-09-26,58.18000030517578
2022-09-27,58.88999938964844
2022-09-28,61.11000061035156
2022-09-29,56.779998779296875
2022-09-30,56.400001525878906
2022-10-03,59.560001373291016
2022-10-04,62.400001525878906
2022-10-05,59.70000076293945
2022-10-06,59.38999938964844
2022-10-07,55.08000183105469
2022-10-10,53.61000061035156
2022-10-11,51.70000076293945
2022-10-12,53.060001373291016
2022-10-13,51.939998626708984
2022-10-14,49.279998779296875
2022-10-17,52.560001373291016
2022-10-18,53.22999954223633
2022-10-19,51.099998474121094
2022-10-20,51.880001068115234
2022-10-21,50.150001525878906
2022-10-24,50.619998931884766
2022-10-25,55.34000015258789
2022-10-26,52.599998474121094
2022-10-27,52.27000045776367
2022-10-28,54.54999923706055
2022-10-31,55.540000915527344
2022-11-01,56.790000915527344
2022-11-02,54.31999969482422
2022-11-03,51.84000015258789
2022-11-04,49.59000015258789
2022-11-07,50.369998931884766
2022-11-08,51.13999938964844
2022-11-09,48.11000061035156
2022-11-10,55.5099983215332
2022-11-11,61.29999923706055
2022-11-14,58.529998779296875
2022-11-15,59.06999969482422
2022-11-16,56.880001068115234
2022-11-17,56.40999984741211
2022-11-18,55.650001525878906
2022-11-21,53.65999984741211
2022-11-22,54.36000061035156
2022-11-23,56.5099983215332
