Date,HTHT
2022-02-28,41.36000061035156
2022-03-01,41.38999938964844
2022-03-02,42.970001220703125
2022-03-03,42.11000061035156
2022-03-04,38.400001525878906
2022-03-07,33.380001068115234
2022-03-08,33.470001220703125
2022-03-09,35.4900016784668
2022-03-10,31.030000686645508
2022-03-11,27.229999542236328
2022-03-14,22.280000686645508
2022-03-15,24.790000915527344
2022-03-16,33.34000015258789
2022-03-17,32.650001525878906
2022-03-18,32.869998931884766
2022-03-21,31.25
2022-03-22,33.939998626708984
2022-03-23,32.86000061035156
2022-03-24,32.869998931884766
2022-03-25,32.0
2022-03-28,32.560001373291016
2022-03-29,32.70000076293945
2022-03-30,34.13999938964844
2022-03-31,32.9900016784668
2022-04-01,35.060001373291016
2022-04-04,35.93000030517578
2022-04-05,34.5
2022-04-06,34.31999969482422
2022-04-07,32.7599983215332
2022-04-08,32.2400016784668
2022-04-11,30.59000015258789
2022-04-12,31.329999923706055
2022-04-13,33.83000183105469
2022-04-14,33.43000030517578
2022-04-18,32.04999923706055
2022-04-19,32.869998931884766
2022-04-20,32.220001220703125
2022-04-21,29.139999389648438
2022-04-22,29.899999618530273
2022-04-25,30.020000457763672
2022-04-26,28.850000381469727
2022-04-27,30.489999771118164
2022-04-28,30.170000076293945
2022-04-29,30.239999771118164
2022-05-02,30.190000534057617
2022-05-03,30.170000076293945
2022-05-04,31.360000610351562
2022-05-05,29.020000457763672
2022-05-06,26.770000457763672
2022-05-09,25.360000610351562
2022-05-10,25.8700008392334
2022-05-11,26.299999237060547
2022-05-12,26.40999984741211
2022-05-13,29.520000457763672
2022-05-16,28.450000762939453
2022-05-17,29.639999389648438
2022-05-18,28.889999389648438
2022-05-19,28.780000686645508
2022-05-20,28.6200008392334
2022-05-23,28.209999084472656
2022-05-24,26.780000686645508
2022-05-25,27.299999237060547
2022-05-26,30.290000915527344
2022-05-27,30.760000228881836
2022-05-31,32.5
2022-06-01,32.34000015258789
2022-06-02,32.47999954223633
2022-06-03,32.08000183105469
2022-06-06,33.849998474121094
2022-06-07,33.810001373291016
2022-06-08,35.439998626708984
2022-06-09,32.709999084472656
2022-06-10,31.31999969482422
2022-06-13,29.6299991607666
2022-06-14,30.75
2022-06-15,31.579999923706055
2022-06-16,29.739999771118164
2022-06-17,31.06999969482422
2022-06-21,32.79999923706055
2022-06-22,32.61000061035156
2022-06-23,32.91999816894531
2022-06-24,35.560001373291016
2022-06-27,35.77000045776367
2022-06-28,38.36000061035156
2022-06-29,37.369998931884766
2022-06-30,38.099998474121094
2022-07-01,39.119998931884766
2022-07-05,38.0
2022-07-06,37.06999969482422
2022-07-07,39.4900016784668
2022-07-08,39.650001525878906
2022-07-11,37.380001068115234
2022-07-12,37.43000030517578
2022-07-13,38.93000030517578
2022-07-14,38.880001068115234
2022-07-15,38.43000030517578
2022-07-18,39.5099983215332
2022-07-19,40.0
2022-07-20,39.970001220703125
2022-07-21,40.439998626708984
2022-07-22,39.970001220703125
2022-07-25,39.90999984741211
2022-07-26,39.970001220703125
2022-07-27,40.68000030517578
2022-07-28,39.4900016784668
2022-07-29,38.349998474121094
