Date,NXPI
2022-02-28,190.1199951171875
2022-03-01,181.17999267578125
2022-03-02,188.35000610351562
2022-03-03,184.6999969482422
2022-03-04,176.4499969482422
2022-03-07,169.72000122070312
2022-03-08,176.89999389648438
2022-03-09,183.35000610351562
2022-03-10,180.5
2022-03-11,178.55999755859375
2022-03-14,171.7100067138672
2022-03-15,178.44000244140625
2022-03-16,188.32000732421875
2022-03-17,189.77000427246094
2022-03-18,192.4199981689453
2022-03-21,190.50999450683594
2022-03-22,187.75
2022-03-23,183.58999633789062
2022-03-24,191.0800018310547
2022-03-25,190.4600067138672
2022-03-28,189.4199981689453
2022-03-29,194.74000549316406
2022-03-30,187.3300018310547
2022-03-31,185.0800018310547
2022-04-01,182.02000427246094
2022-04-04,182.61000061035156
2022-04-05,175.07000732421875
2022-04-06,174.02000427246094
2022-04-07,172.9199981689453
2022-04-08,167.5
2022-04-11,165.52000427246094
2022-04-12,166.22999572753906
2022-04-13,171.02999877929688
2022-04-14,170.0
2022-04-18,173.25
2022-04-19,178.64999389648438
2022-04-20,178.7899932861328
2022-04-21,174.85000610351562
2022-04-22,170.75
2022-04-25,172.83999633789062
2022-04-26,167.75
2022-04-27,170.75999450683594
2022-04-28,177.25
2022-04-29,170.89999389648438
2022-05-02,177.0
2022-05-03,178.07000732421875
2022-05-04,185.9199981689453
2022-05-05,178.3699951171875
2022-05-06,177.5800018310547
2022-05-09,172.89999389648438
2022-05-10,178.44000244140625
2022-05-11,170.8699951171875
2022-05-12,173.66000366210938
2022-05-13,181.99000549316406
2022-05-16,176.99000549316406
2022-05-17,185.63999938964844
2022-05-18,175.38999938964844
2022-05-19,175.7899932861328
2022-05-20,180.11000061035156
2022-05-23,180.69000244140625
2022-05-24,179.1199951171875
2022-05-25,184.6300048828125
2022-05-26,192.6300048828125
2022-05-27,195.92999267578125
2022-05-31,189.75999450683594
2022-06-01,184.57000732421875
2022-06-02,187.94000244140625
2022-06-03,182.3699951171875
2022-06-06,180.00999450683594
2022-06-07,181.8300018310547
2022-06-08,177.07000732421875
2022-06-09,184.22000122070312
2022-06-10,178.57000732421875
2022-06-13,168.52000427246094
2022-06-14,168.2899932861328
2022-06-15,168.94000244140625
2022-06-16,158.32000732421875
2022-06-17,157.8300018310547
2022-06-21,159.08999633789062
2022-06-22,156.9499969482422
2022-06-23,153.50999450683594
2022-06-24,159.32000732421875
2022-06-27,158.86000061035156
2022-06-28,154.22000122070312
2022-06-29,150.02000427246094
2022-06-30,148.02999877929688
2022-07-01,146.08999633789062
2022-07-05,145.91000366210938
2022-07-06,145.75
2022-07-07,152.02000427246094
2022-07-08,154.27999877929688
2022-07-11,151.9600067138672
2022-07-12,152.24000549316406
2022-07-13,155.00999450683594
2022-07-14,159.82000732421875
2022-07-15,163.97999572753906
2022-07-18,161.9199981689453
2022-07-19,170.42999267578125
2022-07-20,176.47999572753906
2022-07-21,179.9499969482422
2022-07-22,175.13999938964844
2022-07-25,174.1300048828125
2022-07-26,174.4600067138672
2022-07-27,181.4199981689453
2022-07-28,183.1199951171875
2022-07-29,183.8800048828125
2022-08-01,184.5
2022-08-02,180.47000122070312
2022-08-03,185.5500030517578
2022-08-04,184.25999450683594
2022-08-05,181.66000366210938
2022-08-08,179.9600067138672
2022-08-09,171.0399932861328
2022-08-10,179.97000122070312
2022-08-11,180.3800048828125
