Date,ZS
2022-02-28,239.14999389648438
2022-03-01,247.8300018310547
2022-03-02,254.41000366210938
2022-03-03,242.02999877929688
2022-03-04,225.5
2022-03-07,204.3699951171875
2022-03-08,198.6300048828125
2022-03-09,212.35000610351562
2022-03-10,208.41000366210938
2022-03-11,201.13999938964844
2022-03-14,189.52999877929688
2022-03-15,196.61000061035156
2022-03-16,207.02999877929688
2022-03-17,214.8300018310547
2022-03-18,222.7100067138672
2022-03-21,220.86000061035156
2022-03-22,232.38999938964844
2022-03-23,233.3800048828125
2022-03-24,235.7899932861328
2022-03-25,230.32000732421875
2022-03-28,237.92999267578125
2022-03-29,243.99000549316406
2022-03-30,239.89999389648438
2022-03-31,241.27999877929688
2022-04-01,246.2100067138672
2022-04-04,252.11000061035156
2022-04-05,238.61000061035156
2022-04-06,226.07000732421875
2022-04-07,231.9600067138672
2022-04-08,226.7899932861328
2022-04-11,224.32000732421875
2022-04-12,223.0
2022-04-13,241.22999572753906
2022-04-14,230.83999633789062
2022-04-18,223.57000732421875
2022-04-19,228.7899932861328
2022-04-20,221.7100067138672
2022-04-21,211.47000122070312
2022-04-22,206.47000122070312
2022-04-25,216.7899932861328
2022-04-26,207.30999755859375
2022-04-27,204.75999450683594
2022-04-28,213.58999633789062
2022-04-29,202.74000549316406
2022-05-02,208.22999572753906
2022-05-03,204.6999969482422
2022-05-04,208.92999267578125
2022-05-05,190.41000366210938
2022-05-06,172.94000244140625
2022-05-09,153.08999633789062
2022-05-10,150.2899932861328
2022-05-11,136.57000732421875
2022-05-12,137.6300048828125
2022-05-13,153.22999572753906
2022-05-16,140.0800018310547
2022-05-17,141.77999877929688
2022-05-18,128.08999633789062
2022-05-19,132.3000030517578
2022-05-20,136.88999938964844
2022-05-23,138.1699981689453
2022-05-24,127.80999755859375
2022-05-25,132.5800018310547
2022-05-26,142.1300048828125
2022-05-27,160.0
2022-05-31,153.08999633789062
2022-06-01,148.94000244140625
2022-06-02,160.83999633789062
2022-06-03,156.92999267578125
2022-06-06,158.57000732421875
2022-06-07,162.80999755859375
2022-06-08,165.57000732421875
2022-06-09,160.4199981689453
2022-06-10,153.61000061035156
2022-06-13,140.97999572753906
2022-06-14,142.11000061035156
2022-06-15,148.25
2022-06-16,136.02999877929688
2022-06-17,144.22000122070312
2022-06-21,150.25
2022-06-22,149.11000061035156
2022-06-23,162.75999450683594
2022-06-24,170.82000732421875
2022-06-27,164.22999572753906
2022-06-28,154.9199981689453
2022-06-29,154.9499969482422
2022-06-30,149.50999450683594
2022-07-01,155.3699951171875
2022-07-05,166.30999755859375
2022-07-06,163.75
2022-07-07,167.42999267578125
2022-07-08,166.88999938964844
2022-07-11,162.4199981689453
2022-07-12,150.9199981689453
2022-07-13,148.9499969482422
2022-07-14,146.05999755859375
2022-07-15,149.32000732421875
2022-07-18,150.82000732421875
2022-07-19,155.83999633789062
2022-07-20,162.9499969482422
2022-07-21,164.63999938964844
2022-07-22,159.92999267578125
2022-07-25,156.08999633789062
2022-07-26,141.9499969482422
2022-07-27,148.7100067138672
2022-07-28,153.05999755859375
2022-07-29,155.05999755859375
2022-08-01,153.5
2022-08-02,157.77999877929688
2022-08-03,165.2899932861328
2022-08-04,161.99000549316406
2022-08-05,163.4199981689453
2022-08-08,168.14999389648438
2022-08-09,163.41000366210938
2022-08-10,180.41000366210938
2022-08-11,178.7100067138672
2022-08-12,182.63999938964844
2022-08-15,181.7100067138672
2022-08-16,178.60000610351562
2022-08-17,174.35000610351562
2022-08-18,175.30999755859375
2022-08-19,166.22000122070312
2022-08-22,163.0
2022-08-23,165.35000610351562
2022-08-24,165.64999389648438
2022-08-25,167.72000122070312
2022-08-26,161.19000244140625
2022-08-29,158.52999877929688
2022-08-30,160.8800048828125
2022-08-31,159.24000549316406
2022-09-01,145.57000732421875
2022-09-02,145.1199951171875
2022-09-06,145.02999877929688
2022-09-07,147.7100067138672
2022-09-08,154.25
2022-09-09,188.0
2022-09-12,193.60000610351562
2022-09-13,181.22000122070312
2022-09-14,182.97999572753906
2022-09-15,175.99000549316406
2022-09-16,169.49000549316406
2022-09-19,174.57000732421875
2022-09-20,172.67999267578125
2022-09-21,171.8800048828125
2022-09-22,162.55999755859375
2022-09-23,158.69000244140625
2022-09-26,159.75999450683594
2022-09-27,163.2100067138672
2022-09-28,168.77999877929688
2022-09-29,165.88999938964844
2022-09-30,164.3699951171875
2022-10-03,170.50999450683594
2022-10-04,176.0
2022-10-05,180.14999389648438
2022-10-06,182.9199981689453
2022-10-07,170.08999633789062
2022-10-10,157.17999267578125
2022-10-11,148.72999572753906
2022-10-12,147.6300048828125
2022-10-13,145.1300048828125
2022-10-14,135.30999755859375
2022-10-17,145.27999877929688
2022-10-18,149.69000244140625
2022-10-19,148.77000427246094
2022-10-20,150.22999572753906
2022-10-21,150.47999572753906
2022-10-24,148.6699981689453
2022-10-25,157.08999633789062
2022-10-26,151.02999877929688
2022-10-27,153.77000427246094
2022-10-28,153.9600067138672
2022-10-31,154.10000610351562
2022-11-01,150.38999938964844
2022-11-02,138.08999633789062
2022-11-03,131.07000732421875
2022-11-04,121.0
2022-11-07,117.36000061035156
2022-11-08,119.93000030517578
2022-11-09,116.25
2022-11-10,133.1199951171875
2022-11-11,142.19000244140625
2022-11-14,136.85000610351562
2022-11-15,147.25999450683594
2022-11-16,140.35000610351562
2022-11-17,136.75
2022-11-18,138.72999572753906
2022-11-21,135.9199981689453
2022-11-22,136.75999450683594
2022-11-23,140.0800018310547
2022-11-25,138.75
2022-11-28,136.72000122070312
