Date,POOL
2022-02-28,458.5799865722656
2022-03-01,462.510009765625
2022-03-02,475.4800109863281
2022-03-03,469.45001220703125
2022-03-04,465.80999755859375
2022-03-07,451.54998779296875
2022-03-08,437.0
2022-03-09,456.739990234375
2022-03-10,452.0799865722656
2022-03-11,442.1000061035156
2022-03-14,441.0799865722656
2022-03-15,452.80999755859375
2022-03-16,467.7099914550781
2022-03-17,475.1499938964844
2022-03-18,487.4100036621094
2022-03-21,475.82000732421875
2022-03-22,476.8800048828125
2022-03-23,460.1300048828125
2022-03-24,450.5199890136719
2022-03-25,431.239990234375
2022-03-28,440.25
2022-03-29,454.489990234375
2022-03-30,449.44000244140625
2022-03-31,422.8500061035156
2022-04-01,425.0299987792969
2022-04-04,430.739990234375
2022-04-05,433.5400085449219
2022-04-06,419.9100036621094
2022-04-07,425.67999267578125
2022-04-08,422.0899963378906
2022-04-11,415.0400085449219
2022-04-12,410.9700012207031
2022-04-13,421.44000244140625
2022-04-14,414.05999755859375
2022-04-18,410.489990234375
2022-04-19,429.7900085449219
2022-04-20,431.82000732421875
2022-04-21,427.19000244140625
2022-04-22,415.739990234375
2022-04-25,427.6400146484375
2022-04-26,415.4800109863281
2022-04-27,404.95001220703125
2022-04-28,417.6600036621094
2022-04-29,405.2200012207031
2022-05-02,412.0799865722656
2022-05-03,406.1600036621094
2022-05-04,416.9200134277344
2022-05-05,400.55999755859375
2022-05-06,394.29998779296875
2022-05-09,399.8399963378906
2022-05-10,395.94000244140625
2022-05-11,381.4100036621094
2022-05-12,403.75
2022-05-13,411.1600036621094
2022-05-16,401.17999267578125
2022-05-17,405.2099914550781
2022-05-18,387.30999755859375
2022-05-19,393.4599914550781
2022-05-20,405.5799865722656
2022-05-23,404.760009765625
2022-05-24,389.20001220703125
2022-05-25,393.489990234375
2022-05-26,400.8599853515625
2022-05-27,406.0
2022-05-31,398.6199951171875
2022-06-01,393.0400085449219
2022-06-02,414.510009765625
2022-06-03,407.2699890136719
2022-06-06,411.6099853515625
2022-06-07,410.79998779296875
2022-06-08,406.8699951171875
2022-06-09,416.3900146484375
2022-06-10,385.0299987792969
2022-06-13,368.8699951171875
2022-06-14,349.44000244140625
2022-06-15,353.82000732421875
2022-06-16,332.17999267578125
2022-06-17,332.92999267578125
2022-06-21,332.760009765625
2022-06-22,335.7799987792969
2022-06-23,353.0299987792969
2022-06-24,356.94000244140625
2022-06-27,356.4200134277344
2022-06-28,353.0799865722656
2022-06-29,349.9800109863281
2022-06-30,351.2300109863281
2022-07-01,351.9200134277344
