Date,CWST
2022-02-28,75.4000015258789
2022-03-01,76.01000213623047
2022-03-02,78.80999755859375
2022-03-03,80.19999694824219
2022-03-04,82.30999755859375
2022-03-07,82.75
2022-03-08,84.55999755859375
2022-03-09,87.5999984741211
2022-03-10,91.23999786376953
2022-03-11,90.69999694824219
2022-03-14,88.11000061035156
2022-03-15,87.9000015258789
2022-03-16,87.2699966430664
2022-03-17,86.29000091552734
2022-03-18,87.06999969482422
2022-03-21,85.66999816894531
2022-03-22,86.12000274658203
2022-03-23,85.5999984741211
2022-03-24,84.66000366210938
2022-03-25,85.5199966430664
2022-03-28,86.6500015258789
2022-03-29,87.5
2022-03-30,88.4000015258789
2022-03-31,87.6500015258789
2022-04-01,88.2300033569336
2022-04-04,87.45999908447266
2022-04-05,86.62000274658203
2022-04-06,87.5
2022-04-07,88.76000213623047
2022-04-08,89.41000366210938
2022-04-11,90.05000305175781
2022-04-12,91.1500015258789
2022-04-13,88.73999786376953
2022-04-14,87.91000366210938
2022-04-18,87.19999694824219
2022-04-19,88.27999877929688
2022-04-20,88.45999908447266
2022-04-21,87.4000015258789
2022-04-22,84.48999786376953
2022-04-25,84.58000183105469
2022-04-26,85.86000061035156
2022-04-27,87.0999984741211
2022-04-28,86.91999816894531
2022-04-29,82.23999786376953
2022-05-02,77.58000183105469
2022-05-03,76.69999694824219
2022-05-04,76.72000122070312
2022-05-05,75.72000122070312
2022-05-06,74.43000030517578
2022-05-09,71.25
2022-05-10,70.79000091552734
2022-05-11,70.63999938964844
2022-05-12,68.66999816894531
2022-05-13,70.29000091552734
2022-05-16,70.05000305175781
2022-05-17,70.66000366210938
2022-05-18,68.45999908447266
2022-05-19,68.91999816894531
2022-05-20,69.2699966430664
2022-05-23,69.8499984741211
2022-05-24,69.91999816894531
2022-05-25,69.69999694824219
2022-05-26,70.54000091552734
2022-05-27,72.80999755859375
2022-05-31,71.58000183105469
2022-06-01,72.0
2022-06-02,73.26000213623047
2022-06-03,72.70999908447266
2022-06-06,71.70999908447266
2022-06-07,72.91999816894531
2022-06-08,70.83999633789062
2022-06-09,69.9800033569336
2022-06-10,68.7699966430664
2022-06-13,66.70999908447266
2022-06-14,66.05000305175781
