Date,LOGI
2022-02-28,74.63999938964844
2022-03-01,74.5199966430664
2022-03-02,77.76000213623047
2022-03-03,76.0199966430664
2022-03-04,73.20999908447266
2022-03-07,69.72000122070312
2022-03-08,69.3499984741211
2022-03-09,73.33000183105469
2022-03-10,71.27999877929688
2022-03-11,70.12999725341797
2022-03-14,69.72000122070312
2022-03-15,70.54000091552734
2022-03-16,73.58000183105469
2022-03-17,73.3499984741211
2022-03-18,74.7300033569336
2022-03-21,73.55999755859375
2022-03-22,74.11000061035156
2022-03-23,71.86000061035156
2022-03-24,77.31999969482422
2022-03-25,76.80999755859375
2022-03-28,77.51000213623047
2022-03-29,78.04000091552734
2022-03-30,76.30000305175781
2022-03-31,73.77999877929688
2022-04-01,71.44000244140625
2022-04-04,76.44000244140625
2022-04-05,74.01000213623047
2022-04-06,71.33999633789062
2022-04-07,72.1500015258789
2022-04-08,71.54000091552734
2022-04-11,71.01000213623047
2022-04-12,70.56999969482422
2022-04-13,70.2699966430664
2022-04-14,69.30999755859375
2022-04-18,69.75
2022-04-19,71.0199966430664
2022-04-20,70.66000366210938
2022-04-21,70.0999984741211
2022-04-22,65.2699966430664
2022-04-25,67.9800033569336
2022-04-26,65.16000366210938
2022-04-27,64.08999633789062
2022-04-28,66.0
2022-04-29,65.30000305175781
2022-05-02,66.33999633789062
2022-05-03,64.27999877929688
2022-05-04,65.87999725341797
2022-05-05,63.15999984741211
2022-05-06,60.939998626708984
2022-05-09,57.15999984741211
2022-05-10,58.7400016784668
2022-05-11,57.06999969482422
2022-05-12,57.88999938964844
2022-05-13,59.220001220703125
2022-05-16,58.34000015258789
2022-05-17,61.279998779296875
2022-05-18,58.54999923706055
2022-05-19,58.5099983215332
2022-05-20,58.66999816894531
2022-05-23,58.540000915527344
2022-05-24,57.31999969482422
2022-05-25,57.47999954223633
2022-05-26,58.869998931884766
2022-05-27,60.220001220703125
2022-05-31,60.790000915527344
2022-06-01,60.279998779296875
2022-06-02,61.95000076293945
2022-06-03,60.189998626708984
2022-06-06,60.13999938964844
2022-06-07,60.2400016784668
2022-06-08,59.380001068115234
2022-06-09,57.06999969482422
2022-06-10,55.15999984741211
2022-06-13,51.91999816894531
2022-06-14,51.9900016784668
2022-06-15,53.459999084472656
2022-06-16,51.15999984741211
2022-06-17,53.02000045776367
2022-06-21,53.84000015258789
2022-06-22,53.189998626708984
2022-06-23,53.77000045776367
2022-06-24,56.18000030517578
2022-06-27,55.08000183105469
2022-06-28,53.25
2022-06-29,52.59000015258789
2022-06-30,52.060001373291016
2022-07-01,51.709999084472656
2022-07-05,51.40999984741211
2022-07-06,51.70000076293945
2022-07-07,53.65999984741211
2022-07-08,54.47999954223633
2022-07-11,53.15999984741211
2022-07-12,53.11000061035156
2022-07-13,52.5099983215332
2022-07-14,52.40999984741211
2022-07-15,53.2599983215332
2022-07-18,53.63999938964844
2022-07-19,55.97999954223633
2022-07-20,56.540000915527344
2022-07-21,57.16999816894531
2022-07-22,54.720001220703125
2022-07-25,53.380001068115234
2022-07-26,55.06999969482422
2022-07-27,54.52000045776367
2022-07-28,55.38999938964844
2022-07-29,56.709999084472656
2022-08-01,56.779998779296875
2022-08-02,56.220001220703125
2022-08-03,58.61000061035156
2022-08-04,58.959999084472656
2022-08-05,58.310001373291016
2022-08-08,57.65999984741211
2022-08-09,55.459999084472656
2022-08-10,57.61000061035156
2022-08-11,57.9900016784668
2022-08-12,59.130001068115234
2022-08-15,58.58000183105469
2022-08-16,58.16999816894531
2022-08-17,56.58000183105469
2022-08-18,56.22999954223633
2022-08-19,54.439998626708984
2022-08-22,52.790000915527344
2022-08-23,52.439998626708984
2022-08-24,52.599998474121094
2022-08-25,53.869998931884766
2022-08-26,50.79999923706055
2022-08-29,51.13999938964844
2022-08-30,50.7599983215332
2022-08-31,50.27000045776367
2022-09-01,49.66999816894531
2022-09-02,48.79999923706055
2022-09-06,47.79999923706055
2022-09-07,48.56999969482422
2022-09-08,48.220001220703125
2022-09-09,50.56999969482422
2022-09-12,52.130001068115234
2022-09-13,49.849998474121094
2022-09-14,49.63999938964844
2022-09-15,48.849998474121094
2022-09-16,48.84000015258789
2022-09-19,48.380001068115234
2022-09-20,47.52000045776367
2022-09-21,47.060001373291016
2022-09-22,46.65999984741211
2022-09-23,46.09000015258789
2022-09-26,44.560001373291016
2022-09-27,45.83000183105469
2022-09-28,47.41999816894531
2022-09-29,46.2599983215332
2022-09-30,46.0
2022-10-03,45.689998626708984
2022-10-04,48.150001525878906
2022-10-05,47.93000030517578
2022-10-06,47.040000915527344
2022-10-07,44.02000045776367
2022-10-10,44.29999923706055
2022-10-11,43.56999969482422
2022-10-12,43.4900016784668
2022-10-13,44.83000183105469
2022-10-14,44.040000915527344
2022-10-17,45.15999984741211
2022-10-18,45.040000915527344
2022-10-19,43.279998779296875
2022-10-20,43.43000030517578
2022-10-21,44.619998931884766
2022-10-24,45.61000061035156
2022-10-25,50.63999938964844
2022-10-26,50.84000015258789
2022-10-27,51.2599983215332
2022-10-28,51.130001068115234
2022-10-31,49.63999938964844
2022-11-01,50.209999084472656
2022-11-02,49.34000015258789
2022-11-03,48.310001373291016
2022-11-04,51.209999084472656
2022-11-07,53.439998626708984
2022-11-08,54.54999923706055
2022-11-09,53.81999969482422
2022-11-10,58.560001373291016
2022-11-11,62.54999923706055
2022-11-14,61.349998474121094
2022-11-15,62.02000045776367
2022-11-16,59.369998931884766
2022-11-17,59.040000915527344
2022-11-18,58.93000030517578
2022-11-21,57.849998474121094
2022-11-22,57.959999084472656
