Date,QFIN
2022-02-28,18.75
2022-03-01,19.190000534057617
2022-03-02,19.200000762939453
2022-03-03,18.600000381469727
2022-03-04,16.81999969482422
2022-03-07,16.860000610351562
2022-03-08,16.84000015258789
2022-03-09,18.139999389648438
2022-03-10,15.960000038146973
2022-03-11,13.229999542236328
2022-03-14,11.770000457763672
2022-03-15,11.989999771118164
2022-03-16,17.229999542236328
2022-03-17,15.5
2022-03-18,17.559999465942383
2022-03-21,16.510000228881836
2022-03-22,17.010000228881836
2022-03-23,17.299999237060547
2022-03-24,17.299999237060547
2022-03-25,15.880000114440918
2022-03-28,16.1200008392334
2022-03-29,17.25
2022-03-30,16.059999465942383
2022-03-31,15.390000343322754
2022-04-01,15.869999885559082
2022-04-04,16.600000381469727
2022-04-05,15.229999542236328
2022-04-06,14.720000267028809
2022-04-07,14.079999923706055
2022-04-08,14.3100004196167
2022-04-11,13.979999542236328
2022-04-12,14.1899995803833
2022-04-13,14.619999885559082
2022-04-14,14.239999771118164
2022-04-18,13.529999732971191
2022-04-19,14.619999885559082
2022-04-20,14.180000305175781
2022-04-21,13.390000343322754
2022-04-22,13.979999542236328
2022-04-25,13.800000190734863
2022-04-26,13.170000076293945
2022-04-27,13.930000305175781
2022-04-28,14.329999923706055
2022-04-29,14.430000305175781
2022-05-02,14.520000457763672
2022-05-03,14.930000305175781
2022-05-04,15.0600004196167
2022-05-05,14.180000305175781
2022-05-06,13.119999885559082
2022-05-09,12.220000267028809
2022-05-10,12.380000114440918
2022-05-11,12.15999984741211
2022-05-12,12.380000114440918
2022-05-13,13.1899995803833
2022-05-16,13.220000267028809
2022-05-17,13.779999732971191
2022-05-18,13.829999923706055
2022-05-19,14.140000343322754
2022-05-20,13.859999656677246
2022-05-23,13.869999885559082
2022-05-24,12.970000267028809
2022-05-25,13.600000381469727
2022-05-26,14.5
2022-05-27,14.600000381469727
2022-05-31,15.729999542236328
2022-06-01,14.930000305175781
2022-06-02,15.359999656677246
2022-06-03,14.90999984741211
2022-06-06,16.399999618530273
2022-06-07,16.84000015258789
2022-06-08,17.940000534057617
2022-06-09,16.940000534057617
2022-06-10,16.309999465942383
2022-06-13,15.40999984741211
2022-06-14,16.440000534057617
