Date,GILD
2022-02-28,60.400001525878906
2022-03-01,60.2599983215332
2022-03-02,61.2400016784668
2022-03-03,61.709999084472656
2022-03-04,61.86000061035156
2022-03-07,60.2599983215332
2022-03-08,59.540000915527344
2022-03-09,59.0
2022-03-10,57.91999816894531
2022-03-11,58.0
2022-03-14,58.150001525878906
2022-03-15,58.31999969482422
2022-03-16,57.970001220703125
2022-03-17,59.20000076293945
2022-03-18,59.41999816894531
2022-03-21,59.65999984741211
2022-03-22,59.97999954223633
2022-03-23,58.849998474121094
2022-03-24,59.13999938964844
2022-03-25,58.90999984741211
2022-03-28,59.18000030517578
2022-03-29,60.529998779296875
2022-03-30,59.65999984741211
2022-03-31,59.45000076293945
2022-04-01,59.66999816894531
2022-04-04,60.66999816894531
2022-04-05,59.75
2022-04-06,60.81999969482422
2022-04-07,60.9900016784668
2022-04-08,62.29999923706055
2022-04-11,61.88999938964844
2022-04-12,61.630001068115234
2022-04-13,62.060001373291016
2022-04-14,61.81999969482422
2022-04-18,61.58000183105469
2022-04-19,62.779998779296875
2022-04-20,63.599998474121094
2022-04-21,63.75
2022-04-22,62.25
2022-04-25,62.650001525878906
2022-04-26,61.77000045776367
2022-04-27,61.59000015258789
2022-04-28,61.560001373291016
2022-04-29,59.34000015258789
2022-05-02,60.310001373291016
2022-05-03,60.33000183105469
2022-05-04,62.08000183105469
2022-05-05,61.349998474121094
2022-05-06,61.18000030517578
2022-05-09,61.68000030517578
2022-05-10,61.779998779296875
2022-05-11,60.560001373291016
2022-05-12,62.47999954223633
2022-05-13,62.369998931884766
2022-05-16,62.2400016784668
2022-05-17,63.18000030517578
2022-05-18,63.220001220703125
2022-05-19,63.27000045776367
2022-05-20,63.84000015258789
2022-05-23,63.65999984741211
2022-05-24,64.3499984741211
2022-05-25,65.01000213623047
2022-05-26,64.47000122070312
2022-05-27,64.80000305175781
2022-05-31,64.8499984741211
2022-06-01,64.7699966430664
2022-06-02,63.459999084472656
2022-06-03,63.45000076293945
2022-06-06,62.029998779296875
2022-06-07,62.540000915527344
2022-06-08,62.380001068115234
2022-06-09,61.18000030517578
2022-06-10,60.7400016784668
2022-06-13,59.150001525878906
2022-06-14,57.790000915527344
2022-06-15,58.38999938964844
2022-06-16,57.720001220703125
2022-06-17,58.529998779296875
2022-06-21,60.5099983215332
2022-06-22,61.5099983215332
2022-06-23,62.58000183105469
2022-06-24,63.08000183105469
2022-06-27,62.83000183105469
2022-06-28,62.209999084472656
2022-06-29,62.47999954223633
2022-06-30,61.810001373291016
2022-07-01,62.36000061035156
2022-07-05,62.34000015258789
2022-07-06,62.72999954223633
2022-07-07,62.720001220703125
2022-07-08,62.84000015258789
2022-07-11,62.65999984741211
2022-07-12,62.34000015258789
2022-07-13,62.459999084472656
2022-07-14,61.810001373291016
2022-07-15,62.599998474121094
2022-07-18,60.900001525878906
2022-07-19,62.119998931884766
2022-07-20,61.54999923706055
2022-07-21,61.0099983215332
2022-07-22,60.79999923706055
2022-07-25,60.75
2022-07-26,60.619998931884766
2022-07-27,60.900001525878906
2022-07-28,60.400001525878906
2022-07-29,59.75
2022-08-01,59.599998474121094
2022-08-02,59.540000915527344
2022-08-03,62.27000045776367
2022-08-04,61.90999984741211
2022-08-05,61.09000015258789
2022-08-08,61.599998474121094
2022-08-09,62.0
2022-08-10,63.13999938964844
2022-08-11,62.45000076293945
2022-08-12,62.959999084472656
2022-08-15,66.20999908447266
2022-08-16,66.33000183105469
2022-08-17,66.0199966430664
2022-08-18,65.18000030517578
2022-08-19,65.33999633789062
2022-08-22,64.36000061035156
2022-08-23,63.68000030517578
2022-08-24,63.619998931884766
2022-08-25,63.59000015258789
2022-08-26,62.369998931884766
2022-08-29,62.45000076293945
2022-08-30,62.5
2022-08-31,63.470001220703125
2022-09-01,64.94999694824219
