Date,SKYW
2022-02-28,28.110000610351562
2022-03-01,26.1200008392334
2022-03-02,27.399999618530273
2022-03-03,26.799999237060547
2022-03-04,25.549999237060547
2022-03-07,22.959999084472656
2022-03-08,25.43000030517578
2022-03-09,26.149999618530273
2022-03-10,25.260000228881836
2022-03-11,25.329999923706055
2022-03-14,25.1200008392334
2022-03-15,25.979999542236328
2022-03-16,27.799999237060547
2022-03-17,28.219999313354492
2022-03-18,28.06999969482422
2022-03-21,27.65999984741211
2022-03-22,28.25
2022-03-23,27.6200008392334
2022-03-24,28.040000915527344
2022-03-25,28.18000030517578
2022-03-28,28.40999984741211
2022-03-29,28.959999084472656
2022-03-30,28.670000076293945
2022-03-31,28.850000381469727
2022-04-01,29.110000610351562
2022-04-04,28.860000610351562
2022-04-05,28.520000457763672
2022-04-06,28.030000686645508
2022-04-07,28.200000762939453
2022-04-08,27.719999313354492
2022-04-11,28.170000076293945
2022-04-12,28.579999923706055
2022-04-13,29.489999771118164
2022-04-14,29.510000228881836
2022-04-18,29.280000686645508
2022-04-19,30.540000915527344
2022-04-20,30.790000915527344
2022-04-21,32.43000030517578
2022-04-22,31.15999984741211
2022-04-25,31.040000915527344
2022-04-26,29.690000534057617
2022-04-27,28.450000762939453
2022-04-28,29.139999389648438
2022-04-29,29.149999618530273
2022-05-02,29.010000228881836
2022-05-03,28.579999923706055
2022-05-04,28.770000457763672
2022-05-05,27.969999313354492
2022-05-06,26.920000076293945
2022-05-09,25.59000015258789
2022-05-10,26.25
2022-05-11,26.209999084472656
2022-05-12,25.579999923706055
2022-05-13,26.239999771118164
2022-05-16,25.719999313354492
2022-05-17,27.149999618530273
2022-05-18,26.350000381469727
2022-05-19,25.979999542236328
2022-05-20,25.040000915527344
2022-05-23,25.15999984741211
2022-05-24,23.719999313354492
2022-05-25,24.06999969482422
2022-05-26,25.110000610351562
2022-05-27,26.549999237060547
2022-05-31,26.959999084472656
2022-06-01,26.829999923706055
2022-06-02,26.479999542236328
2022-06-03,26.3700008392334
2022-06-06,26.770000457763672
2022-06-07,27.200000762939453
2022-06-08,26.290000915527344
2022-06-09,25.079999923706055
2022-06-10,23.549999237060547
2022-06-13,21.959999084472656
2022-06-14,21.8700008392334
2022-06-15,22.299999237060547
2022-06-16,20.360000610351562
2022-06-17,21.100000381469727
2022-06-21,20.8700008392334
2022-06-22,21.209999084472656
2022-06-23,21.020000457763672
2022-06-24,22.420000076293945
2022-06-27,21.799999237060547
2022-06-28,21.489999771118164
2022-06-29,21.1299991607666
2022-06-30,21.25
2022-07-01,22.010000228881836
2022-07-05,21.950000762939453
2022-07-06,21.260000228881836
2022-07-07,21.290000915527344
2022-07-08,21.200000762939453
2022-07-11,20.790000915527344
2022-07-12,21.709999084472656
2022-07-13,21.6200008392334
2022-07-14,21.350000381469727
2022-07-15,21.65999984741211
2022-07-18,21.739999771118164
2022-07-19,22.530000686645508
2022-07-20,22.760000228881836
