Date,SAIA
2022-02-28,287.2300109863281
2022-03-01,283.2699890136719
2022-03-02,287.7900085449219
2022-03-03,280.260009765625
2022-03-04,264.70001220703125
2022-03-07,245.47999572753906
2022-03-08,252.24000549316406
2022-03-09,269.739990234375
2022-03-10,267.7900085449219
2022-03-11,261.3500061035156
2022-03-14,251.02999877929688
2022-03-15,258.7900085449219
2022-03-16,280.5799865722656
2022-03-17,282.30999755859375
2022-03-18,292.0199890136719
2022-03-21,281.1400146484375
2022-03-22,286.7900085449219
2022-03-23,271.25
2022-03-24,277.69000244140625
2022-03-25,263.9100036621094
2022-03-28,270.239990234375
2022-03-29,274.79998779296875
2022-03-30,261.30999755859375
2022-03-31,243.82000732421875
2022-04-01,233.72000122070312
2022-04-04,235.5500030517578
2022-04-05,221.77000427246094
2022-04-06,211.5
2022-04-07,206.05999755859375
2022-04-08,202.67999267578125
2022-04-11,203.41000366210938
2022-04-12,203.8300018310547
2022-04-13,208.94000244140625
2022-04-14,199.72999572753906
2022-04-18,197.25999450683594
2022-04-19,206.94000244140625
2022-04-20,212.3000030517578
2022-04-21,209.32000732421875
2022-04-22,207.1199951171875
2022-04-25,215.05999755859375
2022-04-26,204.6300048828125
2022-04-27,196.75999450683594
2022-04-28,212.72000122070312
2022-04-29,205.9600067138672
2022-05-02,208.88999938964844
2022-05-03,210.91000366210938
2022-05-04,225.88999938964844
2022-05-05,218.1999969482422
2022-05-06,216.92999267578125
2022-05-09,210.77999877929688
2022-05-10,214.49000549316406
2022-05-11,206.61000061035156
2022-05-12,205.1999969482422
2022-05-13,215.0500030517578
2022-05-16,199.47000122070312
2022-05-17,207.44000244140625
2022-05-18,181.35000610351562
2022-05-19,184.38999938964844
2022-05-20,187.5500030517578
2022-05-23,190.55999755859375
2022-05-24,184.72999572753906
2022-05-25,186.0
2022-05-26,196.27999877929688
2022-05-27,199.13999938964844
2022-05-31,197.58999633789062
2022-06-01,195.89999389648438
2022-06-02,207.3800048828125
2022-06-03,210.52000427246094
2022-06-06,221.22000122070312
2022-06-07,220.00999450683594
2022-06-08,207.72000122070312
2022-06-09,203.14999389648438
2022-06-10,191.24000549316406
2022-06-13,181.3000030517578
2022-06-14,182.0399932861328
2022-06-15,185.61000061035156
2022-06-16,175.41000366210938
2022-06-17,171.86000061035156
2022-06-21,174.66000366210938
2022-06-22,170.75999450683594
2022-06-23,181.57000732421875
2022-06-24,190.69000244140625
2022-06-27,190.92999267578125
2022-06-28,180.7899932861328
2022-06-29,183.75
2022-06-30,188.0
2022-07-01,186.8300018310547
2022-07-05,191.44000244140625
2022-07-06,195.11000061035156
2022-07-07,202.6199951171875
2022-07-08,204.97999572753906
2022-07-11,204.74000549316406
2022-07-12,206.97000122070312
2022-07-13,192.9499969482422
2022-07-14,194.69000244140625
2022-07-15,195.6699981689453
2022-07-18,198.75999450683594
2022-07-19,209.39999389648438
2022-07-20,212.52000427246094
2022-07-21,214.6999969482422
2022-07-22,210.02999877929688
2022-07-25,211.35000610351562
2022-07-26,206.11000061035156
2022-07-27,211.0500030517578
2022-07-28,234.02999877929688
2022-07-29,237.85000610351562
2022-08-01,239.8699951171875
2022-08-02,233.08999633789062
2022-08-03,236.6300048828125
2022-08-04,240.39999389648438
2022-08-05,241.41000366210938
2022-08-08,241.72999572753906
2022-08-09,235.67999267578125
2022-08-10,249.72000122070312
2022-08-11,253.0
2022-08-12,246.49000549316406
2022-08-15,240.25
2022-08-16,239.0800018310547
2022-08-17,232.6699981689453
2022-08-18,234.25999450683594
2022-08-19,229.4600067138672
2022-08-22,222.97000122070312
2022-08-23,219.9600067138672
2022-08-24,221.6999969482422
2022-08-25,232.75
2022-08-26,222.42999267578125
2022-08-29,215.77999877929688
2022-08-30,215.42999267578125
2022-08-31,206.8300018310547
2022-09-01,209.97999572753906
2022-09-02,206.2100067138672
2022-09-06,209.5800018310547
2022-09-07,201.97000122070312
2022-09-08,195.6699981689453
2022-09-09,202.27999877929688
2022-09-12,208.0500030517578
2022-09-13,196.7100067138672
2022-09-14,194.07000732421875
