Date,OLED
2022-02-28,154.91000366210938
2022-03-01,154.22000122070312
2022-03-02,159.07000732421875
2022-03-03,155.91000366210938
2022-03-04,156.07000732421875
2022-03-07,155.17999267578125
2022-03-08,162.07000732421875
2022-03-09,162.97999572753906
2022-03-10,162.35000610351562
2022-03-11,156.80999755859375
2022-03-14,146.72999572753906
2022-03-15,154.22000122070312
2022-03-16,160.1199951171875
2022-03-17,160.75999450683594
2022-03-18,166.07000732421875
2022-03-21,164.6199951171875
2022-03-22,165.97000122070312
2022-03-23,162.55999755859375
2022-03-24,169.35000610351562
2022-03-25,168.6999969482422
2022-03-28,169.72999572753906
2022-03-29,175.5500030517578
2022-03-30,169.6199951171875
2022-03-31,166.9499969482422
2022-04-01,167.38999938964844
2022-04-04,169.02999877929688
2022-04-05,163.2899932861328
2022-04-06,160.5500030517578
2022-04-07,158.13999938964844
2022-04-08,154.17999267578125
2022-04-11,149.0
2022-04-12,150.82000732421875
2022-04-13,152.47000122070312
2022-04-14,145.9199981689453
2022-04-18,146.66000366210938
2022-04-19,149.89999389648438
2022-04-20,144.52000427246094
2022-04-21,135.10000610351562
2022-04-22,132.69000244140625
2022-04-25,133.94000244140625
2022-04-26,126.81999969482422
2022-04-27,126.12000274658203
2022-04-28,132.02999877929688
2022-04-29,127.7300033569336
2022-05-02,132.80999755859375
2022-05-03,134.1999969482422
2022-05-04,141.58999633789062
2022-05-05,129.6199951171875
2022-05-06,134.99000549316406
2022-05-09,122.48999786376953
2022-05-10,124.22000122070312
2022-05-11,116.58000183105469
2022-05-12,119.5
2022-05-13,126.4000015258789
2022-05-16,123.45999908447266
2022-05-17,128.02000427246094
2022-05-18,120.69000244140625
2022-05-19,121.93000030517578
2022-05-20,122.45999908447266
2022-05-23,122.05999755859375
2022-05-24,116.75
2022-05-25,119.97000122070312
2022-05-26,123.75
2022-05-27,128.83999633789062
2022-05-31,126.30999755859375
2022-06-01,125.80000305175781
2022-06-02,129.9199981689453
2022-06-03,125.12999725341797
2022-06-06,126.33000183105469
2022-06-07,128.3300018310547
2022-06-08,124.87999725341797
2022-06-09,120.44999694824219
2022-06-10,117.56999969482422
2022-06-13,110.3499984741211
2022-06-14,110.97000122070312
2022-06-15,113.5
2022-06-16,104.19000244140625
2022-06-17,107.36000061035156
2022-06-21,108.37000274658203
2022-06-22,107.0199966430664
2022-06-23,107.98999786376953
2022-06-24,113.66999816894531
2022-06-27,114.55999755859375
2022-06-28,110.13999938964844
2022-06-29,103.77999877929688
2022-06-30,101.13999938964844
2022-07-01,102.22000122070312
2022-07-05,105.12999725341797
2022-07-06,104.75
2022-07-07,108.52999877929688
