Date,DOCU
2022-02-28,118.43000030517578
2022-03-01,117.9000015258789
2022-03-02,114.4000015258789
2022-03-03,108.66000366210938
2022-03-04,101.37999725341797
2022-03-07,95.05999755859375
2022-03-08,91.9800033569336
2022-03-09,98.05000305175781
2022-03-10,93.87999725341797
2022-03-11,75.01000213623047
2022-03-14,73.23999786376953
2022-03-15,76.63999938964844
2022-03-16,83.16999816894531
2022-03-17,87.26000213623047
2022-03-18,95.51000213623047
2022-03-21,95.86000061035156
2022-03-22,99.44999694824219
2022-03-23,100.16999816894531
2022-03-24,104.55000305175781
2022-03-25,100.44999694824219
2022-03-28,104.66999816894531
2022-03-29,111.23999786376953
2022-03-30,107.94999694824219
2022-03-31,107.12000274658203
2022-04-01,108.62999725341797
2022-04-04,112.27999877929688
2022-04-05,107.37000274658203
2022-04-06,102.69999694824219
2022-04-07,102.72000122070312
2022-04-08,101.94999694824219
2022-04-11,101.70999908447266
2022-04-12,98.76000213623047
2022-04-13,104.55999755859375
2022-04-14,99.52999877929688
2022-04-18,96.31999969482422
2022-04-19,102.02999877929688
2022-04-20,92.73999786376953
2022-04-21,87.41999816894531
2022-04-22,86.33000183105469
2022-04-25,89.94999694824219
2022-04-26,84.38999938964844
2022-04-27,82.70999908447266
2022-04-28,85.37000274658203
2022-04-29,81.0
2022-05-02,85.83000183105469
2022-05-03,83.94000244140625
2022-05-04,88.51000213623047
2022-05-05,80.93000030517578
2022-05-06,74.56999969482422
2022-05-09,68.62999725341797
2022-05-10,70.29000091552734
2022-05-11,67.5999984741211
2022-05-12,69.83999633789062
2022-05-13,79.16999816894531
2022-05-16,74.48999786376953
2022-05-17,75.25
2022-05-18,72.76000213623047
2022-05-19,78.18000030517578
2022-05-20,76.75
2022-05-23,78.2699966430664
2022-05-24,71.7300033569336
2022-05-25,77.69999694824219
2022-05-26,80.80999755859375
2022-05-27,86.23999786376953
2022-05-31,83.91000366210938
2022-06-01,82.12000274658203
2022-06-02,87.62999725341797
2022-06-03,83.77999877929688
2022-06-06,84.26000213623047
2022-06-07,87.73999786376953
2022-06-08,90.0999984741211
2022-06-09,87.36000061035156
2022-06-10,65.93000030517578
2022-06-13,59.119998931884766
2022-06-14,57.279998779296875
2022-06-15,60.470001220703125
2022-06-16,56.810001373291016
2022-06-17,60.54999923706055
2022-06-21,59.54999923706055
2022-06-22,62.04999923706055
2022-06-23,65.69999694824219
2022-06-24,68.75
2022-06-27,66.19000244140625
2022-06-28,61.66999816894531
2022-06-29,61.040000915527344
2022-06-30,57.380001068115234
2022-07-01,61.220001220703125
2022-07-05,65.31999969482422
2022-07-06,64.08999633789062
2022-07-07,67.44999694824219
2022-07-08,66.44999694824219
2022-07-11,63.11000061035156
2022-07-12,62.79999923706055
2022-07-13,61.70000076293945
2022-07-14,60.22999954223633
2022-07-15,63.43000030517578
2022-07-18,62.060001373291016
2022-07-19,64.06999969482422
2022-07-20,67.66000366210938
2022-07-21,67.4800033569336
2022-07-22,64.44999694824219
2022-07-25,63.400001525878906
2022-07-26,60.209999084472656
2022-07-27,64.2699966430664
2022-07-28,64.38999938964844
2022-07-29,63.97999954223633
2022-08-01,65.51000213623047
2022-08-02,67.01000213623047
2022-08-03,71.12000274658203
2022-08-04,71.19000244140625
2022-08-05,72.33999633789062
2022-08-08,74.31999969482422
2022-08-09,69.98999786376953
2022-08-10,75.38999938964844
2022-08-11,72.33999633789062
2022-08-12,74.33999633789062
2022-08-15,75.8499984741211
2022-08-16,73.7699966430664
2022-08-17,69.58999633789062
2022-08-18,69.75
2022-08-19,65.91999816894531
2022-08-22,63.060001373291016
2022-08-23,61.040000915527344
2022-08-24,60.95000076293945
2022-08-25,61.939998626708984
2022-08-26,58.02000045776367
2022-08-29,58.0
2022-08-30,58.56999969482422
2022-08-31,58.220001220703125
2022-09-01,55.70000076293945
2022-09-02,54.45000076293945
2022-09-06,53.79999923706055
2022-09-07,55.13999938964844
2022-09-08,57.95000076293945
2022-09-09,64.04000091552734
2022-09-12,65.66000366210938
2022-09-13,60.93000030517578
2022-09-14,60.54999923706055
2022-09-15,60.279998779296875
2022-09-16,56.58000183105469
2022-09-19,56.47999954223633
2022-09-20,55.540000915527344
2022-09-21,54.599998474121094
2022-09-22,54.0
2022-09-23,52.38999938964844
2022-09-26,51.66999816894531
2022-09-27,52.630001068115234
2022-09-28,55.310001373291016
2022-09-29,55.20000076293945
2022-09-30,53.470001220703125
2022-10-03,52.93000030517578
2022-10-04,55.880001068115234
2022-10-05,53.88999938964844
2022-10-06,51.56999969482422
2022-10-07,47.83000183105469
2022-10-10,46.27000045776367
2022-10-11,44.540000915527344
2022-10-12,45.349998474121094
2022-10-13,46.20000076293945
2022-10-14,44.0
2022-10-17,46.15999984741211
2022-10-18,48.4900016784668
2022-10-19,46.54999923706055
2022-10-20,46.65999984741211
2022-10-21,47.810001373291016
2022-10-24,48.470001220703125
2022-10-25,50.22999954223633
2022-10-26,48.9900016784668
2022-10-27,48.2400016784668
2022-10-28,48.72999954223633
2022-10-31,48.29999923706055
2022-11-01,47.88999938964844
2022-11-02,43.15999984741211
2022-11-03,42.43000030517578
2022-11-04,40.86000061035156
2022-11-07,42.5099983215332
2022-11-08,41.20000076293945
2022-11-09,39.79999923706055
2022-11-10,45.5
2022-11-11,53.0
2022-11-14,51.54999923706055
2022-11-15,53.31999969482422
2022-11-16,49.54999923706055
2022-11-17,47.439998626708984
2022-11-18,46.0
2022-11-21,44.18000030517578
2022-11-22,43.86000061035156
2022-11-23,46.349998474121094
2022-11-25,46.029998779296875
