Date,MNDY
2022-02-28,158.8699951171875
2022-03-01,156.8800048828125
2022-03-02,159.30999755859375
2022-03-03,147.94000244140625
2022-03-04,135.91000366210938
2022-03-07,133.0
2022-03-08,137.5399932861328
2022-03-09,146.66000366210938
2022-03-10,130.35000610351562
2022-03-11,122.05999755859375
2022-03-14,116.33999633789062
2022-03-15,124.7300033569336
2022-03-16,134.11000061035156
2022-03-17,149.7899932861328
2022-03-18,170.5
2022-03-21,172.77999877929688
2022-03-22,177.3800048828125
2022-03-23,173.52999877929688
2022-03-24,168.57000732421875
2022-03-25,150.4499969482422
2022-03-28,153.72999572753906
2022-03-29,167.44000244140625
2022-03-30,162.55999755859375
2022-03-31,158.07000732421875
2022-04-01,165.38999938964844
2022-04-04,175.8000030517578
2022-04-05,159.24000549316406
2022-04-06,149.64999389648438
2022-04-07,145.24000549316406
2022-04-08,140.75999450683594
2022-04-11,142.27000427246094
2022-04-12,141.1300048828125
2022-04-13,147.8800048828125
2022-04-14,137.1699981689453
2022-04-18,134.24000549316406
2022-04-19,140.4199981689453
2022-04-20,136.8300018310547
2022-04-21,137.2100067138672
2022-04-22,137.6300048828125
2022-04-25,145.5
2022-04-26,138.32000732421875
2022-04-27,132.8800048828125
2022-04-28,143.3800048828125
2022-04-29,129.39999389648438
2022-05-02,133.27999877929688
2022-05-03,129.14999389648438
2022-05-04,141.82000732421875
2022-05-05,131.77999877929688
2022-05-06,123.55000305175781
2022-05-09,112.31999969482422
2022-05-10,109.79000091552734
2022-05-11,94.56999969482422
2022-05-12,99.75
2022-05-13,110.37999725341797
2022-05-16,105.05000305175781
2022-05-17,105.87999725341797
2022-05-18,101.62000274658203
2022-05-19,112.79000091552734
2022-05-20,114.2699966430664
2022-05-23,111.55999755859375
2022-05-24,99.75
2022-05-25,104.94000244140625
2022-05-26,103.66999816894531
2022-05-27,115.01000213623047
2022-05-31,113.54000091552734
2022-06-01,110.83000183105469
2022-06-02,123.44000244140625
2022-06-03,116.08999633789062
2022-06-06,114.94000244140625
2022-06-07,115.87999725341797
2022-06-08,116.79000091552734
2022-06-09,110.79000091552734
2022-06-10,97.3499984741211
2022-06-13,92.88999938964844
2022-06-14,95.13999938964844
2022-06-15,104.04000091552734
2022-06-16,94.88999938964844
2022-06-17,97.5999984741211
2022-06-21,106.31999969482422
2022-06-22,103.93000030517578
2022-06-23,111.0999984741211
2022-06-24,122.36000061035156
2022-06-27,119.33999633789062
2022-06-28,110.16999816894531
2022-06-29,108.94999694824219
2022-06-30,103.16000366210938
2022-07-01,108.79000091552734
2022-07-05,118.9000015258789
2022-07-06,109.44000244140625
2022-07-07,113.54000091552734
2022-07-08,114.2300033569336
2022-07-11,107.69000244140625
2022-07-12,99.80999755859375
2022-07-13,98.58999633789062
2022-07-14,91.69999694824219
2022-07-15,92.30999755859375
2022-07-18,90.83000183105469
2022-07-19,90.44999694824219
2022-07-20,105.19000244140625
2022-07-21,109.37000274658203
2022-07-22,102.76000213623047
2022-07-25,99.58000183105469
2022-07-26,94.8499984741211
2022-07-27,100.18000030517578
2022-07-28,102.05000305175781
2022-07-29,102.7300033569336
2022-08-01,106.01000213623047
2022-08-02,111.19000244140625
2022-08-03,120.04000091552734
2022-08-04,121.70999908447266
2022-08-05,127.83000183105469
2022-08-08,150.52999877929688
2022-08-09,139.77999877929688
2022-08-10,141.22000122070312
2022-08-11,139.9199981689453
2022-08-12,137.10000610351562
2022-08-15,135.27999877929688
2022-08-16,130.77000427246094
2022-08-17,129.50999450683594
2022-08-18,134.0399932861328
2022-08-19,126.38999938964844
2022-08-22,123.41000366210938
2022-08-23,120.1500015258789
2022-08-24,120.56999969482422
2022-08-25,120.62000274658203
2022-08-26,117.91000366210938
2022-08-29,115.30000305175781
2022-08-30,115.12999725341797
2022-08-31,113.69999694824219
2022-09-01,110.20999908447266
2022-09-02,110.80000305175781
2022-09-06,109.80000305175781
2022-09-07,117.70999908447266
2022-09-08,128.6999969482422
2022-09-09,130.33999633789062
2022-09-12,140.35000610351562
2022-09-13,128.32000732421875
2022-09-14,134.58999633789062
2022-09-15,140.5399932861328
2022-09-16,133.27000427246094
2022-09-19,134.10000610351562
2022-09-20,130.5800018310547
2022-09-21,130.0800018310547
2022-09-22,122.7699966430664
2022-09-23,119.43000030517578
2022-09-26,118.91999816894531
2022-09-27,123.55000305175781
2022-09-28,129.60000610351562
2022-09-29,119.7699966430664
2022-09-30,113.33999633789062
2022-10-03,118.52999877929688
2022-10-04,120.20999908447266
2022-10-05,120.44000244140625
2022-10-06,114.7699966430664
2022-10-07,109.2300033569336
2022-10-10,96.97000122070312
2022-10-11,96.37999725341797
2022-10-12,94.05999755859375
2022-10-13,95.86000061035156
2022-10-14,91.48999786376953
2022-10-17,93.83000183105469
2022-10-18,100.83999633789062
2022-10-19,95.37000274658203
2022-10-20,97.13999938964844
2022-10-21,99.5199966430664
2022-10-24,98.16000366210938
2022-10-25,109.87000274658203
2022-10-26,105.5199966430664
2022-10-27,107.80000305175781
2022-10-28,107.37999725341797
2022-10-31,106.94000244140625
2022-11-01,103.3499984741211
2022-11-02,92.47000122070312
2022-11-03,93.23999786376953
2022-11-04,80.98999786376953
2022-11-07,77.80999755859375
2022-11-08,80.02999877929688
2022-11-09,76.45999908447266
2022-11-10,83.79000091552734
2022-11-11,95.19000244140625
2022-11-14,102.0999984741211
2022-11-15,107.80999755859375
2022-11-16,108.0
2022-11-17,100.2699966430664
2022-11-18,96.7699966430664
2022-11-21,93.36000061035156
2022-11-22,95.55000305175781
