Date,MIDD
2022-02-28,177.6199951171875
2022-03-01,174.27999877929688
2022-03-02,177.61000061035156
2022-03-03,177.8000030517578
2022-03-04,170.8000030517578
2022-03-07,166.00999450683594
2022-03-08,164.94000244140625
2022-03-09,168.69000244140625
2022-03-10,169.16000366210938
2022-03-11,166.1699981689453
2022-03-14,165.58999633789062
2022-03-15,166.83999633789062
2022-03-16,173.49000549316406
2022-03-17,173.0
2022-03-18,172.63999938964844
2022-03-21,170.05999755859375
2022-03-22,173.2100067138672
2022-03-23,169.50999450683594
2022-03-24,169.1199951171875
2022-03-25,165.42999267578125
2022-03-28,164.0
2022-03-29,169.85000610351562
2022-03-30,167.77000427246094
2022-03-31,163.94000244140625
2022-04-01,161.49000549316406
2022-04-04,159.83999633789062
2022-04-05,155.02999877929688
2022-04-06,152.17999267578125
2022-04-07,150.32000732421875
2022-04-08,147.82000732421875
2022-04-11,146.57000732421875
2022-04-12,145.52000427246094
2022-04-13,148.4499969482422
2022-04-14,148.55999755859375
2022-04-18,149.30999755859375
2022-04-19,152.30999755859375
2022-04-20,154.10000610351562
2022-04-21,154.3800048828125
2022-04-22,152.52999877929688
2022-04-25,153.4199981689453
2022-04-26,149.27999877929688
2022-04-27,150.6300048828125
2022-04-28,156.88999938964844
2022-04-29,153.88999938964844
2022-05-02,155.69000244140625
2022-05-03,157.89999389648438
2022-05-04,162.91000366210938
2022-05-05,158.1199951171875
2022-05-06,156.61000061035156
2022-05-09,151.13999938964844
2022-05-10,139.80999755859375
2022-05-11,130.02999877929688
2022-05-12,132.25999450683594
2022-05-13,139.72999572753906
2022-05-16,140.3800048828125
2022-05-17,146.1999969482422
2022-05-18,141.66000366210938
2022-05-19,140.0
2022-05-20,142.58999633789062
2022-05-23,140.5500030517578
2022-05-24,138.9499969482422
2022-05-25,139.74000549316406
2022-05-26,144.97999572753906
2022-05-27,150.57000732421875
2022-05-31,151.4600067138672
2022-06-01,147.47999572753906
2022-06-02,149.16000366210938
2022-06-03,147.11000061035156
2022-06-06,148.38999938964844
2022-06-07,148.6999969482422
2022-06-08,146.38999938964844
2022-06-09,146.80999755859375
2022-06-10,142.3300018310547
2022-06-13,134.9600067138672
2022-06-14,131.94000244140625
2022-06-15,133.83999633789062
2022-06-16,125.38999938964844
2022-06-17,124.02999877929688
2022-06-21,126.62000274658203
2022-06-22,125.33000183105469
2022-06-23,126.30999755859375
2022-06-24,130.6199951171875
2022-06-27,130.91000366210938
2022-06-28,129.24000549316406
2022-06-29,125.38999938964844
2022-06-30,125.36000061035156
2022-07-01,126.66999816894531
2022-07-05,129.9600067138672
2022-07-06,128.22000122070312
2022-07-07,128.24000549316406
2022-07-08,127.44000244140625
2022-07-11,125.56999969482422
2022-07-12,125.12999725341797
2022-07-13,123.55000305175781
2022-07-14,124.13999938964844
2022-07-15,127.51000213623047
2022-07-18,127.72000122070312
2022-07-19,133.9499969482422
2022-07-20,136.32000732421875
2022-07-21,137.4600067138672
2022-07-22,136.5800018310547
2022-07-25,135.6699981689453
2022-07-26,135.5500030517578
2022-07-27,141.13999938964844
2022-07-28,142.27000427246094
2022-07-29,144.69000244140625
2022-08-01,142.0800018310547
2022-08-02,144.19000244140625
2022-08-03,147.52999877929688
2022-08-04,146.36000061035156
2022-08-05,146.72999572753906
2022-08-08,148.10000610351562
2022-08-09,145.72000122070312
2022-08-10,150.8000030517578
2022-08-11,151.75999450683594
2022-08-12,156.97999572753906
2022-08-15,156.94000244140625
2022-08-16,160.3000030517578
2022-08-17,157.3800048828125
2022-08-18,158.85000610351562
2022-08-19,154.16000366210938
2022-08-22,150.91000366210938
2022-08-23,149.5500030517578
2022-08-24,150.55999755859375
2022-08-25,152.75999450683594
2022-08-26,147.9499969482422
2022-08-29,148.02999877929688
2022-08-30,145.47000122070312
2022-08-31,143.82000732421875
2022-09-01,144.19000244140625
2022-09-02,142.33999633789062
2022-09-06,141.5500030517578
2022-09-07,145.42999267578125
2022-09-08,146.4600067138672
2022-09-09,150.80999755859375
2022-09-12,152.7899932861328
2022-09-13,146.14999389648438
2022-09-14,145.86000061035156
2022-09-15,142.5
2022-09-16,134.24000549316406
2022-09-19,137.16000366210938
2022-09-20,134.33999633789062
2022-09-21,133.2100067138672
2022-09-22,128.16000366210938
2022-09-23,126.8499984741211
2022-09-26,123.87999725341797
2022-09-27,123.98999786376953
2022-09-28,129.4499969482422
2022-09-29,130.25
2022-09-30,128.1699981689453
2022-10-03,130.6300048828125
2022-10-04,137.91000366210938
2022-10-05,137.92999267578125
2022-10-06,137.11000061035156
2022-10-07,134.72000122070312
2022-10-10,134.91000366210938
2022-10-11,134.75
2022-10-12,133.64999389648438
2022-10-13,133.83999633789062
2022-10-14,126.19999694824219
2022-10-17,130.33999633789062
2022-10-18,134.7899932861328
2022-10-19,129.99000549316406
2022-10-20,124.11000061035156
2022-10-21,128.39999389648438
2022-10-24,131.3699951171875
2022-10-25,136.8699951171875
2022-10-26,138.27999877929688
2022-10-27,136.9199981689453
2022-10-28,140.27999877929688
2022-10-31,139.86000061035156
2022-11-01,141.38999938964844
2022-11-02,135.7899932861328
2022-11-03,130.0
2022-11-04,131.33999633789062
2022-11-07,136.33999633789062
2022-11-08,138.22000122070312
2022-11-09,125.52999877929688
2022-11-10,137.22000122070312
2022-11-11,141.38999938964844
2022-11-14,137.14999389648438
2022-11-15,140.0399932861328
2022-11-16,139.83999633789062
2022-11-17,138.47999572753906
2022-11-18,138.9199981689453
2022-11-21,139.1300048828125
2022-11-22,140.0500030517578
2022-11-23,142.05999755859375
2022-11-25,143.07000732421875
2022-11-28,140.27999877929688
2022-11-29,140.6199951171875
2022-11-30,144.19000244140625
2022-12-01,145.25
2022-12-02,143.94000244140625
