Date,QCOM
2022-02-28,171.99000549316406
2022-03-01,163.69000244140625
2022-03-02,169.25
2022-03-03,165.35000610351562
2022-03-04,162.25999450683594
2022-03-07,150.10000610351562
2022-03-08,150.75999450683594
2022-03-09,157.11000061035156
2022-03-10,154.7100067138672
2022-03-11,152.33999633789062
2022-03-14,141.2899932861328
2022-03-15,144.2100067138672
2022-03-16,150.4499969482422
2022-03-17,152.8300018310547
2022-03-18,153.99000549316406
2022-03-21,155.58999633789062
2022-03-22,157.61000061035156
2022-03-23,152.8699951171875
2022-03-24,158.4600067138672
2022-03-25,157.97000122070312
2022-03-28,158.4499969482422
2022-03-29,161.07000732421875
2022-03-30,152.72999572753906
2022-03-31,152.82000732421875
2022-04-01,146.99000549316406
2022-04-04,153.80999755859375
2022-04-05,145.4600067138672
2022-04-06,139.27999877929688
2022-04-07,139.22000122070312
2022-04-08,136.69000244140625
2022-04-11,135.36000061035156
2022-04-12,136.08999633789062
2022-04-13,140.5
2022-04-14,136.91000366210938
2022-04-18,139.32000732421875
2022-04-19,141.0500030517578
2022-04-20,140.33999633789062
2022-04-21,136.11000061035156
2022-04-22,132.80999755859375
2022-04-25,136.55999755859375
2022-04-26,133.5
2022-04-27,135.10000610351562
2022-04-28,148.19000244140625
2022-04-29,139.69000244140625
2022-05-02,145.27000427246094
2022-05-03,144.25999450683594
2022-05-04,149.0500030517578
2022-05-05,141.63999938964844
2022-05-06,140.5800018310547
2022-05-09,134.9199981689453
2022-05-10,136.80999755859375
2022-05-11,132.3000030517578
2022-05-12,131.77000427246094
2022-05-13,134.92999267578125
2022-05-16,133.91000366210938
2022-05-17,139.69000244140625
2022-05-18,130.4499969482422
2022-05-19,130.57000732421875
2022-05-20,131.60000610351562
2022-05-23,132.1199951171875
2022-05-24,128.52999877929688
2022-05-25,131.22999572753906
2022-05-26,134.83999633789062
2022-05-27,139.75999450683594
2022-05-31,143.22000122070312
2022-06-01,140.02000427246094
2022-06-02,146.1999969482422
2022-06-03,141.22000122070312
2022-06-06,140.44000244140625
2022-06-07,141.88999938964844
2022-06-08,138.9600067138672
2022-06-09,136.7100067138672
2022-06-10,133.1999969482422
2022-06-13,128.66000366210938
2022-06-14,130.25999450683594
2022-06-15,131.02999877929688
2022-06-16,120.81999969482422
2022-06-17,120.98999786376953
2022-06-21,124.38999938964844
2022-06-22,122.16000366210938
2022-06-23,120.08999633789062
