Date,EXEL
2022-02-28,20.530000686645508
2022-03-01,20.889999389648438
2022-03-02,20.979999542236328
2022-03-03,21.059999465942383
2022-03-04,20.700000762939453
2022-03-07,20.700000762939453
2022-03-08,20.43000030517578
2022-03-09,20.860000610351562
2022-03-10,21.329999923706055
2022-03-11,20.989999771118164
2022-03-14,20.59000015258789
2022-03-15,20.299999237060547
2022-03-16,20.649999618530273
2022-03-17,20.75
2022-03-18,21.389999389648438
2022-03-21,21.25
2022-03-22,21.6200008392334
2022-03-23,21.299999237060547
2022-03-24,21.530000686645508
2022-03-25,21.8799991607666
2022-03-28,21.75
2022-03-29,21.989999771118164
2022-03-30,22.440000534057617
2022-03-31,22.670000076293945
2022-04-01,22.889999389648438
2022-04-04,23.15999984741211
2022-04-05,22.899999618530273
2022-04-06,23.079999923706055
2022-04-07,22.93000030517578
2022-04-08,23.020000457763672
2022-04-11,22.389999389648438
2022-04-12,22.3700008392334
2022-04-13,22.989999771118164
2022-04-14,23.09000015258789
2022-04-18,22.850000381469727
2022-04-19,22.760000228881836
2022-04-20,22.989999771118164
2022-04-21,22.559999465942383
2022-04-22,22.420000076293945
2022-04-25,22.84000015258789
2022-04-26,22.25
2022-04-27,22.600000381469727
2022-04-28,22.770000457763672
2022-04-29,22.34000015258789
2022-05-02,22.65999984741211
2022-05-03,22.579999923706055
2022-05-04,22.829999923706055
2022-05-05,22.290000915527344
2022-05-06,21.489999771118164
2022-05-09,19.34000015258789
2022-05-10,19.770000457763672
2022-05-11,19.84000015258789
2022-05-12,19.799999237060547
2022-05-13,20.079999923706055
2022-05-16,20.260000228881836
2022-05-17,20.690000534057617
2022-05-18,19.489999771118164
2022-05-19,17.440000534057617
2022-05-20,17.760000228881836
2022-05-23,17.75
2022-05-24,17.700000762939453
2022-05-25,17.809999465942383
2022-05-26,18.190000534057617
2022-05-27,18.399999618530273
2022-05-31,18.329999923706055
2022-06-01,18.469999313354492
2022-06-02,18.739999771118164
2022-06-03,19.040000915527344
2022-06-06,18.780000686645508
2022-06-07,19.469999313354492
2022-06-08,19.219999313354492
2022-06-09,18.8799991607666
2022-06-10,18.139999389648438
2022-06-13,17.6299991607666
2022-06-14,17.670000076293945
2022-06-15,17.940000534057617
2022-06-16,17.56999969482422
2022-06-17,18.559999465942383
2022-06-21,19.350000381469727
2022-06-22,20.190000534057617
2022-06-23,21.329999923706055
2022-06-24,22.219999313354492
2022-06-27,22.219999313354492
2022-06-28,20.940000534057617
2022-06-29,20.790000915527344
2022-06-30,20.81999969482422
2022-07-01,21.56999969482422
2022-07-05,22.270000457763672
2022-07-06,21.530000686645508
2022-07-07,21.709999084472656
2022-07-08,22.010000228881836
2022-07-11,20.6299991607666
2022-07-12,21.06999969482422
2022-07-13,21.6299991607666
2022-07-14,21.350000381469727
2022-07-15,21.34000015258789
2022-07-18,21.56999969482422
2022-07-19,21.84000015258789
2022-07-20,21.959999084472656
2022-07-21,21.3799991607666
2022-07-22,20.860000610351562
2022-07-25,21.010000228881836
2022-07-26,21.329999923706055
2022-07-27,21.290000915527344
2022-07-28,20.729999542236328
2022-07-29,20.920000076293945
2022-08-01,20.959999084472656
2022-08-02,21.489999771118164
2022-08-03,21.399999618530273
2022-08-04,21.440000534057617
2022-08-05,21.520000457763672
2022-08-08,21.549999237060547
2022-08-09,21.059999465942383
2022-08-10,19.5
2022-08-11,19.229999542236328
2022-08-12,19.479999542236328
2022-08-15,19.399999618530273
2022-08-16,19.510000228881836
2022-08-17,19.309999465942383
2022-08-18,19.219999313354492
2022-08-19,19.329999923706055
2022-08-22,19.149999618530273
2022-08-23,19.110000610351562
2022-08-24,19.010000228881836
2022-08-25,18.809999465942383
2022-08-26,18.229999542236328
2022-08-29,18.0
2022-08-30,17.8700008392334
2022-08-31,17.739999771118164
2022-09-01,18.219999313354492
2022-09-02,17.90999984741211
2022-09-06,17.3700008392334
2022-09-07,17.780000686645508
2022-09-08,17.809999465942383
2022-09-09,17.899999618530273
2022-09-12,17.969999313354492
2022-09-13,17.139999389648438
2022-09-14,17.18000030517578
2022-09-15,17.1299991607666
2022-09-16,17.149999618530273
2022-09-19,16.920000076293945
2022-09-20,16.899999618530273
2022-09-21,16.5
2022-09-22,16.56999969482422
2022-09-23,16.280000686645508
2022-09-26,15.890000343322754
2022-09-27,15.899999618530273
2022-09-28,16.190000534057617
2022-09-29,15.84000015258789
2022-09-30,15.680000305175781
2022-10-03,16.350000381469727
2022-10-04,16.40999984741211
2022-10-05,15.979999542236328
2022-10-06,15.600000381469727
2022-10-07,15.399999618530273
2022-10-10,14.960000038146973
2022-10-11,15.510000228881836
2022-10-12,15.319999694824219
2022-10-13,15.65999984741211
2022-10-14,15.649999618530273
2022-10-17,16.329999923706055
2022-10-18,16.530000686645508
2022-10-19,16.25
2022-10-20,16.1299991607666
2022-10-21,16.450000762939453
2022-10-24,16.31999969482422
2022-10-25,16.670000076293945
2022-10-26,16.34000015258789
2022-10-27,16.31999969482422
2022-10-28,16.6299991607666
2022-10-31,16.579999923706055
2022-11-01,16.799999237060547
2022-11-02,17.010000228881836
2022-11-03,16.239999771118164
2022-11-04,16.459999084472656
2022-11-07,16.350000381469727
2022-11-08,16.559999465942383
2022-11-09,16.389999389648438
2022-11-10,16.90999984741211
2022-11-11,16.799999237060547
2022-11-14,16.709999084472656
2022-11-15,16.799999237060547
2022-11-16,16.850000381469727
2022-11-17,16.920000076293945
2022-11-18,16.90999984741211
2022-11-21,16.81999969482422
2022-11-22,17.1200008392334
2022-11-23,16.860000610351562
