Date,AZN
2022-02-28,60.880001068115234
2022-03-01,61.34000015258789
2022-03-02,62.0
2022-03-03,60.06999969482422
2022-03-04,57.470001220703125
2022-03-07,56.5
2022-03-08,57.689998626708984
2022-03-09,60.43000030517578
2022-03-10,60.900001525878906
2022-03-11,60.29999923706055
2022-03-14,60.38999938964844
2022-03-15,61.369998931884766
2022-03-16,61.959999084472656
2022-03-17,63.66999816894531
2022-03-18,63.22999954223633
2022-03-21,63.47999954223633
2022-03-22,63.65999984741211
2022-03-23,64.31999969482422
2022-03-24,66.0199966430664
2022-03-25,65.12999725341797
2022-03-28,65.37999725341797
2022-03-29,65.94999694824219
2022-03-30,67.12000274658203
2022-03-31,66.33999633789062
2022-04-01,66.80999755859375
2022-04-04,66.66999816894531
2022-04-05,67.05000305175781
2022-04-06,69.06999969482422
2022-04-07,71.01000213623047
2022-04-08,71.13999938964844
2022-04-11,70.62999725341797
2022-04-12,68.61000061035156
2022-04-13,68.97000122070312
2022-04-14,69.05000305175781
2022-04-18,68.61000061035156
2022-04-19,68.27999877929688
2022-04-20,68.8499984741211
2022-04-21,67.38999938964844
2022-04-22,65.86000061035156
2022-04-25,65.95999908447266
2022-04-26,65.05999755859375
2022-04-27,66.19000244140625
2022-04-28,67.22000122070312
2022-04-29,66.4000015258789
2022-05-02,66.43000030517578
2022-05-03,67.16999816894531
2022-05-04,66.75
2022-05-05,64.94999694824219
2022-05-06,64.36000061035156
2022-05-09,62.58000183105469
2022-05-10,63.63999938964844
2022-05-11,61.43000030517578
2022-05-12,61.45000076293945
2022-05-13,63.13999938964844
2022-05-16,64.48999786376953
2022-05-17,65.63999938964844
2022-05-18,63.31999969482422
2022-05-19,64.54000091552734
2022-05-20,66.20999908447266
2022-05-23,66.41000366210938
2022-05-24,66.6500015258789
2022-05-25,66.80999755859375
2022-05-26,66.69999694824219
2022-05-27,67.4000015258789
2022-05-31,66.4800033569336
2022-06-01,66.12000274658203
2022-06-02,66.97000122070312
2022-06-03,65.69999694824219
2022-06-06,63.52000045776367
2022-06-07,65.58000183105469
2022-06-08,64.72000122070312
2022-06-09,62.70000076293945
2022-06-10,61.790000915527344
2022-06-13,60.0099983215332
2022-06-14,59.2599983215332
2022-06-15,60.56999969482422
2022-06-16,60.86000061035156
2022-06-17,61.09000015258789
2022-06-21,62.83000183105469
2022-06-22,63.54999923706055
2022-06-23,64.44999694824219
2022-06-24,66.9000015258789
2022-06-27,66.51000213623047
2022-06-28,65.93000030517578
2022-06-29,67.0199966430664
2022-06-30,66.06999969482422
2022-07-01,65.94999694824219
2022-07-05,65.51000213623047
2022-07-06,66.48999786376953
2022-07-07,66.91999816894531
2022-07-08,66.9800033569336
2022-07-11,66.73999786376953
2022-07-12,66.72000122070312
2022-07-13,66.30000305175781
2022-07-14,65.08000183105469
2022-07-15,67.36000061035156
2022-07-18,66.37000274658203
2022-07-19,68.16000366210938
2022-07-20,65.79000091552734
2022-07-21,65.36000061035156
2022-07-22,65.25
2022-07-25,66.16000366210938
2022-07-26,66.72000122070312
2022-07-27,67.48999786376953
2022-07-28,66.72000122070312
2022-07-29,66.2300033569336
2022-08-01,65.6500015258789
2022-08-02,65.26000213623047
2022-08-03,65.31999969482422
2022-08-04,66.29000091552734
2022-08-05,66.02999877929688
2022-08-08,65.12000274658203
2022-08-09,65.88999938964844
2022-08-10,66.30000305175781
2022-08-11,64.6500015258789
2022-08-12,66.63999938964844
2022-08-15,66.80999755859375
2022-08-16,66.73999786376953
2022-08-17,66.41999816894531
2022-08-18,66.5
2022-08-19,67.16999816894531
2022-08-22,67.23999786376953
2022-08-23,66.43000030517578
2022-08-24,67.63999938964844
2022-08-25,68.26000213623047
2022-08-26,66.31999969482422
2022-08-29,65.83000183105469
2022-08-30,63.380001068115234
2022-08-31,62.380001068115234
2022-09-01,61.790000915527344
2022-09-02,60.689998626708984
2022-09-06,60.40999984741211
2022-09-07,59.81999969482422
2022-09-08,60.31999969482422
2022-09-09,60.849998474121094
2022-09-12,61.75
2022-09-13,58.9900016784668
2022-09-14,58.720001220703125
2022-09-15,58.13999938964844
2022-09-16,58.04999923706055
2022-09-19,57.9900016784668
2022-09-20,57.400001525878906
2022-09-21,56.439998626708984
2022-09-22,56.310001373291016
2022-09-23,54.58000183105469
2022-09-26,53.02000045776367
2022-09-27,53.2400016784668
2022-09-28,54.689998626708984
2022-09-29,54.90999984741211
2022-09-30,54.84000015258789
2022-10-03,55.54999923706055
2022-10-04,57.040000915527344
2022-10-05,56.72999954223633
2022-10-06,54.90999984741211
2022-10-07,55.400001525878906
2022-10-10,54.209999084472656
2022-10-11,55.29999923706055
2022-10-12,55.06999969482422
2022-10-13,55.529998779296875
2022-10-14,54.970001220703125
2022-10-17,56.18000030517578
2022-10-18,55.970001220703125
2022-10-19,54.5099983215332
2022-10-20,54.349998474121094
2022-10-21,54.970001220703125
2022-10-24,55.18000030517578
2022-10-25,55.900001525878906
2022-10-26,57.959999084472656
2022-10-27,57.61000061035156
2022-10-28,58.709999084472656
2022-10-31,58.810001373291016
2022-11-01,59.849998474121094
2022-11-02,59.70000076293945
2022-11-03,59.93000030517578
2022-11-04,60.9900016784668
2022-11-07,61.099998474121094
2022-11-08,61.33000183105469
2022-11-09,61.04999923706055
2022-11-10,65.08999633789062
2022-11-11,62.77000045776367
2022-11-14,63.90999984741211
2022-11-15,63.95000076293945
2022-11-16,63.79999923706055
2022-11-17,64.05999755859375
2022-11-18,65.06999969482422
2022-11-21,65.43000030517578
2022-11-22,66.0
2022-11-23,66.12000274658203
