Date,FTDR
2022-02-28,30.049999237060547
2022-03-01,30.040000915527344
2022-03-02,30.25
2022-03-03,29.90999984741211
2022-03-04,29.809999465942383
2022-03-07,28.309999465942383
2022-03-08,28.18000030517578
2022-03-09,28.670000076293945
2022-03-10,28.100000381469727
2022-03-11,27.6299991607666
2022-03-14,28.459999084472656
2022-03-15,28.6200008392334
2022-03-16,29.260000228881836
2022-03-17,29.299999237060547
2022-03-18,30.139999389648438
2022-03-21,29.309999465942383
2022-03-22,29.440000534057617
2022-03-23,28.780000686645508
2022-03-24,29.059999465942383
2022-03-25,28.81999969482422
2022-03-28,28.770000457763672
2022-03-29,30.229999542236328
2022-03-30,29.690000534057617
2022-03-31,29.850000381469727
2022-04-01,30.299999237060547
2022-04-04,30.81999969482422
2022-04-05,30.68000030517578
2022-04-06,30.469999313354492
2022-04-07,31.020000457763672
2022-04-08,31.020000457763672
2022-04-11,31.350000381469727
2022-04-12,32.29999923706055
2022-04-13,32.11000061035156
2022-04-14,32.59000015258789
2022-04-18,32.790000915527344
2022-04-19,32.7400016784668
2022-04-20,31.8799991607666
2022-04-21,31.739999771118164
2022-04-22,31.84000015258789
2022-04-25,32.349998474121094
2022-04-26,31.299999237060547
2022-04-27,31.209999084472656
2022-04-28,31.739999771118164
2022-04-29,30.90999984741211
2022-05-02,31.899999618530273
2022-05-03,30.889999389648438
2022-05-04,30.809999465942383
2022-05-05,29.90999984741211
2022-05-06,26.84000015258789
2022-05-09,26.899999618530273
2022-05-10,26.399999618530273
2022-05-11,26.0
2022-05-12,26.760000228881836
2022-05-13,27.3700008392334
2022-05-16,26.860000610351562
2022-05-17,27.15999984741211
2022-05-18,26.739999771118164
2022-05-19,26.170000076293945
2022-05-20,26.440000534057617
2022-05-23,25.520000457763672
2022-05-24,24.389999389648438
2022-05-25,24.670000076293945
2022-05-26,25.3799991607666
2022-05-27,25.139999389648438
2022-05-31,24.739999771118164
2022-06-01,24.149999618530273
2022-06-02,25.149999618530273
2022-06-03,24.209999084472656
2022-06-06,23.989999771118164
2022-06-07,24.520000457763672
2022-06-08,24.56999969482422
2022-06-09,24.0
2022-06-10,22.3700008392334
2022-06-13,20.739999771118164
2022-06-14,21.040000915527344
