Date,MTSI
2022-02-28,60.099998474121094
2022-03-01,57.959999084472656
2022-03-02,60.2599983215332
2022-03-03,58.72999954223633
2022-03-04,57.790000915527344
2022-03-07,55.630001068115234
2022-03-08,57.150001525878906
2022-03-09,59.56999969482422
2022-03-10,58.56999969482422
2022-03-11,56.439998626708984
2022-03-14,53.970001220703125
2022-03-15,56.220001220703125
2022-03-16,58.529998779296875
2022-03-17,59.20000076293945
2022-03-18,61.150001525878906
2022-03-21,61.779998779296875
2022-03-22,61.9900016784668
2022-03-23,59.869998931884766
2022-03-24,61.58000183105469
2022-03-25,62.25
2022-03-28,61.38999938964844
2022-03-29,62.58000183105469
2022-03-30,60.779998779296875
2022-03-31,59.869998931884766
2022-04-01,58.40999984741211
2022-04-04,59.599998474121094
2022-04-05,56.0
2022-04-06,53.45000076293945
2022-04-07,53.2400016784668
2022-04-08,51.349998474121094
2022-04-11,50.880001068115234
2022-04-12,51.29999923706055
2022-04-13,52.209999084472656
2022-04-14,50.900001525878906
2022-04-18,51.81999969482422
2022-04-19,53.13999938964844
2022-04-20,53.33000183105469
2022-04-21,52.25
2022-04-22,51.61000061035156
2022-04-25,53.029998779296875
2022-04-26,51.45000076293945
2022-04-27,51.40999984741211
2022-04-28,51.88999938964844
2022-04-29,50.95000076293945
2022-05-02,53.22999954223633
2022-05-03,52.90999984741211
2022-05-04,54.810001373291016
2022-05-05,52.939998626708984
2022-05-06,52.34000015258789
2022-05-09,50.029998779296875
2022-05-10,50.220001220703125
2022-05-11,48.58000183105469
2022-05-12,49.470001220703125
2022-05-13,52.529998779296875
2022-05-16,51.18000030517578
2022-05-17,53.11000061035156
2022-05-18,52.41999816894531
2022-05-19,52.7599983215332
2022-05-20,52.5099983215332
2022-05-23,51.900001525878906
2022-05-24,50.189998626708984
2022-05-25,51.36000061035156
2022-05-26,52.65999984741211
2022-05-27,54.81999969482422
2022-05-31,54.5099983215332
2022-06-01,54.400001525878906
2022-06-02,56.099998474121094
2022-06-03,54.63999938964844
2022-06-06,54.630001068115234
2022-06-07,55.5
2022-06-08,53.939998626708984
2022-06-09,52.849998474121094
2022-06-10,51.31999969482422
2022-06-13,48.43000030517578
2022-06-14,48.7599983215332
2022-06-15,48.61000061035156
2022-06-16,44.52000045776367
2022-06-17,45.47999954223633
2022-06-21,45.560001373291016
2022-06-22,45.310001373291016
2022-06-23,45.869998931884766
2022-06-24,49.68000030517578
2022-06-27,48.59000015258789
2022-06-28,47.720001220703125
2022-06-29,47.29999923706055
2022-06-30,46.099998474121094
2022-07-01,44.27000045776367
2022-07-05,44.08000183105469
2022-07-06,44.439998626708984
2022-07-07,46.619998931884766
2022-07-08,47.04999923706055
2022-07-11,46.20000076293945
2022-07-12,46.2599983215332
2022-07-13,46.34000015258789
2022-07-14,47.060001373291016
2022-07-15,48.45000076293945
2022-07-18,47.880001068115234
2022-07-19,50.189998626708984
2022-07-20,52.2599983215332
2022-07-21,53.63999938964844
2022-07-22,52.689998626708984
2022-07-25,52.15999984741211
2022-07-26,52.45000076293945
2022-07-27,54.560001373291016
2022-07-28,56.790000915527344
2022-07-29,57.939998626708984
2022-08-01,57.91999816894531
2022-08-02,58.91999816894531
2022-08-03,61.040000915527344
2022-08-04,61.52000045776367
2022-08-05,61.33000183105469
2022-08-08,61.25
2022-08-09,57.970001220703125
2022-08-10,60.0
2022-08-11,60.119998931884766
2022-08-12,61.40999984741211
2022-08-15,64.7300033569336
2022-08-16,62.279998779296875
2022-08-17,59.849998474121094
2022-08-18,61.369998931884766
2022-08-19,60.36000061035156
2022-08-22,57.9900016784668
2022-08-23,59.439998626708984
2022-08-24,59.470001220703125
2022-08-25,61.02000045776367
2022-08-26,57.790000915527344
2022-08-29,56.91999816894531
2022-08-30,56.13999938964844
2022-08-31,55.150001525878906
2022-09-01,52.939998626708984
2022-09-02,53.61000061035156
2022-09-06,53.13999938964844
2022-09-07,54.18000030517578
2022-09-08,55.45000076293945
2022-09-09,57.11000061035156
2022-09-12,57.459999084472656
2022-09-13,54.93000030517578
2022-09-14,56.22999954223633
2022-09-15,55.40999984741211
2022-09-16,54.18000030517578
2022-09-19,55.08000183105469
2022-09-20,54.779998779296875
2022-09-21,54.38999938964844
2022-09-22,53.380001068115234
2022-09-23,52.529998779296875
2022-09-26,52.38999938964844
2022-09-27,53.060001373291016
2022-09-28,54.279998779296875
2022-09-29,53.0099983215332
2022-09-30,51.790000915527344
2022-10-03,54.18000030517578
2022-10-04,56.52000045776367
2022-10-05,57.56999969482422
2022-10-06,57.90999984741211
2022-10-07,56.470001220703125
2022-10-10,54.130001068115234
2022-10-11,52.779998779296875
2022-10-12,50.9900016784668
2022-10-13,52.33000183105469
2022-10-14,50.369998931884766
2022-10-17,51.849998474121094
2022-10-18,52.5
2022-10-19,52.2599983215332
2022-10-20,52.810001373291016
2022-10-21,54.790000915527344
2022-10-24,54.470001220703125
2022-10-25,57.459999084472656
2022-10-26,55.63999938964844
2022-10-27,56.150001525878906
2022-10-28,58.709999084472656
2022-10-31,57.869998931884766
2022-11-01,58.970001220703125
2022-11-02,57.459999084472656
2022-11-03,60.2599983215332
2022-11-04,64.58999633789062
2022-11-07,63.88999938964844
2022-11-08,66.44999694824219
2022-11-09,65.66999816894531
2022-11-10,69.05000305175781
2022-11-11,71.04000091552734
2022-11-14,70.3499984741211
2022-11-15,71.81999969482422
2022-11-16,69.19000244140625
2022-11-17,69.27999877929688
2022-11-18,69.05999755859375
2022-11-21,68.2699966430664
2022-11-22,69.19999694824219
2022-11-23,69.05999755859375
