Date,CASY
2022-02-28,188.0800018310547
2022-03-01,185.50999450683594
2022-03-02,189.1199951171875
2022-03-03,188.83999633789062
2022-03-04,190.41000366210938
2022-03-07,177.5800018310547
2022-03-08,171.8300018310547
2022-03-09,185.2100067138672
2022-03-10,179.14999389648438
2022-03-11,174.25
2022-03-14,180.17999267578125
2022-03-15,185.35000610351562
2022-03-16,186.89999389648438
2022-03-17,190.02000427246094
2022-03-18,191.57000732421875
2022-03-21,190.49000549316406
2022-03-22,189.99000549316406
2022-03-23,189.49000549316406
2022-03-24,193.22000122070312
2022-03-25,196.75
2022-03-28,199.5500030517578
2022-03-29,201.14999389648438
2022-03-30,199.55999755859375
2022-03-31,198.1699981689453
2022-04-01,198.22000122070312
2022-04-04,199.58999633789062
2022-04-05,200.8000030517578
2022-04-06,202.9499969482422
2022-04-07,207.8000030517578
2022-04-08,207.5500030517578
2022-04-11,206.33999633789062
2022-04-12,205.5800018310547
2022-04-13,210.6300048828125
2022-04-14,209.24000549316406
2022-04-18,208.49000549316406
2022-04-19,213.02999877929688
2022-04-20,215.8300018310547
2022-04-21,213.27999877929688
2022-04-22,211.1300048828125
2022-04-25,211.85000610351562
2022-04-26,206.0500030517578
2022-04-27,208.17999267578125
2022-04-28,206.72999572753906
2022-04-29,201.3000030517578
2022-05-02,201.8000030517578
2022-05-03,203.52999877929688
2022-05-04,207.36000061035156
2022-05-05,203.0
2022-05-06,197.32000732421875
2022-05-09,197.69000244140625
2022-05-10,196.8300018310547
2022-05-11,198.6699981689453
2022-05-12,203.94000244140625
2022-05-13,207.74000549316406
2022-05-16,210.17999267578125
2022-05-17,213.9499969482422
2022-05-18,201.0399932861328
2022-05-19,199.77999877929688
2022-05-20,199.91000366210938
2022-05-23,199.57000732421875
2022-05-24,201.3000030517578
2022-05-25,203.02999877929688
2022-05-26,206.41000366210938
2022-05-27,209.97999572753906
2022-05-31,209.5399932861328
2022-06-01,207.25
2022-06-02,210.9499969482422
2022-06-03,211.67999267578125
2022-06-06,207.32000732421875
2022-06-07,206.25
2022-06-08,197.92999267578125
2022-06-09,193.6999969482422
2022-06-10,190.97999572753906
2022-06-13,185.92999267578125
2022-06-14,186.13999938964844
2022-06-15,186.57000732421875
2022-06-16,183.83999633789062
2022-06-17,181.74000549316406
2022-06-21,184.25
2022-06-22,186.72999572753906
2022-06-23,189.02999877929688
2022-06-24,191.52999877929688
2022-06-27,194.5
2022-06-28,190.41000366210938
2022-06-29,186.4499969482422
2022-06-30,184.97999572753906
2022-07-01,186.58999633789062
2022-07-05,188.57000732421875
2022-07-06,193.86000061035156
2022-07-07,193.25
2022-07-08,194.0500030517578
2022-07-11,195.52000427246094
2022-07-12,193.8000030517578
2022-07-13,195.30999755859375
2022-07-14,198.49000549316406
2022-07-15,201.58999633789062
2022-07-18,196.80999755859375
2022-07-19,198.91000366210938
2022-07-20,198.49000549316406
2022-07-21,198.44000244140625
2022-07-22,198.7100067138672
2022-07-25,198.89999389648438
2022-07-26,196.30999755859375
2022-07-27,198.72999572753906
2022-07-28,202.8800048828125
2022-07-29,202.64999389648438
2022-08-01,205.55999755859375
2022-08-02,203.77999877929688
2022-08-03,206.72000122070312
2022-08-04,206.83999633789062
2022-08-05,207.3800048828125
2022-08-08,207.83999633789062
2022-08-09,206.88999938964844
2022-08-10,205.52000427246094
2022-08-11,206.39999389648438
2022-08-12,208.42999267578125
2022-08-15,209.60000610351562
2022-08-16,213.0800018310547
2022-08-17,212.85000610351562
2022-08-18,218.58999633789062
2022-08-19,221.89999389648438
2022-08-22,219.0
2022-08-23,217.13999938964844
2022-08-24,218.55999755859375
2022-08-25,218.77999877929688
2022-08-26,217.1999969482422
2022-08-29,217.47000122070312
2022-08-30,214.67999267578125
2022-08-31,213.77000427246094
2022-09-01,215.6999969482422
2022-09-02,213.24000549316406
2022-09-06,215.17999267578125
2022-09-07,221.39999389648438
2022-09-08,219.89999389648438
2022-09-09,221.1300048828125
2022-09-12,217.44000244140625
2022-09-13,214.6999969482422
2022-09-14,214.82000732421875
2022-09-15,214.66000366210938
2022-09-16,214.89999389648438
2022-09-19,216.4199981689453
2022-09-20,213.66000366210938
2022-09-21,212.86000061035156
2022-09-22,208.64999389648438
