Date,EXE
2022-02-28,77.25
2022-03-01,79.2699966430664
2022-03-02,79.37000274658203
2022-03-03,80.27999877929688
2022-03-04,85.0
2022-03-07,85.88999938964844
2022-03-08,82.45999908447266
2022-03-09,80.87999725341797
2022-03-10,80.86000061035156
2022-03-11,80.55000305175781
2022-03-14,76.26000213623047
2022-03-15,75.45999908447266
2022-03-16,77.01000213623047
2022-03-17,79.01000213623047
2022-03-18,78.51000213623047
2022-03-21,81.05999755859375
2022-03-22,80.51000213623047
2022-03-23,84.05999755859375
2022-03-24,87.0
2022-03-25,89.31999969482422
2022-03-28,87.94999694824219
2022-03-29,86.80999755859375
2022-03-30,88.11000061035156
2022-03-31,87.0
2022-04-01,90.0
2022-04-04,88.9800033569336
2022-04-05,88.66999816894531
2022-04-06,90.02999877929688
2022-04-07,90.61000061035156
2022-04-08,92.16999816894531
2022-04-11,91.5999984741211
2022-04-12,91.19999694824219
2022-04-13,93.5999984741211
2022-04-14,94.36000061035156
2022-04-18,94.91999816894531
2022-04-19,91.6500015258789
2022-04-20,92.87999725341797
2022-04-21,91.13999938964844
2022-04-22,86.52999877929688
2022-04-25,84.08999633789062
2022-04-26,83.0999984741211
2022-04-27,84.0
2022-04-28,84.45999908447266
2022-04-29,82.0199966430664
2022-05-02,82.76000213623047
2022-05-03,88.58999633789062
2022-05-04,94.9800033569336
2022-05-05,95.56999969482422
2022-05-06,93.1500015258789
2022-05-09,84.69999694824219
2022-05-10,83.80000305175781
2022-05-11,86.2300033569336
2022-05-12,84.48999786376953
2022-05-13,85.88999938964844
2022-05-16,89.02999877929688
2022-05-17,90.4800033569336
2022-05-18,86.62999725341797
2022-05-19,87.12000274658203
2022-05-20,91.12999725341797
2022-05-23,95.87000274658203
2022-05-24,97.87000274658203
2022-05-25,99.25
2022-05-26,100.19999694824219
2022-05-27,103.1500015258789
2022-05-31,97.37999725341797
2022-06-01,100.0
2022-06-02,98.04000091552734
2022-06-03,98.79000091552734
2022-06-06,99.75
2022-06-07,102.55999755859375
2022-06-08,99.54000091552734
2022-06-09,97.9800033569336
2022-06-10,98.16999816894531
2022-06-13,93.37000274658203
2022-06-14,87.6500015258789
2022-06-15,88.25
2022-06-16,84.3499984741211
2022-06-17,80.27999877929688
2022-06-21,83.55000305175781
2022-06-22,82.79000091552734
2022-06-23,76.33999633789062
2022-06-24,83.80000305175781
2022-06-27,85.19999694824219
2022-06-28,88.63999938964844
2022-06-29,87.01000213623047
2022-06-30,81.0999984741211
2022-07-01,82.9000015258789
2022-07-05,76.70999908447266
2022-07-06,74.33999633789062
2022-07-07,78.5
2022-07-08,78.44999694824219
2022-07-11,79.22000122070312
2022-07-12,78.69999694824219
2022-07-13,82.58000183105469
2022-07-14,79.0
2022-07-15,83.18000030517578
2022-07-18,86.72000122070312
2022-07-19,88.62999725341797
2022-07-20,91.86000061035156
2022-07-21,91.05999755859375
2022-07-22,89.75
2022-07-25,92.30999755859375
2022-07-26,92.19000244140625
2022-07-27,92.38999938964844
2022-07-28,92.88999938964844
2022-07-29,94.16999816894531
2022-08-01,90.41999816894531
2022-08-02,90.25
2022-08-03,91.52999877929688
2022-08-04,88.0199966430664
2022-08-05,92.0
2022-08-08,92.80999755859375
2022-08-09,94.62999725341797
2022-08-10,94.0
2022-08-11,97.30999755859375
2022-08-12,98.20999908447266
2022-08-15,95.9000015258789
2022-08-16,97.0
2022-08-17,98.33000183105469
2022-08-18,102.25
2022-08-19,96.33000183105469
2022-08-22,100.16000366210938
2022-08-23,100.37000274658203
2022-08-24,103.75
2022-08-25,103.80000305175781
2022-08-26,103.66000366210938
2022-08-29,103.7699966430664
2022-08-30,97.88999938964844
2022-08-31,100.48999786376953
2022-09-01,98.0199966430664
2022-09-02,99.73999786376953
2022-09-06,96.52999877929688
2022-09-07,97.73999786376953
2022-09-08,100.4000015258789
2022-09-09,102.77999877929688
2022-09-12,103.83000183105469
2022-09-13,101.43000030517578
2022-09-14,104.55999755859375
2022-09-15,103.58999633789062
2022-09-16,100.58000183105469
2022-09-19,102.26000213623047
2022-09-20,102.61000061035156
2022-09-21,102.08000183105469
2022-09-22,98.52999877929688
2022-09-23,92.93000030517578
2022-09-26,91.08999633789062
2022-09-27,91.88999938964844
2022-09-28,95.48999786376953
2022-09-29,93.83999633789062
2022-09-30,94.20999908447266
2022-10-03,98.93000030517578
2022-10-04,102.23999786376953
2022-10-05,102.44000244140625
2022-10-06,101.6500015258789
2022-10-07,100.45999908447266
2022-10-10,97.62999725341797
2022-10-11,96.5999984741211
2022-10-12,99.51000213623047
2022-10-13,101.95999908447266
2022-10-14,95.31999969482422
2022-10-17,97.19999694824219
2022-10-18,98.48999786376953
2022-10-19,99.52999877929688
2022-10-20,98.83999633789062
2022-10-21,97.0199966430664
2022-10-24,96.70999908447266
2022-10-25,98.88999938964844
2022-10-26,98.80000305175781
2022-10-27,98.02999877929688
2022-10-28,97.86000061035156
2022-10-31,102.2699966430664
2022-11-01,102.66999816894531
2022-11-02,103.7699966430664
2022-11-03,99.12000274658203
2022-11-04,100.87000274658203
2022-11-07,104.2300033569336
2022-11-08,104.75
2022-11-09,98.70999908447266
2022-11-10,101.80999755859375
2022-11-11,102.43000030517578
2022-11-14,99.19000244140625
2022-11-15,102.27999877929688
2022-11-16,99.56999969482422
2022-11-17,99.87999725341797
2022-11-18,98.86000061035156
2022-11-21,98.08000183105469
2022-11-22,102.18000030517578
2022-11-23,103.45999908447266
2022-11-25,102.94000244140625
2022-11-28,98.23999786376953
2022-11-29,99.30000305175781
