Date,BZ
2022-02-28,32.29999923706055
2022-03-01,30.540000915527344
2022-03-02,29.739999771118164
2022-03-03,28.040000915527344
2022-03-04,24.270000457763672
2022-03-07,21.729999542236328
2022-03-08,21.354999542236328
2022-03-09,24.260000228881836
2022-03-10,22.170000076293945
2022-03-11,17.809999465942383
2022-03-14,16.030000686645508
2022-03-15,18.440000534057617
2022-03-16,25.40999984741211
2022-03-17,25.459999084472656
2022-03-18,27.030000686645508
2022-03-21,25.329999923706055
2022-03-22,26.079999923706055
2022-03-23,27.15999984741211
2022-03-24,27.969999313354492
2022-03-25,26.200000762939453
2022-03-28,25.489999771118164
2022-03-29,27.75
2022-03-30,27.139999389648438
2022-03-31,24.90999984741211
2022-04-01,25.850000381469727
2022-04-04,28.25
2022-04-05,26.639999389648438
2022-04-06,25.489999771118164
2022-04-07,24.25
2022-04-08,24.110000610351562
2022-04-11,23.719999313354492
2022-04-12,23.399999618530273
2022-04-13,25.1299991607666
2022-04-14,23.75
2022-04-18,23.1299991607666
2022-04-19,23.3700008392334
2022-04-20,21.889999389648438
2022-04-21,20.3799991607666
2022-04-22,19.81999969482422
2022-04-25,19.809999465942383
2022-04-26,19.469999313354492
2022-04-27,20.5
2022-04-28,20.850000381469727
2022-04-29,23.530000686645508
2022-05-02,23.719999313354492
2022-05-03,23.280000686645508
2022-05-04,22.850000381469727
2022-05-05,21.43000030517578
2022-05-06,19.65999984741211
2022-05-09,17.530000686645508
2022-05-10,17.350000381469727
2022-05-11,16.360000610351562
2022-05-12,17.649999618530273
2022-05-13,18.440000534057617
2022-05-16,18.15999984741211
2022-05-17,19.559999465942383
2022-05-18,18.84000015258789
2022-05-19,19.399999618530273
2022-05-20,17.780000686645508
2022-05-23,17.950000762939453
2022-05-24,15.449999809265137
2022-05-25,15.739999771118164
2022-05-26,17.719999313354492
2022-05-27,18.6200008392334
2022-05-31,20.219999313354492
2022-06-01,19.940000534057617
2022-06-02,22.110000610351562
2022-06-03,21.579999923706055
2022-06-06,25.8799991607666
2022-06-07,27.3700008392334
2022-06-08,28.15999984741211
2022-06-09,23.530000686645508
2022-06-10,23.489999771118164
2022-06-13,22.600000381469727
2022-06-14,24.93000030517578
2022-06-15,24.25
2022-06-16,22.260000228881836
2022-06-17,22.1299991607666
2022-06-21,24.3700008392334
2022-06-22,23.979999542236328
2022-06-23,24.959999084472656
2022-06-24,27.34000015258789
2022-06-27,27.360000610351562
2022-06-28,26.829999923706055
2022-06-29,26.329999923706055
2022-06-30,26.280000686645508
2022-07-01,27.489999771118164
2022-07-05,27.780000686645508
2022-07-06,26.5
2022-07-07,27.15999984741211
2022-07-08,26.34000015258789
2022-07-11,24.979999542236328
2022-07-12,24.389999389648438
2022-07-13,24.59000015258789
2022-07-14,24.239999771118164
2022-07-15,23.809999465942383
2022-07-18,24.5
2022-07-19,24.59000015258789
2022-07-20,24.989999771118164
2022-07-21,24.979999542236328
2022-07-22,23.579999923706055
2022-07-25,24.139999389648438
2022-07-26,23.8799991607666
2022-07-27,24.579999923706055
2022-07-28,24.40999984741211
2022-07-29,23.510000228881836
2022-08-01,21.729999542236328
2022-08-02,22.389999389648438
2022-08-03,21.0
2022-08-04,21.34000015258789
2022-08-05,19.940000534057617
2022-08-08,20.209999084472656
2022-08-09,20.350000381469727
2022-08-10,21.729999542236328
2022-08-11,22.75
2022-08-12,21.81999969482422
2022-08-15,22.170000076293945
2022-08-16,21.600000381469727
2022-08-17,21.030000686645508
2022-08-18,21.1299991607666
2022-08-19,21.049999237060547
2022-08-22,21.860000610351562
2022-08-23,21.829999923706055
2022-08-24,22.770000457763672
2022-08-25,24.3700008392334
2022-08-26,24.229999542236328
2022-08-29,23.260000228881836
2022-08-30,22.739999771118164
2022-08-31,23.489999771118164
2022-09-01,23.049999237060547
2022-09-02,22.709999084472656
2022-09-06,21.889999389648438
2022-09-07,22.709999084472656
2022-09-08,22.1200008392334
2022-09-09,22.760000228881836
2022-09-12,23.75
2022-09-13,22.3799991607666
2022-09-14,22.31999969482422
2022-09-15,22.229999542236328
2022-09-16,21.290000915527344
2022-09-19,21.280000686645508
2022-09-20,21.110000610351562
2022-09-21,20.040000915527344
2022-09-22,19.309999465942383
2022-09-23,18.25
2022-09-26,19.31999969482422
2022-09-27,19.25
2022-09-28,19.389999389648438
2022-09-29,17.15999984741211
2022-09-30,16.8799991607666
2022-10-03,17.489999771118164
2022-10-04,19.15999984741211
2022-10-05,19.059999465942383
2022-10-06,18.34000015258789
2022-10-07,16.639999389648438
2022-10-10,15.720000267028809
2022-10-11,15.779999732971191
2022-10-12,15.619999885559082
2022-10-13,15.569999694824219
2022-10-14,15.600000381469727
2022-10-17,16.399999618530273
2022-10-18,15.850000381469727
2022-10-19,14.479999542236328
2022-10-20,14.4399995803833
2022-10-21,14.229999542236328
2022-10-24,11.0
2022-10-25,11.3100004196167
2022-10-26,12.460000038146973
2022-10-27,12.170000076293945
2022-10-28,10.739999771118164
2022-10-31,10.930000305175781
2022-11-01,12.210000038146973
2022-11-02,12.199999809265137
2022-11-03,12.569999694824219
2022-11-04,14.0
2022-11-07,13.449999809265137
2022-11-08,13.270000457763672
2022-11-09,11.949999809265137
2022-11-10,13.079999923706055
2022-11-11,15.25
2022-11-14,16.09000015258789
2022-11-15,17.190000534057617
2022-11-16,16.170000076293945
2022-11-17,16.549999237060547
2022-11-18,15.920000076293945
2022-11-21,15.489999771118164
2022-11-22,14.890000343322754
2022-11-23,15.09000015258789
2022-11-25,14.319999694824219
2022-11-28,15.079999923706055
2022-11-29,16.469999313354492
2022-11-30,18.81999969482422
2022-12-01,17.899999618530273
2022-12-02,19.540000915527344
2022-12-05,19.540000915527344
2022-12-06,19.510000228881836
2022-12-07,18.809999465942383
2022-12-08,20.09000015258789
