Date,CG
2022-02-28,46.869998931884766
2022-03-01,45.04999923706055
2022-03-02,47.41999816894531
2022-03-03,46.15999984741211
2022-03-04,43.63999938964844
2022-03-07,40.59000015258789
2022-03-08,41.0099983215332
2022-03-09,43.470001220703125
2022-03-10,42.7400016784668
2022-03-11,42.470001220703125
2022-03-14,41.77000045776367
2022-03-15,43.09000015258789
2022-03-16,45.470001220703125
2022-03-17,47.15999984741211
2022-03-18,47.29999923706055
2022-03-21,46.439998626708984
2022-03-22,46.91999816894531
2022-03-23,46.16999816894531
2022-03-24,46.599998474121094
2022-03-25,46.279998779296875
2022-03-28,46.540000915527344
2022-03-29,48.06999969482422
2022-03-30,46.689998626708984
2022-03-31,48.90999984741211
2022-04-01,49.41999816894531
2022-04-04,49.2599983215332
2022-04-05,46.84000015258789
2022-04-06,44.95000076293945
2022-04-07,44.11000061035156
2022-04-08,44.2599983215332
2022-04-11,43.06999969482422
2022-04-12,42.68000030517578
2022-04-13,44.060001373291016
2022-04-14,42.720001220703125
2022-04-18,42.06999969482422
2022-04-19,43.95000076293945
2022-04-20,44.900001525878906
2022-04-21,41.459999084472656
2022-04-22,39.83000183105469
2022-04-25,40.650001525878906
2022-04-26,38.220001220703125
2022-04-27,38.56999969482422
2022-04-28,38.47999954223633
2022-04-29,36.290000915527344
2022-05-02,37.04999923706055
2022-05-03,38.61000061035156
2022-05-04,40.540000915527344
2022-05-05,38.38999938964844
2022-05-06,37.689998626708984
2022-05-09,35.52000045776367
2022-05-10,36.459999084472656
2022-05-11,35.43000030517578
2022-05-12,35.54999923706055
2022-05-13,37.66999816894531
2022-05-16,37.560001373291016
2022-05-17,38.41999816894531
2022-05-18,36.25
2022-05-19,35.22999954223633
2022-05-20,36.7400016784668
2022-05-23,36.68000030517578
2022-05-24,35.83000183105469
2022-05-25,36.5099983215332
2022-05-26,38.58000183105469
2022-05-27,39.599998474121094
2022-05-31,38.529998779296875
2022-06-01,38.470001220703125
2022-06-02,39.650001525878906
2022-06-03,39.72999954223633
2022-06-06,39.86000061035156
2022-06-07,39.5
2022-06-08,38.58000183105469
2022-06-09,37.77000045776367
2022-06-10,35.959999084472656
2022-06-13,33.40999984741211
2022-06-14,33.189998626708984
2022-06-15,34.40999984741211
2022-06-16,31.639999389648438
2022-06-17,32.36000061035156
2022-06-21,32.5099983215332
2022-06-22,32.279998779296875
2022-06-23,32.900001525878906
2022-06-24,34.11000061035156
2022-06-27,33.77000045776367
2022-06-28,32.95000076293945
2022-06-29,32.45000076293945
2022-06-30,31.65999984741211
2022-07-01,32.09000015258789
2022-07-05,32.5
2022-07-06,31.690000534057617
2022-07-07,32.68000030517578
2022-07-08,31.989999771118164
2022-07-11,31.600000381469727
2022-07-12,31.600000381469727
2022-07-13,31.229999542236328
2022-07-14,30.530000686645508
2022-07-15,32.02000045776367
2022-07-18,32.189998626708984
2022-07-19,33.86000061035156
2022-07-20,34.4900016784668
2022-07-21,35.06999969482422
2022-07-22,35.0
2022-07-25,35.130001068115234
2022-07-26,34.88999938964844
2022-07-27,35.54999923706055
2022-07-28,37.52000045776367
2022-07-29,38.90999984741211
2022-08-01,38.4900016784668
2022-08-02,37.72999954223633
2022-08-03,38.7599983215332
2022-08-04,38.380001068115234
2022-08-05,37.959999084472656
2022-08-08,35.290000915527344
2022-08-09,34.119998931884766
2022-08-10,35.349998474121094
2022-08-11,34.349998474121094
2022-08-12,35.20000076293945
2022-08-15,35.619998931884766
2022-08-16,35.779998779296875
2022-08-17,34.22999954223633
2022-08-18,34.630001068115234
2022-08-19,33.560001373291016
2022-08-22,32.869998931884766
2022-08-23,33.33000183105469
2022-08-24,33.4900016784668
2022-08-25,34.65999984741211
2022-08-26,33.09000015258789
2022-08-29,32.849998474121094
2022-08-30,32.66999816894531
2022-08-31,32.529998779296875
2022-09-01,32.65999984741211
2022-09-02,32.2599983215332
2022-09-06,31.65999984741211
2022-09-07,32.33000183105469
2022-09-08,32.54999923706055
2022-09-09,33.06999969482422
2022-09-12,33.40999984741211
2022-09-13,31.489999771118164
2022-09-14,31.6200008392334
2022-09-15,31.420000076293945
2022-09-16,30.889999389648438
2022-09-19,31.18000030517578
2022-09-20,30.1200008392334
2022-09-21,29.309999465942383
2022-09-22,28.18000030517578
2022-09-23,26.950000762939453
2022-09-26,26.479999542236328
2022-09-27,26.65999984741211
2022-09-28,27.420000076293945
2022-09-29,26.239999771118164
2022-09-30,25.84000015258789
2022-10-03,26.93000030517578
2022-10-04,28.34000015258789
2022-10-05,28.329999923706055
2022-10-06,27.639999389648438
2022-10-07,26.670000076293945
2022-10-10,26.309999465942383
2022-10-11,25.8799991607666
2022-10-12,25.780000686645508
2022-10-13,26.6200008392334
2022-10-14,25.43000030517578
2022-10-17,26.399999618530273
2022-10-18,26.8799991607666
2022-10-19,25.899999618530273
2022-10-20,25.68000030517578
2022-10-21,26.399999618530273
2022-10-24,26.489999771118164
2022-10-25,27.850000381469727
2022-10-26,28.059999465942383
2022-10-27,28.3799991607666
2022-10-28,28.780000686645508
2022-10-31,28.280000686645508
2022-11-01,28.350000381469727
2022-11-02,27.829999923706055
2022-11-03,27.18000030517578
2022-11-04,27.940000534057617
2022-11-07,28.079999923706055
2022-11-08,25.920000076293945
2022-11-09,26.040000915527344
2022-11-10,29.3799991607666
2022-11-11,30.18000030517578
2022-11-14,28.899999618530273
2022-11-15,29.75
2022-11-16,29.260000228881836
2022-11-17,28.600000381469727
2022-11-18,28.290000915527344
2022-11-21,28.969999313354492
2022-11-22,29.299999237060547
