Date,BNTX
2022-02-28,150.80999755859375
2022-03-01,146.72999572753906
2022-03-02,146.9499969482422
2022-03-03,142.25999450683594
2022-03-04,136.25999450683594
2022-03-07,126.25
2022-03-08,128.16000366210938
2022-03-09,140.2100067138672
2022-03-10,137.27000427246094
2022-03-11,135.63999938964844
2022-03-14,151.9199981689453
2022-03-15,145.0399932861328
2022-03-16,163.9199981689453
2022-03-17,165.0
2022-03-18,174.4600067138672
2022-03-21,170.1199951171875
2022-03-22,174.6300048828125
2022-03-23,166.3300018310547
2022-03-24,170.41000366210938
2022-03-25,161.10000610351562
2022-03-28,166.35000610351562
2022-03-29,172.38999938964844
2022-03-30,174.77999877929688
2022-03-31,170.55999755859375
2022-04-01,178.77999877929688
2022-04-04,186.24000549316406
2022-04-05,180.82000732421875
2022-04-06,166.64999389648438
2022-04-07,169.11000061035156
2022-04-08,170.25999450683594
2022-04-11,170.5500030517578
2022-04-12,169.1300048828125
2022-04-13,179.3800048828125
2022-04-14,175.2899932861328
2022-04-18,159.57000732421875
2022-04-19,159.74000549316406
2022-04-20,153.67999267578125
2022-04-21,147.83999633789062
2022-04-22,145.07000732421875
2022-04-25,155.10000610351562
2022-04-26,147.9499969482422
2022-04-27,144.44000244140625
2022-04-28,143.39999389648438
2022-04-29,138.77999877929688
2022-05-02,146.0399932861328
2022-05-03,149.22999572753906
2022-05-04,151.83999633789062
2022-05-05,141.9199981689453
2022-05-06,136.1699981689453
2022-05-09,140.32000732421875
2022-05-10,144.42999267578125
2022-05-11,144.16000366210938
2022-05-12,158.0
2022-05-13,158.83999633789062
2022-05-16,151.1999969482422
2022-05-17,159.8000030517578
2022-05-18,157.05999755859375
2022-05-19,167.8699951171875
2022-05-20,163.0
2022-05-23,163.22000122070312
2022-05-24,154.5
2022-05-25,154.6699981689453
2022-05-26,158.14999389648438
2022-05-27,166.9600067138672
2022-05-31,163.36000061035156
2022-06-01,161.49000549316406
2022-06-02,158.36000061035156
2022-06-03,157.6999969482422
2022-06-06,159.30999755859375
2022-06-07,160.1199951171875
2022-06-08,161.72999572753906
