Date,ENSG
2022-02-28,84.04000091552734
2022-03-01,82.86000061035156
2022-03-02,84.5
2022-03-03,84.9800033569336
2022-03-04,85.38999938964844
2022-03-07,85.98999786376953
2022-03-08,87.44000244140625
2022-03-09,87.45999908447266
2022-03-10,85.98999786376953
2022-03-11,84.81999969482422
2022-03-14,83.61000061035156
2022-03-15,84.63999938964844
2022-03-16,86.51000213623047
2022-03-17,87.80999755859375
2022-03-18,87.0199966430664
2022-03-21,87.33999633789062
2022-03-22,87.2300033569336
2022-03-23,85.12999725341797
2022-03-24,85.43000030517578
2022-03-25,86.51000213623047
2022-03-28,87.04000091552734
2022-03-29,88.91000366210938
2022-03-30,89.3499984741211
2022-03-31,90.01000213623047
2022-04-01,94.2300033569336
2022-04-04,89.9800033569336
2022-04-05,89.13999938964844
2022-04-06,88.0
2022-04-07,88.05000305175781
2022-04-08,87.0
2022-04-11,85.41999816894531
2022-04-12,82.41000366210938
2022-04-13,84.44999694824219
2022-04-14,85.3499984741211
2022-04-18,83.93000030517578
2022-04-19,84.81999969482422
2022-04-20,87.05000305175781
2022-04-21,87.30000305175781
2022-04-22,81.18000030517578
2022-04-25,83.79000091552734
2022-04-26,82.83999633789062
2022-04-27,81.5
2022-04-28,81.97000122070312
2022-04-29,80.33000183105469
2022-05-02,79.0999984741211
2022-05-03,78.4000015258789
2022-05-04,78.94000244140625
2022-05-05,77.76000213623047
2022-05-06,75.9800033569336
2022-05-09,76.73999786376953
2022-05-10,77.44999694824219
2022-05-11,76.3499984741211
2022-05-12,77.87000274658203
2022-05-13,78.80000305175781
2022-05-16,78.62000274658203
2022-05-17,81.54000091552734
2022-05-18,79.12000274658203
2022-05-19,78.93000030517578
2022-05-20,79.02999877929688
2022-05-23,79.43000030517578
2022-05-24,78.55000305175781
2022-05-25,79.47000122070312
2022-05-26,80.5999984741211
2022-05-27,82.41000366210938
2022-05-31,81.16999816894531
2022-06-01,78.13999938964844
2022-06-02,80.26000213623047
2022-06-03,79.20999908447266
2022-06-06,79.52999877929688
2022-06-07,79.83000183105469
2022-06-08,76.5
2022-06-09,76.2699966430664
2022-06-10,75.87000274658203
2022-06-13,73.6500015258789
2022-06-14,72.7699966430664
2022-06-15,73.51000213623047
2022-06-16,72.79000091552734
2022-06-17,74.0
2022-06-21,71.05999755859375
2022-06-22,71.83999633789062
2022-06-23,72.91999816894531
2022-06-24,75.25
2022-06-27,75.91000366210938
2022-06-28,73.91999816894531
2022-06-29,75.58000183105469
2022-06-30,73.47000122070312
2022-07-01,75.69000244140625
2022-07-05,75.25
2022-07-06,74.23999786376953
2022-07-07,75.0999984741211
2022-07-08,75.05999755859375
2022-07-11,73.47000122070312
2022-07-12,73.87000274658203
2022-07-13,73.69000244140625
2022-07-14,73.62999725341797
2022-07-15,75.33000183105469
2022-07-18,74.5199966430664
2022-07-19,76.0199966430664
2022-07-20,76.45999908447266
2022-07-21,78.02999877929688
2022-07-22,78.7699966430664
2022-07-25,78.7699966430664
2022-07-26,79.69000244140625
2022-07-27,79.54000091552734
2022-07-28,79.94999694824219
2022-07-29,79.69000244140625
2022-08-01,81.87000274658203
2022-08-02,87.2300033569336
2022-08-03,85.97000122070312
2022-08-04,83.87000274658203
2022-08-05,84.87000274658203
2022-08-08,85.88999938964844
2022-08-09,85.30999755859375
2022-08-10,86.75
2022-08-11,86.11000061035156
2022-08-12,87.83999633789062
2022-08-15,89.2699966430664
2022-08-16,88.54000091552734
2022-08-17,90.05999755859375
2022-08-18,91.23999786376953
2022-08-19,90.70999908447266
2022-08-22,89.73999786376953
2022-08-23,89.41999816894531
2022-08-24,89.58999633789062
2022-08-25,90.5
2022-08-26,86.93000030517578
2022-08-29,87.02999877929688
2022-08-30,84.69000244140625
2022-08-31,85.30000305175781
2022-09-01,84.01000213623047
2022-09-02,82.4800033569336
2022-09-06,83.4800033569336
2022-09-07,86.95999908447266
2022-09-08,86.76000213623047
2022-09-09,87.12000274658203
2022-09-12,87.16999816894531
2022-09-13,84.37999725341797
2022-09-14,84.33000183105469
2022-09-15,84.94999694824219
2022-09-16,84.7699966430664
2022-09-19,86.41000366210938
2022-09-20,85.63999938964844
2022-09-21,86.33999633789062
2022-09-22,84.0199966430664
2022-09-23,79.63999938964844
2022-09-26,80.62000274658203
2022-09-27,79.55000305175781
2022-09-28,81.0
2022-09-29,80.94999694824219
2022-09-30,79.5
2022-10-03,81.44999694824219
2022-10-04,83.27999877929688
2022-10-05,84.12000274658203
2022-10-06,83.93000030517578
2022-10-07,82.5
2022-10-10,85.37999725341797
2022-10-11,85.33999633789062
2022-10-12,83.56999969482422
2022-10-13,85.4800033569336
2022-10-14,82.9000015258789
2022-10-17,86.33999633789062
2022-10-18,85.36000061035156
2022-10-19,84.69999694824219
2022-10-20,84.45999908447266
2022-10-21,85.51000213623047
2022-10-24,87.54000091552734
2022-10-25,88.18000030517578
2022-10-26,90.08999633789062
2022-10-27,86.51000213623047
2022-10-28,89.95999908447266
2022-10-31,89.77999877929688
2022-11-01,91.69000244140625
2022-11-02,90.66999816894531
2022-11-03,91.25
2022-11-04,91.23999786376953
2022-11-07,92.01000213623047
2022-11-08,91.7300033569336
2022-11-09,90.04000091552734
2022-11-10,94.87999725341797
2022-11-11,92.31999969482422
2022-11-14,91.8499984741211
2022-11-15,91.9000015258789
2022-11-16,91.31999969482422
2022-11-17,91.76000213623047
2022-11-18,92.5
2022-11-21,93.37999725341797
2022-11-22,94.23999786376953
2022-11-23,92.93000030517578
2022-11-25,94.12000274658203
2022-11-28,92.70999908447266
