Date,OLLI
2022-02-28,43.18000030517578
2022-03-01,43.43000030517578
2022-03-02,44.29999923706055
2022-03-03,43.439998626708984
2022-03-04,44.380001068115234
2022-03-07,42.5099983215332
2022-03-08,44.529998779296875
2022-03-09,44.41999816894531
2022-03-10,42.0
2022-03-11,39.220001220703125
2022-03-14,38.09000015258789
2022-03-15,40.59000015258789
2022-03-16,41.88999938964844
2022-03-17,41.33000183105469
2022-03-18,42.90999984741211
2022-03-21,41.5
2022-03-22,42.939998626708984
2022-03-23,40.66999816894531
2022-03-24,43.060001373291016
2022-03-25,43.209999084472656
2022-03-28,42.16999816894531
2022-03-29,44.720001220703125
2022-03-30,43.900001525878906
2022-03-31,42.959999084472656
2022-04-01,42.849998474121094
2022-04-04,49.560001373291016
2022-04-05,47.06999969482422
2022-04-06,48.31999969482422
2022-04-07,50.06999969482422
2022-04-08,51.189998626708984
2022-04-11,51.43000030517578
2022-04-12,51.209999084472656
2022-04-13,54.0
2022-04-14,54.599998474121094
2022-04-18,53.029998779296875
2022-04-19,54.20000076293945
2022-04-20,53.38999938964844
2022-04-21,50.84000015258789
2022-04-22,48.380001068115234
2022-04-25,49.130001068115234
2022-04-26,49.0099983215332
2022-04-27,48.5
2022-04-28,49.630001068115234
2022-04-29,48.04999923706055
2022-05-02,50.41999816894531
2022-05-03,48.66999816894531
2022-05-04,52.15999984741211
2022-05-05,48.779998779296875
2022-05-06,48.13999938964844
2022-05-09,48.900001525878906
2022-05-10,44.310001373291016
2022-05-11,42.9900016784668
2022-05-12,44.0
2022-05-13,45.619998931884766
2022-05-16,45.97999954223633
2022-05-17,45.810001373291016
2022-05-18,43.459999084472656
2022-05-19,43.189998626708984
2022-05-20,42.349998474121094
2022-05-23,43.189998626708984
2022-05-24,42.0099983215332
2022-05-25,45.66999816894531
2022-05-26,46.290000915527344
2022-05-27,48.189998626708984
2022-05-31,46.970001220703125
2022-06-01,45.75
2022-06-02,47.02000045776367
2022-06-03,47.38999938964844
2022-06-06,48.47999954223633
2022-06-07,50.9900016784668
2022-06-08,53.380001068115234
2022-06-09,55.689998626708984
2022-06-10,53.65999984741211
2022-06-13,53.209999084472656
2022-06-14,54.09000015258789
2022-06-15,56.709999084472656
2022-06-16,57.130001068115234
2022-06-17,57.970001220703125
2022-06-21,59.970001220703125
2022-06-22,57.86000061035156
2022-06-23,60.70000076293945
2022-06-24,63.43000030517578
2022-06-27,62.86000061035156
2022-06-28,58.84000015258789
2022-06-29,60.31999969482422
2022-06-30,58.75
2022-07-01,61.33000183105469
2022-07-05,66.26000213623047
2022-07-06,66.2699966430664
2022-07-07,70.81999969482422
2022-07-08,71.16999816894531
2022-07-11,71.16000366210938
2022-07-12,69.19999694824219
2022-07-13,68.20999908447266
2022-07-14,66.54000091552734
