Date,UTHR
2022-02-28,166.1999969482422
2022-03-01,166.16000366210938
2022-03-02,175.35000610351562
2022-03-03,174.9600067138672
2022-03-04,174.52000427246094
2022-03-07,172.85000610351562
2022-03-08,172.47999572753906
2022-03-09,169.9199981689453
2022-03-10,167.77999877929688
2022-03-11,173.0
2022-03-14,175.0
2022-03-15,178.82000732421875
2022-03-16,182.5500030517578
2022-03-17,184.49000549316406
2022-03-18,181.1999969482422
2022-03-21,182.1699981689453
2022-03-22,179.3300018310547
2022-03-23,177.77999877929688
2022-03-24,178.8699951171875
2022-03-25,174.83999633789062
2022-03-28,175.22999572753906
2022-03-29,178.4600067138672
2022-03-30,175.6300048828125
2022-03-31,179.41000366210938
2022-04-01,184.64999389648438
2022-04-04,184.02999877929688
2022-04-05,184.7100067138672
2022-04-06,185.47999572753906
2022-04-07,190.11000061035156
2022-04-08,189.27000427246094
2022-04-11,185.5399932861328
2022-04-12,186.66000366210938
2022-04-13,190.19000244140625
2022-04-14,191.91000366210938
2022-04-18,188.80999755859375
2022-04-19,184.24000549316406
2022-04-20,187.25999450683594
2022-04-21,190.22000122070312
2022-04-22,187.6300048828125
2022-04-25,186.24000549316406
2022-04-26,174.80999755859375
2022-04-27,177.3000030517578
2022-04-28,179.33999633789062
2022-04-29,177.55999755859375
2022-05-02,179.82000732421875
2022-05-03,179.67999267578125
2022-05-04,186.36000061035156
2022-05-05,186.99000549316406
2022-05-06,184.08999633789062
2022-05-09,178.5800018310547
2022-05-10,179.11000061035156
2022-05-11,179.49000549316406
2022-05-12,181.3699951171875
2022-05-13,183.44000244140625
2022-05-16,185.1300048828125
2022-05-17,190.99000549316406
2022-05-18,185.3800048828125
2022-05-19,186.30999755859375
2022-05-20,188.3300018310547
2022-05-23,210.13999938964844
2022-05-24,218.9499969482422
2022-05-25,228.38999938964844
2022-05-26,224.77999877929688
2022-05-27,235.8300018310547
2022-05-31,230.33999633789062
2022-06-01,231.2899932861328
2022-06-02,228.22999572753906
2022-06-03,228.63999938964844
2022-06-06,225.83999633789062
2022-06-07,228.6199951171875
2022-06-08,228.72999572753906
2022-06-09,221.16000366210938
2022-06-10,220.64999389648438
2022-06-13,216.4600067138672
2022-06-14,218.24000549316406
2022-06-15,220.08999633789062
2022-06-16,217.6699981689453
2022-06-17,219.3800048828125
2022-06-21,228.83999633789062
2022-06-22,232.30999755859375
2022-06-23,240.86000061035156
2022-06-24,238.9499969482422
2022-06-27,241.13999938964844
2022-06-28,234.02000427246094
2022-06-29,238.2899932861328
2022-06-30,235.63999938964844
2022-07-01,238.0
2022-07-05,237.14999389648438
2022-07-06,241.89999389648438
2022-07-07,240.1999969482422
2022-07-08,244.1699981689453
2022-07-11,241.7899932861328
2022-07-12,239.72000122070312
2022-07-13,236.8300018310547
2022-07-14,237.1300048828125
2022-07-15,240.0800018310547
2022-07-18,234.11000061035156
2022-07-19,231.42999267578125
2022-07-20,226.1300048828125
2022-07-21,226.1999969482422
2022-07-22,225.4499969482422
2022-07-25,227.97999572753906
2022-07-26,231.44000244140625
2022-07-27,231.0
2022-07-28,229.99000549316406
2022-07-29,231.07000732421875
2022-08-01,225.3000030517578
2022-08-02,224.75
2022-08-03,228.52000427246094
2022-08-04,221.35000610351562
2022-08-05,221.64999389648438
2022-08-08,218.72999572753906
2022-08-09,219.1699981689453
2022-08-10,221.49000549316406
2022-08-11,220.41000366210938
2022-08-12,217.10000610351562
2022-08-15,218.36000061035156
2022-08-16,221.66000366210938
2022-08-17,221.6300048828125
2022-08-18,223.44000244140625
2022-08-19,224.44000244140625
2022-08-22,220.30999755859375
2022-08-23,226.50999450683594
2022-08-24,222.49000549316406
2022-08-25,220.77999877929688
2022-08-26,215.3000030517578
2022-08-29,217.49000549316406
2022-08-30,218.97000122070312
2022-08-31,226.6199951171875
2022-09-01,226.07000732421875
2022-09-02,222.91000366210938
2022-09-06,222.35000610351562
2022-09-07,222.0800018310547
2022-09-08,223.7100067138672
2022-09-09,223.47999572753906
2022-09-12,221.94000244140625
2022-09-13,216.57000732421875
2022-09-14,219.17999267578125
2022-09-15,220.63999938964844
2022-09-16,218.11000061035156
2022-09-19,216.88999938964844
2022-09-20,207.17999267578125
2022-09-21,205.57000732421875
2022-09-22,207.97999572753906
2022-09-23,207.6199951171875
2022-09-26,203.3000030517578
2022-09-27,205.88999938964844
2022-09-28,211.0800018310547
2022-09-29,207.94000244140625
2022-09-30,209.3800048828125
2022-10-03,213.92999267578125
2022-10-04,215.6199951171875
2022-10-05,212.0500030517578
2022-10-06,209.8000030517578
2022-10-07,206.77000427246094
2022-10-10,205.9499969482422
2022-10-11,211.47999572753906
2022-10-12,211.25
2022-10-13,213.75999450683594
2022-10-14,216.44000244140625
2022-10-17,221.97999572753906
2022-10-18,219.3800048828125
2022-10-19,216.58999633789062
2022-10-20,215.85000610351562
2022-10-21,219.3000030517578
2022-10-24,222.08999633789062
2022-10-25,226.75999450683594
2022-10-26,227.6999969482422
2022-10-27,225.80999755859375
2022-10-28,232.14999389648438
2022-10-31,230.52999877929688
2022-11-01,228.38999938964844
2022-11-02,253.64999389648438
2022-11-03,265.4200134277344
2022-11-04,264.69000244140625
2022-11-07,266.79998779296875
2022-11-08,262.8399963378906
2022-11-09,264.4100036621094
2022-11-10,263.3800048828125
2022-11-11,255.4499969482422
2022-11-14,254.63999938964844
2022-11-15,259.1199951171875
2022-11-16,261.04998779296875
2022-11-17,264.75
2022-11-18,264.6199951171875
2022-11-21,265.5899963378906
2022-11-22,270.92999267578125
2022-11-23,266.8599853515625
2022-11-25,268.07000732421875
2022-11-28,270.69000244140625
2022-11-29,271.0299987792969
2022-11-30,279.8900146484375
2022-12-01,275.6099853515625
2022-12-02,278.54998779296875
2022-12-05,273.7200012207031
2022-12-06,276.6000061035156
2022-12-07,277.0799865722656
2022-12-08,279.8800048828125
2022-12-09,280.42999267578125
2022-12-12,280.010009765625
2022-12-13,276.42999267578125
