Date,RMBS
2022-02-28,27.0
2022-03-01,26.68000030517578
2022-03-02,28.010000228881836
2022-03-03,28.829999923706055
2022-03-04,28.09000015258789
2022-03-07,27.190000534057617
2022-03-08,27.8700008392334
2022-03-09,28.739999771118164
2022-03-10,28.280000686645508
2022-03-11,27.729999542236328
2022-03-14,25.780000686645508
2022-03-15,27.8700008392334
2022-03-16,29.010000228881836
2022-03-17,29.6299991607666
2022-03-18,31.229999542236328
2022-03-21,31.209999084472656
2022-03-22,31.389999389648438
2022-03-23,31.170000076293945
2022-03-24,32.43000030517578
2022-03-25,32.310001373291016
2022-03-28,32.91999816894531
2022-03-29,33.599998474121094
2022-03-30,32.29999923706055
2022-03-31,31.889999389648438
2022-04-01,31.43000030517578
2022-04-04,31.09000015258789
2022-04-05,28.6200008392334
2022-04-06,27.479999542236328
2022-04-07,27.15999984741211
2022-04-08,26.25
2022-04-11,25.540000915527344
2022-04-12,25.3700008392334
2022-04-13,26.200000762939453
2022-04-14,25.889999389648438
2022-04-18,26.219999313354492
2022-04-19,26.68000030517578
2022-04-20,26.649999618530273
2022-04-21,26.079999923706055
2022-04-22,25.389999389648438
2022-04-25,25.75
2022-04-26,25.010000228881836
2022-04-27,24.549999237060547
2022-04-28,25.610000610351562
2022-04-29,24.90999984741211
2022-05-02,25.510000228881836
2022-05-03,26.25
2022-05-04,26.850000381469727
2022-05-05,25.8700008392334
2022-05-06,25.780000686645508
2022-05-09,24.350000381469727
2022-05-10,24.610000610351562
2022-05-11,23.65999984741211
2022-05-12,23.729999542236328
2022-05-13,24.420000076293945
2022-05-16,24.540000915527344
2022-05-17,25.34000015258789
2022-05-18,24.079999923706055
2022-05-19,24.56999969482422
2022-05-20,24.530000686645508
2022-05-23,24.440000534057617
2022-05-24,23.579999923706055
2022-05-25,23.790000915527344
2022-05-26,24.579999923706055
2022-05-27,25.18000030517578
2022-05-31,25.100000381469727
2022-06-01,25.280000686645508
2022-06-02,25.770000457763672
2022-06-03,25.3700008392334
2022-06-06,25.459999084472656
2022-06-07,25.31999969482422
2022-06-08,24.770000457763672
2022-06-09,24.15999984741211
2022-06-10,23.90999984741211
2022-06-13,22.09000015258789
2022-06-14,22.079999923706055
2022-06-15,22.559999465942383
2022-06-16,20.75
2022-06-17,20.920000076293945
2022-06-21,21.579999923706055
2022-06-22,21.350000381469727
2022-06-23,21.010000228881836
2022-06-24,21.739999771118164
2022-06-27,22.010000228881836
2022-06-28,21.65999984741211
2022-06-29,21.600000381469727
2022-06-30,21.489999771118164
2022-07-01,20.59000015258789
2022-07-05,21.0
2022-07-06,20.860000610351562
2022-07-07,21.469999313354492
2022-07-08,21.420000076293945
2022-07-11,21.139999389648438
2022-07-12,21.100000381469727
2022-07-13,21.329999923706055
2022-07-14,21.459999084472656
2022-07-15,22.059999465942383
2022-07-18,22.0
2022-07-19,23.020000457763672
2022-07-20,23.760000228881836
2022-07-21,24.450000762939453
2022-07-22,23.790000915527344
2022-07-25,23.770000457763672
2022-07-26,23.739999771118164
2022-07-27,24.489999771118164
2022-07-28,25.059999465942383
2022-07-29,25.280000686645508
2022-08-01,25.260000228881836
2022-08-02,26.229999542236328
2022-08-03,26.540000915527344
2022-08-04,27.06999969482422
2022-08-05,26.8799991607666
2022-08-08,26.520000457763672
2022-08-09,25.540000915527344
2022-08-10,26.040000915527344
2022-08-11,26.25
2022-08-12,27.540000915527344
2022-08-15,27.90999984741211
2022-08-16,27.93000030517578
2022-08-17,27.670000076293945
2022-08-18,28.649999618530273
2022-08-19,27.860000610351562
2022-08-22,27.360000610351562
2022-08-23,27.6299991607666
2022-08-24,27.81999969482422
2022-08-25,28.389999389648438
2022-08-26,26.329999923706055
2022-08-29,25.850000381469727
2022-08-30,25.729999542236328
2022-08-31,25.790000915527344
2022-09-01,24.56999969482422
2022-09-02,24.68000030517578
2022-09-06,24.59000015258789
2022-09-07,24.68000030517578
2022-09-08,25.06999969482422
2022-09-09,25.540000915527344
2022-09-12,26.239999771118164
2022-09-13,24.8700008392334
2022-09-14,25.34000015258789
2022-09-15,25.1299991607666
2022-09-16,25.290000915527344
2022-09-19,25.549999237060547
2022-09-20,25.559999465942383
2022-09-21,25.3799991607666
2022-09-22,24.940000534057617
2022-09-23,24.6299991607666
2022-09-26,24.850000381469727
2022-09-27,25.440000534057617
2022-09-28,25.940000534057617
2022-09-29,25.770000457763672
2022-09-30,25.420000076293945
2022-10-03,26.649999618530273
2022-10-04,27.43000030517578
2022-10-05,27.90999984741211
2022-10-06,28.170000076293945
2022-10-07,27.360000610351562
2022-10-10,26.530000686645508
2022-10-11,26.450000762939453
2022-10-12,25.969999313354492
2022-10-13,26.59000015258789
2022-10-14,25.850000381469727
2022-10-17,26.450000762939453
2022-10-18,27.059999465942383
2022-10-19,27.209999084472656
2022-10-20,27.520000457763672
2022-10-21,28.489999771118164
2022-10-24,28.93000030517578
2022-10-25,29.229999542236328
2022-10-26,29.049999237060547
2022-10-27,29.479999542236328
2022-10-28,30.040000915527344
2022-10-31,30.15999984741211
2022-11-01,32.83000183105469
2022-11-02,33.40999984741211
2022-11-03,33.9900016784668
2022-11-04,35.290000915527344
2022-11-07,36.56999969482422
2022-11-08,36.290000915527344
2022-11-09,36.06999969482422
2022-11-10,37.470001220703125
2022-11-11,37.4900016784668
2022-11-14,37.65999984741211
2022-11-15,38.43000030517578
2022-11-16,37.38999938964844
2022-11-17,37.29999923706055
2022-11-18,37.61000061035156
2022-11-21,36.97999954223633
2022-11-22,37.25
2022-11-23,37.75
