Date,VLY
2022-02-28,13.970000267028809
2022-03-01,13.180000305175781
2022-03-02,13.899999618530273
2022-03-03,13.920000076293945
2022-03-04,13.359999656677246
2022-03-07,12.90999984741211
2022-03-08,13.180000305175781
2022-03-09,13.4399995803833
2022-03-10,13.449999809265137
2022-03-11,13.510000228881836
2022-03-14,13.4399995803833
2022-03-15,13.539999961853027
2022-03-16,13.869999885559082
2022-03-17,13.720000267028809
2022-03-18,13.510000228881836
2022-03-21,13.529999732971191
2022-03-22,13.630000114440918
2022-03-23,13.050000190734863
2022-03-24,13.199999809265137
2022-03-25,13.489999771118164
2022-03-28,13.449999809265137
2022-03-29,13.680000305175781
2022-03-30,13.170000076293945
2022-03-31,13.020000457763672
2022-04-01,13.039999961853027
2022-04-04,12.800000190734863
2022-04-05,12.619999885559082
2022-04-06,12.479999542236328
2022-04-07,12.329999923706055
2022-04-08,12.270000457763672
2022-04-11,12.369999885559082
2022-04-12,12.270000457763672
2022-04-13,12.479999542236328
2022-04-14,12.359999656677246
2022-04-18,12.380000114440918
2022-04-19,12.800000190734863
2022-04-20,12.880000114440918
2022-04-21,12.770000457763672
2022-04-22,12.430000305175781
2022-04-25,12.399999618530273
2022-04-26,12.010000228881836
2022-04-27,12.220000267028809
2022-04-28,12.359999656677246
2022-04-29,11.979999542236328
2022-05-02,12.0600004196167
2022-05-03,12.0
2022-05-04,12.449999809265137
2022-05-05,12.140000343322754
2022-05-06,11.949999809265137
2022-05-09,11.800000190734863
2022-05-10,11.770000457763672
2022-05-11,11.630000114440918
2022-05-12,11.670000076293945
2022-05-13,11.6899995803833
2022-05-16,11.609999656677246
2022-05-17,12.020000457763672
2022-05-18,11.739999771118164
2022-05-19,11.640000343322754
2022-05-20,11.699999809265137
2022-05-23,12.260000228881836
2022-05-24,12.15999984741211
2022-05-25,12.220000267028809
2022-05-26,12.59000015258789
2022-05-27,12.770000457763672
2022-05-31,12.710000038146973
2022-06-01,12.59000015258789
2022-06-02,12.75
2022-06-03,12.5
2022-06-06,12.34000015258789
2022-06-07,12.390000343322754
2022-06-08,12.010000228881836
2022-06-09,11.529999732971191
2022-06-10,11.140000343322754
2022-06-13,10.729999542236328
2022-06-14,10.699999809265137
2022-06-15,10.800000190734863
2022-06-16,10.34000015258789
2022-06-17,10.550000190734863
2022-06-21,10.569999694824219
2022-06-22,10.609999656677246
2022-06-23,10.449999809265137
2022-06-24,10.520000457763672
2022-06-27,10.670000076293945
2022-06-28,10.569999694824219
2022-06-29,10.5600004196167
2022-06-30,10.40999984741211
2022-07-01,10.59000015258789
2022-07-05,10.539999961853027
2022-07-06,10.420000076293945
2022-07-07,10.569999694824219
2022-07-08,10.539999961853027
2022-07-11,10.5
2022-07-12,10.520000457763672
2022-07-13,10.300000190734863
2022-07-14,10.140000343322754
2022-07-15,10.449999809265137
2022-07-18,10.539999961853027
2022-07-19,10.880000114440918
2022-07-20,11.020000457763672
2022-07-21,11.0
2022-07-22,10.9399995803833
2022-07-25,11.130000114440918
2022-07-26,11.069999694824219
2022-07-27,11.229999542236328
2022-07-28,11.600000381469727
2022-07-29,11.6899995803833
2022-08-01,11.779999732971191
2022-08-02,11.6899995803833
2022-08-03,11.800000190734863
2022-08-04,11.579999923706055
2022-08-05,11.729999542236328
2022-08-08,11.800000190734863
2022-08-09,11.84000015258789
2022-08-10,12.220000267028809
2022-08-11,12.449999809265137
2022-08-12,12.649999618530273
2022-08-15,12.6899995803833
2022-08-16,12.949999809265137
2022-08-17,12.8100004196167
2022-08-18,12.850000381469727
2022-08-19,12.670000076293945
2022-08-22,12.34000015258789
2022-08-23,12.300000190734863
2022-08-24,12.279999732971191
2022-08-25,12.460000038146973
2022-08-26,12.130000114440918
2022-08-29,11.859999656677246
2022-08-30,11.800000190734863
2022-08-31,11.619999885559082
2022-09-01,11.630000114440918
2022-09-02,11.510000228881836
2022-09-06,11.279999732971191
2022-09-07,11.619999885559082
2022-09-08,11.880000114440918
2022-09-09,11.9399995803833
2022-09-12,12.140000343322754
2022-09-13,11.680000305175781
2022-09-14,11.670000076293945
2022-09-15,11.920000076293945
2022-09-16,11.779999732971191
2022-09-19,12.0
2022-09-20,11.899999618530273
2022-09-21,11.720000267028809
2022-09-22,11.40999984741211
2022-09-23,11.239999771118164
2022-09-26,11.119999885559082
2022-09-27,10.90999984741211
2022-09-28,11.119999885559082
2022-09-29,10.899999618530273
2022-09-30,10.800000190734863
2022-10-03,11.210000038146973
2022-10-04,11.609999656677246
2022-10-05,11.5
2022-10-06,11.510000228881836
2022-10-07,11.15999984741211
2022-10-10,11.149999618530273
2022-10-11,11.130000114440918
2022-10-12,11.050000190734863
2022-10-13,11.59000015258789
2022-10-14,11.34000015258789
2022-10-17,11.710000038146973
2022-10-18,11.819999694824219
2022-10-19,11.569999694824219
2022-10-20,10.960000038146973
2022-10-21,11.149999618530273
2022-10-24,11.380000114440918
2022-10-25,11.600000381469727
2022-10-26,11.619999885559082
2022-10-27,11.420000076293945
2022-10-28,11.970000267028809
2022-10-31,11.869999885559082
2022-11-01,11.9399995803833
2022-11-02,11.670000076293945
2022-11-03,11.680000305175781
2022-11-04,12.109999656677246
2022-11-07,12.15999984741211
2022-11-08,12.220000267028809
2022-11-09,12.1899995803833
2022-11-10,12.920000076293945
2022-11-11,12.890000343322754
2022-11-14,12.699999809265137
2022-11-15,12.640000343322754
2022-11-16,12.350000381469727
2022-11-17,12.119999885559082
2022-11-18,12.279999732971191
2022-11-21,12.3100004196167
2022-11-22,12.5600004196167
2022-11-23,12.510000228881836
