Date,SMMT
2022-02-28,2.740000009536743
2022-03-01,3.200000047683716
2022-03-02,3.0399999618530273
2022-03-03,2.869999885559082
2022-03-04,2.759999990463257
2022-03-07,2.8399999141693115
2022-03-08,2.7799999713897705
2022-03-09,3.0999999046325684
2022-03-10,2.9600000381469727
2022-03-11,2.7899999618530273
2022-03-14,2.7799999713897705
2022-03-15,2.7699999809265137
2022-03-16,2.9000000953674316
2022-03-17,3.130000114440918
2022-03-18,3.140000104904175
2022-03-21,3.25
2022-03-22,3.450000047683716
2022-03-23,3.0399999618530273
2022-03-24,3.0399999618530273
2022-03-25,2.8399999141693115
2022-03-28,2.7100000381469727
2022-03-29,2.7200000286102295
2022-03-30,2.5799999237060547
2022-03-31,2.450000047683716
2022-04-01,2.369999885559082
2022-04-04,2.380000114440918
2022-04-05,2.3299999237060547
2022-04-06,2.2899999618530273
2022-04-07,2.2100000381469727
2022-04-08,2.2100000381469727
2022-04-11,2.1700000762939453
2022-04-12,2.200000047683716
2022-04-13,2.2200000286102295
2022-04-14,2.1700000762939453
2022-04-18,2.0799999237060547
2022-04-19,2.059999942779541
2022-04-20,2.069999933242798
2022-04-21,2.049999952316284
2022-04-22,1.9900000095367432
2022-04-25,1.9299999475479126
2022-04-26,1.7699999809265137
2022-04-27,1.7649999856948853
2022-04-28,1.659999966621399
2022-04-29,1.590000033378601
2022-05-02,1.440000057220459
2022-05-03,1.4600000381469727
2022-05-04,1.2999999523162842
2022-05-05,1.2200000286102295
2022-05-06,1.1200000047683716
2022-05-09,1.0800000429153442
2022-05-10,1.1200000047683716
2022-05-11,1.0199999809265137
2022-05-12,1.1799999475479126
2022-05-13,1.1299999952316284
2022-05-16,1.0499999523162842
2022-05-17,1.059999942779541
2022-05-18,1.0099999904632568
2022-05-19,1.0199999809265137
2022-05-20,1.0299999713897705
2022-05-23,0.9660000205039978
2022-05-24,0.9700000286102295
2022-05-25,0.9229999780654907
2022-05-26,0.949999988079071
2022-05-27,1.1100000143051147
2022-05-31,1.3300000429153442
2022-06-01,1.3300000429153442
2022-06-02,1.1799999475479126
2022-06-03,1.1299999952316284
2022-06-06,0.9900000095367432
2022-06-07,1.0199999809265137
2022-06-08,1.0099999904632568
2022-06-09,1.059999942779541
2022-06-10,0.9580000042915344
2022-06-13,0.9350000023841858
2022-06-14,0.9419999718666077
2022-06-15,0.9869999885559082
2022-06-16,0.9850000143051147
2022-06-17,0.9800000190734863
2022-06-21,1.0
2022-06-22,1.0800000429153442
2022-06-23,1.1299999952316284
2022-06-24,1.1399999856948853
2022-06-27,1.0199999809265137
2022-06-28,1.059999942779541
2022-06-29,0.9670000076293945
2022-06-30,1.0
2022-07-01,0.949999988079071
2022-07-05,0.9919999837875366
2022-07-06,0.9990000128746033
2022-07-07,1.0199999809265137
2022-07-08,1.0199999809265137
2022-07-11,1.0
2022-07-12,0.9210000038146973
2022-07-13,0.9520000219345093
2022-07-14,0.9800000190734863
2022-07-15,1.100000023841858
2022-07-18,1.1100000143051147
2022-07-19,1.1200000047683716
2022-07-20,1.1699999570846558
2022-07-21,1.1299999952316284
2022-07-22,1.0700000524520874
2022-07-25,1.0700000524520874
2022-07-26,1.0499999523162842
2022-07-27,1.059999942779541
2022-07-28,1.0199999809265137
2022-07-29,1.0099999904632568
2022-08-01,1.0
2022-08-02,0.9700000286102295
2022-08-03,0.9509999752044678
2022-08-04,0.9399999976158142
2022-08-05,0.890999972820282
2022-08-08,1.0
2022-08-09,0.9660000205039978
2022-08-10,1.0399999618530273
2022-08-11,1.090000033378601
2022-08-12,1.059999942779541
2022-08-15,1.059999942779541
2022-08-16,1.0099999904632568
2022-08-17,0.9819999933242798
2022-08-18,1.0
2022-08-19,1.100000023841858
2022-08-22,1.6299999952316284
2022-08-23,1.5299999713897705
2022-08-24,1.2999999523162842
2022-08-25,1.1799999475479126
2022-08-26,1.2200000286102295
2022-08-29,1.090000033378601
2022-08-30,1.1699999570846558
2022-08-31,1.2000000476837158
2022-09-01,1.2999999523162842
2022-09-02,1.2799999713897705
2022-09-06,1.1100000143051147
2022-09-07,1.1399999856948853
2022-09-08,1.2400000095367432
2022-09-09,1.2899999618530273
2022-09-12,1.3300000429153442
2022-09-13,1.3799999952316284
2022-09-14,1.3200000524520874
2022-09-15,1.3899999856948853
2022-09-16,1.2899999618530273
2022-09-19,1.2200000286102295
2022-09-20,1.350000023841858
2022-09-21,1.2400000095367432
2022-09-22,1.2000000476837158
2022-09-23,1.2200000286102295
2022-09-26,1.2100000381469727
2022-09-27,1.2100000381469727
2022-09-28,1.2100000381469727
2022-09-29,1.149999976158142
2022-09-30,1.190000057220459
2022-10-03,1.2100000381469727
2022-10-04,1.1799999475479126
2022-10-05,1.059999942779541
2022-10-06,1.090000033378601
2022-10-07,1.0199999809265137
2022-10-10,1.1299999952316284
2022-10-11,1.090000033378601
2022-10-12,1.100000023841858
2022-10-13,1.100000023841858
2022-10-14,1.159999966621399
2022-10-17,1.2400000095367432
2022-10-18,1.2400000095367432
2022-10-19,1.2100000381469727
2022-10-20,1.2000000476837158
2022-10-21,1.1200000047683716
2022-10-24,1.0199999809265137
2022-10-25,1.1299999952316284
2022-10-26,1.0700000524520874
2022-10-27,1.1200000047683716
2022-10-28,1.100000023841858
2022-10-31,1.090000033378601
2022-11-01,1.0800000429153442
2022-11-02,1.0800000429153442
2022-11-03,1.0399999618530273
2022-11-04,1.0299999713897705
2022-11-07,1.0499999523162842
2022-11-08,1.0199999809265137
2022-11-09,0.9800000190734863
2022-11-10,1.0
