Date,ILMN
2022-02-28,317.70428466796875
2022-03-01,321.2548522949219
2022-03-02,321.1965026855469
2022-03-03,322.9085693359375
2022-03-04,314.7568054199219
2022-03-07,307.7140197753906
2022-03-08,304.98052978515625
2022-03-09,315.8657531738281
2022-03-10,307.4319152832031
2022-03-11,295.5933837890625
2022-03-14,297.7723693847656
2022-03-15,304.0953369140625
2022-03-16,317.70428466796875
2022-03-17,329.04669189453125
2022-03-18,336.6828918457031
2022-03-21,337.54864501953125
2022-03-22,340.6614685058594
2022-03-23,330.5350341796875
2022-03-24,333.70623779296875
2022-03-25,332.4124450683594
2022-03-28,337.62646484375
2022-03-29,347.6167297363281
2022-03-30,342.45135498046875
2022-03-31,339.8832702636719
2022-04-01,353.9883117675781
2022-04-04,355.5933837890625
2022-04-05,353.9299621582031
2022-04-06,348.7548522949219
2022-04-07,357.9766540527344
2022-04-08,352.8015441894531
2022-04-11,341.7120666503906
2022-04-12,335.20428466796875
2022-04-13,333.998046875
2022-04-14,327.32489013671875
2022-04-18,326.70233154296875
2022-04-19,332.9474792480469
2022-04-20,334.79571533203125
2022-04-21,326.64398193359375
2022-04-22,313.8813171386719
2022-04-25,310.4085693359375
2022-04-26,293.2295837402344
2022-04-27,289.435791015625
2022-04-28,294.8054504394531
2022-04-29,288.5700378417969
2022-05-02,292.6556396484375
2022-05-03,292.5097351074219
2022-05-04,299.29962158203125
2022-05-05,283.7743225097656
2022-05-06,242.26654052734375
2022-05-09,214.6692657470703
2022-05-10,213.686767578125
2022-05-11,207.24708557128906
2022-05-12,211.498046875
2022-05-13,227.1984405517578
2022-05-16,227.37353515625
2022-05-17,236.5953369140625
2022-05-18,233.27821350097656
2022-05-19,234.19261169433594
2022-05-20,236.85797119140625
2022-05-23,238.3949432373047
2022-05-24,233.71595764160156
2022-05-25,235.79766845703125
2022-05-26,236.935791015625
2022-05-27,251.0311279296875
2022-05-31,232.9571990966797
2022-06-01,228.7937774658203
2022-06-02,241.7606964111328
2022-06-03,226.62451171875
2022-06-06,220.42800903320312
2022-06-07,226.72178649902344
2022-06-08,227.1692657470703
2022-06-09,218.3560333251953
2022-06-10,198.62840270996094
2022-06-13,189.01751708984375
2022-06-14,184.2509765625
2022-06-15,188.3560333251953
2022-06-16,182.6556396484375
2022-06-17,182.188720703125
2022-06-21,178.2490234375
2022-06-22,176.63424682617188
2022-06-23,188.27821350097656
2022-06-24,188.64785766601562
2022-06-27,188.0836639404297
2022-06-28,182.3249053955078
2022-06-29,181.35214233398438
2022-06-30,179.33851623535156
2022-07-01,185.83657836914062
2022-07-05,187.7626495361328
2022-07-06,190.06809997558594
2022-07-07,196.69261169433594
2022-07-08,191.67315673828125
2022-07-11,185.1361846923828
2022-07-12,182.86964416503906
2022-07-13,176.24513244628906
2022-07-14,172.40272521972656
2022-07-15,184.05642700195312
2022-07-18,182.188720703125
2022-07-19,189.33851623535156
2022-07-20,195.19454956054688
2022-07-21,201.3618621826172
2022-07-22,196.19650268554688
2022-07-25,194.0758819580078
2022-07-26,193.8618621826172
2022-07-27,201.52723693847656
2022-07-28,207.92800903320312
2022-07-29,210.77821350097656
2022-08-01,209.7373504638672
2022-08-02,213.17120361328125
2022-08-03,217.02334594726562
2022-08-04,219.1439666748047
2022-08-05,217.6750946044922
2022-08-08,216.9066162109375
2022-08-09,208.9494171142578
2022-08-10,221.10894775390625
2022-08-11,221.24513244628906
2022-08-12,202.6556396484375
2022-08-15,220.4182891845703
2022-08-16,213.8424072265625
2022-08-17,207.2178955078125
2022-08-18,203.36575317382812
2022-08-19,197.22763061523438
2022-08-22,190.25291442871094
2022-08-23,189.5330810546875
2022-08-24,205.00973510742188
2022-08-25,211.5953369140625
2022-08-26,199.77626037597656
2022-08-29,204.4552459716797
2022-08-30,199.65953063964844
2022-08-31,196.14785766601562
2022-09-01,195.1556396484375
2022-09-02,190.7295684814453
2022-09-06,195.5447540283203
2022-09-07,200.1459197998047
2022-09-08,201.66342163085938
2022-09-09,204.62062072753906
2022-09-12,206.70233154296875
2022-09-13,193.69650268554688
2022-09-14,191.498046875
2022-09-15,196.4688720703125
2022-09-16,194.435791015625
2022-09-19,193.3949432373047
2022-09-20,189.39688110351562
2022-09-21,192.77236938476562
2022-09-22,188.2198486328125
2022-09-23,185.19454956054688
2022-09-26,179.1050567626953
2022-09-27,181.7509765625
2022-09-28,195.80738830566406
2022-09-29,188.5311279296875
2022-09-30,185.5933837890625
2022-10-03,182.14007568359375
2022-10-04,199.47470092773438
2022-10-05,212.56809997558594
2022-10-06,206.9260711669922
2022-10-07,200.564208984375
2022-10-10,197.9863739013672
2022-10-11,193.73541259765625
2022-10-12,192.86964416503906
2022-10-13,197.12062072753906
2022-10-14,193.89105224609375
2022-10-17,201.4688720703125
2022-10-18,202.99610900878906
2022-10-19,199.15370178222656
2022-10-20,202.9571990966797
2022-10-21,214.01751708984375
2022-10-24,214.562255859375
2022-10-25,223.85214233398438
2022-10-26,230.87548828125
2022-10-27,230.4182891845703
2022-10-28,226.65370178222656
2022-10-31,222.58755493164062
2022-11-01,213.16148376464844
2022-11-02,205.23345947265625
2022-11-03,206.1575927734375
2022-11-04,218.2490234375
2022-11-07,211.27432250976562
2022-11-08,212.10116577148438
2022-11-09,209.97080993652344
2022-11-10,233.5505828857422
2022-11-11,236.12840270996094
2022-11-14,228.18093872070312
2022-11-15,231.99415588378906
2022-11-16,225.47665405273438
2022-11-17,218.56031799316406
2022-11-18,214.5525360107422
2022-11-21,218.30738830566406
2022-11-22,216.11868286132812
2022-11-23,216.0311279296875
2022-11-25,213.02529907226562
2022-11-28,211.001953125
2022-11-29,202.88909912109375
2022-11-30,212.14007568359375
2022-12-01,214.8443603515625
2022-12-02,212.8015594482422
2022-12-05,208.03501892089844
2022-12-06,200.36964416503906
2022-12-07,202.84046936035156
