Date,KRYS
2022-02-28,63.54999923706055
2022-03-01,64.1500015258789
2022-03-02,65.37000274658203
2022-03-03,59.31999969482422
2022-03-04,57.349998474121094
2022-03-07,55.869998931884766
2022-03-08,56.93000030517578
2022-03-09,62.220001220703125
2022-03-10,66.02999877929688
2022-03-11,64.83000183105469
2022-03-14,60.68000030517578
2022-03-15,62.029998779296875
2022-03-16,69.27999877929688
2022-03-17,71.04000091552734
2022-03-18,70.88999938964844
2022-03-21,66.98999786376953
2022-03-22,67.58000183105469
2022-03-23,63.45000076293945
2022-03-24,65.7699966430664
2022-03-25,64.3499984741211
2022-03-28,65.87000274658203
2022-03-29,68.70999908447266
2022-03-30,66.9000015258789
2022-03-31,66.54000091552734
2022-04-01,70.8499984741211
2022-04-04,73.06999969482422
2022-04-05,71.02999877929688
2022-04-06,70.69999694824219
2022-04-07,68.61000061035156
2022-04-08,68.0
2022-04-11,67.77999877929688
2022-04-12,68.48999786376953
2022-04-13,73.47000122070312
2022-04-14,72.48999786376953
2022-04-18,69.5
2022-04-19,72.80999755859375
2022-04-20,72.18000030517578
2022-04-21,69.80000305175781
2022-04-22,69.30999755859375
2022-04-25,69.80999755859375
2022-04-26,65.27999877929688
2022-04-27,64.20999908447266
2022-04-28,62.9900016784668
2022-04-29,60.61000061035156
2022-05-02,63.650001525878906
2022-05-03,63.4900016784668
2022-05-04,66.55999755859375
2022-05-05,62.65999984741211
2022-05-06,56.18000030517578
2022-05-09,49.279998779296875
2022-05-10,53.52000045776367
2022-05-11,48.93000030517578
2022-05-12,50.93000030517578
2022-05-13,56.380001068115234
2022-05-16,56.7400016784668
2022-05-17,59.2400016784668
2022-05-18,54.970001220703125
2022-05-19,56.93000030517578
2022-05-20,59.040000915527344
2022-05-23,57.75
2022-05-24,53.86000061035156
2022-05-25,55.31999969482422
2022-05-26,56.22999954223633
2022-05-27,60.2599983215332
2022-05-31,58.880001068115234
2022-06-01,58.13999938964844
2022-06-02,59.90999984741211
2022-06-03,61.95000076293945
2022-06-06,62.04999923706055
2022-06-07,63.029998779296875
2022-06-08,64.83999633789062
2022-06-09,61.77000045776367
2022-06-10,55.880001068115234
2022-06-13,51.02000045776367
2022-06-14,50.459999084472656
2022-06-15,53.34000015258789
2022-06-16,51.189998626708984
2022-06-17,55.5
2022-06-21,61.060001373291016
2022-06-22,65.22000122070312
2022-06-23,67.94999694824219
2022-06-24,68.5199966430664
2022-06-27,68.08999633789062
2022-06-28,64.8499984741211
2022-06-29,64.66000366210938
2022-06-30,65.66000366210938
2022-07-01,67.47000122070312
2022-07-05,71.3499984741211
2022-07-06,74.7300033569336
2022-07-07,72.30999755859375
2022-07-08,73.08999633789062
2022-07-11,70.48999786376953
2022-07-12,71.11000061035156
2022-07-13,73.19000244140625
2022-07-14,71.72000122070312
2022-07-15,72.41999816894531
2022-07-18,69.7699966430664
2022-07-19,72.80999755859375
2022-07-20,73.69000244140625
2022-07-21,71.25
2022-07-22,69.98999786376953
2022-07-25,71.83999633789062
2022-07-26,72.08999633789062
2022-07-27,74.26000213623047
2022-07-28,73.2300033569336
2022-07-29,72.58000183105469
2022-08-01,69.7699966430664
2022-08-02,72.01000213623047
2022-08-03,73.75
2022-08-04,78.54000091552734
2022-08-05,82.08999633789062
2022-08-08,82.4000015258789
2022-08-09,77.80000305175781
2022-08-10,76.52999877929688
2022-08-11,73.43000030517578
2022-08-12,79.30000305175781
2022-08-15,77.55999755859375
2022-08-16,76.0
2022-08-17,73.93000030517578
2022-08-18,74.41000366210938
2022-08-19,76.2699966430664
2022-08-22,72.27999877929688
2022-08-23,76.33999633789062
2022-08-24,76.80999755859375
2022-08-25,73.08000183105469
2022-08-26,70.31999969482422
2022-08-29,70.27999877929688
2022-08-30,69.3499984741211
2022-08-31,70.11000061035156
2022-09-01,70.8499984741211
2022-09-02,70.72000122070312
2022-09-06,64.8499984741211
2022-09-07,68.06999969482422
2022-09-08,71.25
2022-09-09,70.83999633789062
2022-09-12,71.52999877929688
2022-09-13,68.55000305175781
2022-09-14,70.58000183105469
2022-09-15,71.29000091552734
2022-09-16,68.5199966430664
2022-09-19,69.13999938964844
2022-09-20,70.26000213623047
2022-09-21,69.26000213623047
2022-09-22,70.63999938964844
2022-09-23,67.69000244140625
2022-09-26,67.70999908447266
2022-09-27,69.1500015258789
2022-09-28,70.9000015258789
2022-09-29,70.55999755859375
2022-09-30,69.69999694824219
2022-10-03,69.33000183105469
2022-10-04,71.2300033569336
2022-10-05,69.83000183105469
2022-10-06,69.95999908447266
2022-10-07,66.16999816894531
2022-10-10,63.13999938964844
2022-10-11,63.9900016784668
2022-10-12,66.30999755859375
2022-10-13,68.76000213623047
2022-10-14,66.01000213623047
2022-10-17,68.56999969482422
2022-10-18,69.37000274658203
2022-10-19,68.08000183105469
2022-10-20,68.81999969482422
2022-10-21,69.75
2022-10-24,68.33999633789062
2022-10-25,73.01000213623047
2022-10-26,74.47000122070312
2022-10-27,75.62000274658203
2022-10-28,77.77999877929688
2022-10-31,76.5
2022-11-01,76.91000366210938
2022-11-02,73.9800033569336
2022-11-03,73.12999725341797
2022-11-04,73.20999908447266
2022-11-07,78.05000305175781
2022-11-08,78.87999725341797
2022-11-09,74.19000244140625
2022-11-10,77.5
2022-11-11,76.63999938964844
2022-11-14,77.23999786376953
2022-11-15,77.20999908447266
2022-11-16,75.80999755859375
2022-11-17,76.69999694824219
2022-11-18,77.37000274658203
2022-11-21,76.93000030517578
2022-11-22,77.02999877929688
2022-11-23,77.9000015258789
2022-11-25,78.72000122070312
