Date,PPC
2022-02-28,23.579999923706055
2022-03-01,24.020000457763672
2022-03-02,24.469999313354492
2022-03-03,24.260000228881836
2022-03-04,22.610000610351562
2022-03-07,21.06999969482422
2022-03-08,21.540000915527344
2022-03-09,22.959999084472656
2022-03-10,22.940000534057617
2022-03-11,23.079999923706055
2022-03-14,22.959999084472656
2022-03-15,22.850000381469727
2022-03-16,23.299999237060547
2022-03-17,23.389999389648438
2022-03-18,23.540000915527344
2022-03-21,23.309999465942383
2022-03-22,23.459999084472656
2022-03-23,23.190000534057617
2022-03-24,23.600000381469727
2022-03-25,23.889999389648438
2022-03-28,23.579999923706055
2022-03-29,24.549999237060547
2022-03-30,24.719999313354492
2022-03-31,25.100000381469727
2022-04-01,25.350000381469727
2022-04-04,25.520000457763672
2022-04-05,25.360000610351562
2022-04-06,26.030000686645508
2022-04-07,26.190000534057617
2022-04-08,26.3799991607666
2022-04-11,26.459999084472656
2022-04-12,26.270000457763672
2022-04-13,26.6200008392334
2022-04-14,27.3799991607666
2022-04-18,27.420000076293945
2022-04-19,28.329999923706055
2022-04-20,27.829999923706055
2022-04-21,27.709999084472656
2022-04-22,27.360000610351562
2022-04-25,27.31999969482422
2022-04-26,26.479999542236328
2022-04-27,26.729999542236328
2022-04-28,29.280000686645508
2022-04-29,28.350000381469727
2022-05-02,29.260000228881836
2022-05-03,28.700000762939453
2022-05-04,29.290000915527344
2022-05-05,28.399999618530273
2022-05-06,29.170000076293945
2022-05-09,28.389999389648438
2022-05-10,28.479999542236328
2022-05-11,28.09000015258789
2022-05-12,28.280000686645508
2022-05-13,28.979999542236328
2022-05-16,29.979999542236328
2022-05-17,30.459999084472656
2022-05-18,29.479999542236328
2022-05-19,29.31999969482422
2022-05-20,29.420000076293945
2022-05-23,30.850000381469727
2022-05-24,31.219999313354492
2022-05-25,32.209999084472656
2022-05-26,32.84000015258789
2022-05-27,33.59000015258789
2022-05-31,33.31999969482422
2022-06-01,32.9900016784668
2022-06-02,34.38999938964844
2022-06-03,34.2599983215332
2022-06-06,32.189998626708984
2022-06-07,32.189998626708984
