Date,LSCC
2022-02-28,62.619998931884766
2022-03-01,60.119998931884766
2022-03-02,62.84000015258789
2022-03-03,60.20000076293945
2022-03-04,57.15999984741211
2022-03-07,51.939998626708984
2022-03-08,54.220001220703125
2022-03-09,57.66999816894531
2022-03-10,56.09000015258789
2022-03-11,53.86000061035156
2022-03-14,51.0099983215332
2022-03-15,55.380001068115234
2022-03-16,58.56999969482422
2022-03-17,60.189998626708984
2022-03-18,62.04999923706055
2022-03-21,61.349998474121094
2022-03-22,61.720001220703125
2022-03-23,60.5099983215332
2022-03-24,63.86000061035156
2022-03-25,62.31999969482422
2022-03-28,63.47999954223633
2022-03-29,65.56999969482422
2022-03-30,62.349998474121094
2022-03-31,60.95000076293945
2022-04-01,59.060001373291016
2022-04-04,59.84000015258789
2022-04-05,54.61000061035156
2022-04-06,51.709999084472656
2022-04-07,52.380001068115234
2022-04-08,50.880001068115234
2022-04-11,49.16999816894531
2022-04-12,49.380001068115234
2022-04-13,51.11000061035156
2022-04-14,49.380001068115234
2022-04-18,50.54999923706055
2022-04-19,51.41999816894531
2022-04-20,50.689998626708984
2022-04-21,48.88999938964844
2022-04-22,47.290000915527344
2022-04-25,48.90999984741211
2022-04-26,47.25
2022-04-27,47.02000045776367
2022-04-28,49.650001525878906
2022-04-29,48.040000915527344
2022-05-02,49.630001068115234
2022-05-03,50.25
2022-05-04,53.119998931884766
2022-05-05,48.599998474121094
2022-05-06,47.849998474121094
2022-05-09,44.630001068115234
2022-05-10,46.290000915527344
2022-05-11,44.650001525878906
2022-05-12,46.56999969482422
2022-05-13,49.380001068115234
2022-05-16,47.7599983215332
2022-05-17,50.97999954223633
2022-05-18,48.95000076293945
2022-05-19,49.310001373291016
2022-05-20,49.91999816894531
2022-05-23,48.81999969482422
2022-05-24,47.540000915527344
2022-05-25,48.31999969482422
2022-05-26,50.099998474121094
2022-05-27,52.380001068115234
2022-05-31,52.02000045776367
2022-06-01,51.689998626708984
2022-06-02,54.310001373291016
2022-06-03,52.459999084472656
2022-06-06,52.66999816894531
2022-06-07,54.36000061035156
2022-06-08,51.5
2022-06-09,49.880001068115234
2022-06-10,48.63999938964844
2022-06-13,45.369998931884766
2022-06-14,47.7599983215332
2022-06-15,48.630001068115234
2022-06-16,44.720001220703125
2022-06-17,45.790000915527344
2022-06-21,48.29999923706055
2022-06-22,47.779998779296875
2022-06-23,48.349998474121094
2022-06-24,52.0099983215332
2022-06-27,52.220001220703125
2022-06-28,49.31999969482422
2022-06-29,49.22999954223633
2022-06-30,48.5
2022-07-01,45.279998779296875
2022-07-05,45.529998779296875
2022-07-06,45.95000076293945
2022-07-07,49.0
2022-07-08,49.0099983215332
