Date,AVAV
2022-02-28,71.05000305175781
2022-03-01,71.9800033569336
2022-03-02,72.7699966430664
2022-03-03,72.9800033569336
2022-03-04,74.23999786376953
2022-03-07,80.8499984741211
2022-03-08,75.5999984741211
2022-03-09,76.45999908447266
2022-03-10,77.55000305175781
2022-03-11,75.73999786376953
2022-03-14,73.61000061035156
2022-03-15,74.22000122070312
2022-03-16,81.47000122070312
2022-03-17,93.45999908447266
2022-03-18,93.19000244140625
2022-03-21,95.26000213623047
2022-03-22,97.9000015258789
2022-03-23,95.22000122070312
2022-03-24,99.47000122070312
2022-03-25,99.31999969482422
2022-03-28,96.72000122070312
2022-03-29,92.88999938964844
2022-03-30,94.61000061035156
2022-03-31,94.13999938964844
2022-04-01,94.27999877929688
2022-04-04,97.79000091552734
2022-04-05,97.29000091552734
2022-04-06,100.73999786376953
2022-04-07,104.1500015258789
2022-04-08,103.08999633789062
2022-04-11,107.80000305175781
2022-04-12,108.51000213623047
2022-04-13,109.19000244140625
2022-04-14,109.18000030517578
2022-04-18,107.4800033569336
2022-04-19,104.02999877929688
2022-04-20,100.44999694824219
2022-04-21,91.9000015258789
2022-04-22,86.77999877929688
2022-04-25,86.51000213623047
2022-04-26,83.98999786376953
2022-04-27,81.12000274658203
2022-04-28,81.72000122070312
2022-04-29,80.31999969482422
2022-05-02,85.7300033569336
2022-05-03,86.68000030517578
2022-05-04,91.01000213623047
2022-05-05,84.70999908447266
2022-05-06,81.25
2022-05-09,75.7699966430664
2022-05-10,77.66000366210938
2022-05-11,74.61000061035156
2022-05-12,76.04000091552734
2022-05-13,80.1500015258789
2022-05-16,78.61000061035156
2022-05-17,81.87000274658203
2022-05-18,85.51000213623047
2022-05-19,85.3499984741211
2022-05-20,84.54000091552734
2022-05-23,85.0999984741211
2022-05-24,83.79000091552734
2022-05-25,87.02999877929688
2022-05-26,90.05000305175781
2022-05-27,95.98999786376953
2022-05-31,91.95999908447266
2022-06-01,91.13999938964844
2022-06-02,97.66999816894531
2022-06-03,96.2699966430664
2022-06-06,91.23999786376953
2022-06-07,92.91999816894531
2022-06-08,92.80000305175781
2022-06-09,90.7699966430664
2022-06-10,90.52999877929688
2022-06-13,83.33999633789062
2022-06-14,81.16999816894531
2022-06-15,83.61000061035156
2022-06-16,79.27999877929688
2022-06-17,83.5199966430664
2022-06-21,82.37000274658203
2022-06-22,82.38999938964844
2022-06-23,82.36000061035156
2022-06-24,82.80000305175781
2022-06-27,82.83000183105469
2022-06-28,81.70999908447266
2022-06-29,77.95999908447266
2022-06-30,82.19999694824219
2022-07-01,85.91000366210938
2022-07-05,83.08000183105469
2022-07-06,83.06999969482422
2022-07-07,85.54000091552734
2022-07-08,82.80999755859375
2022-07-11,80.48999786376953
2022-07-12,78.1500015258789
2022-07-13,76.69000244140625
2022-07-14,76.12000274658203
2022-07-15,78.68000030517578
2022-07-18,77.95999908447266
2022-07-19,81.48999786376953
2022-07-20,82.68000030517578
2022-07-21,82.91999816894531
2022-07-22,81.20999908447266
2022-07-25,82.94000244140625
2022-07-26,81.4800033569336
2022-07-27,82.70999908447266
2022-07-28,85.31999969482422
2022-07-29,86.63999938964844
2022-08-01,87.68000030517578
2022-08-02,91.23999786376953
2022-08-03,91.44000244140625
2022-08-04,90.58999633789062
2022-08-05,90.16999816894531
2022-08-08,89.76000213623047
2022-08-09,89.62000274658203
2022-08-10,93.48999786376953
2022-08-11,93.2699966430664
2022-08-12,97.93000030517578
2022-08-15,99.76000213623047
2022-08-16,102.80999755859375
2022-08-17,103.52999877929688
2022-08-18,104.02999877929688
2022-08-19,102.62000274658203
2022-08-22,100.05000305175781
2022-08-23,94.08000183105469
2022-08-24,97.61000061035156
2022-08-25,100.94999694824219
2022-08-26,97.12000274658203
2022-08-29,92.05999755859375
2022-08-30,89.4000015258789
2022-08-31,88.6500015258789
2022-09-01,83.45999908447266
2022-09-02,82.91000366210938
2022-09-06,87.73999786376953
2022-09-07,88.66999816894531
2022-09-08,101.87000274658203
2022-09-09,100.06999969482422
2022-09-12,100.0199966430664
2022-09-13,96.29000091552734
2022-09-14,96.69000244140625
2022-09-15,94.45999908447266
2022-09-16,92.12999725341797
2022-09-19,91.06999969482422
2022-09-20,90.05000305175781
2022-09-21,92.22000122070312
2022-09-22,89.69000244140625
2022-09-23,88.6500015258789
2022-09-26,85.66000366210938
2022-09-27,83.80000305175781
2022-09-28,87.33999633789062
2022-09-29,82.43000030517578
2022-09-30,83.36000061035156
2022-10-03,85.25
2022-10-04,86.97000122070312
2022-10-05,83.37999725341797
2022-10-06,79.1500015258789
2022-10-07,76.83999633789062
2022-10-10,77.13999938964844
2022-10-11,78.91999816894531
2022-10-12,77.26000213623047
2022-10-13,79.55999755859375
2022-10-14,75.58999633789062
2022-10-17,78.73999786376953
2022-10-18,80.0199966430664
2022-10-19,79.20999908447266
2022-10-20,79.45999908447266
2022-10-21,79.73999786376953
2022-10-24,83.31999969482422
2022-10-25,84.75
2022-10-26,83.86000061035156
2022-10-27,88.30000305175781
2022-10-28,90.13999938964844
2022-10-31,91.5
2022-11-01,89.38999938964844
2022-11-02,86.16999816894531
2022-11-03,86.18000030517578
2022-11-04,84.95999908447266
2022-11-07,85.12000274658203
2022-11-08,83.6500015258789
2022-11-09,81.5199966430664
2022-11-10,92.5
2022-11-11,92.93000030517578
2022-11-14,89.5999984741211
2022-11-15,93.7300033569336
2022-11-16,90.76000213623047
2022-11-17,90.51000213623047
2022-11-18,92.7300033569336
2022-11-21,92.69999694824219
2022-11-22,90.55999755859375
