Date,IPAR
2022-02-28,92.87999725341797
2022-03-01,90.02999877929688
2022-03-02,91.31999969482422
2022-03-03,88.16999816894531
2022-03-04,86.08000183105469
2022-03-07,80.47000122070312
2022-03-08,80.47000122070312
2022-03-09,82.58999633789062
2022-03-10,83.20999908447266
2022-03-11,81.0999984741211
2022-03-14,80.22000122070312
2022-03-15,82.75
2022-03-16,84.4000015258789
2022-03-17,84.43000030517578
2022-03-18,86.0
2022-03-21,85.87000274658203
2022-03-22,86.94000244140625
2022-03-23,85.94000244140625
2022-03-24,85.2300033569336
2022-03-25,85.94000244140625
2022-03-28,86.62000274658203
2022-03-29,88.97000122070312
2022-03-30,88.12999725341797
2022-03-31,88.05000305175781
2022-04-01,89.0
2022-04-04,89.44999694824219
2022-04-05,87.23999786376953
2022-04-06,86.66999816894531
2022-04-07,86.56999969482422
2022-04-08,85.44000244140625
2022-04-11,85.62999725341797
2022-04-12,85.20999908447266
2022-04-13,87.12999725341797
2022-04-14,85.93000030517578
2022-04-18,84.06999969482422
2022-04-19,84.75
2022-04-20,84.41999816894531
2022-04-21,84.08000183105469
2022-04-22,81.9000015258789
2022-04-25,82.48999786376953
2022-04-26,79.58000183105469
2022-04-27,81.30000305175781
2022-04-28,82.95999908447266
2022-04-29,81.7300033569336
2022-05-02,82.26000213623047
2022-05-03,80.88999938964844
2022-05-04,81.98999786376953
2022-05-05,79.30999755859375
2022-05-06,80.41000366210938
2022-05-09,78.88999938964844
2022-05-10,78.48999786376953
2022-05-11,68.52999877929688
2022-05-12,72.05999755859375
2022-05-13,73.0
2022-05-16,71.55000305175781
2022-05-17,74.16999816894531
2022-05-18,70.56999969482422
2022-05-19,70.58999633789062
2022-05-20,71.38999938964844
2022-05-23,71.20999908447266
2022-05-24,69.30000305175781
2022-05-25,69.7300033569336
2022-05-26,71.27999877929688
2022-05-27,73.9800033569336
2022-05-31,73.80000305175781
2022-06-01,72.72000122070312
2022-06-02,74.44000244140625
2022-06-03,73.19000244140625
2022-06-06,73.5
2022-06-07,73.93000030517578
2022-06-08,72.69999694824219
2022-06-09,70.70999908447266
