Date,BIIB
2022-02-28,211.00999450683594
2022-03-01,210.33999633789062
2022-03-02,207.7899932861328
2022-03-03,211.22999572753906
2022-03-04,209.4499969482422
2022-03-07,205.77999877929688
2022-03-08,202.00999450683594
2022-03-09,202.27000427246094
2022-03-10,198.63999938964844
2022-03-11,197.6699981689453
2022-03-14,193.77000427246094
2022-03-15,197.36000061035156
2022-03-16,203.8000030517578
2022-03-17,205.32000732421875
2022-03-18,208.57000732421875
2022-03-21,206.80999755859375
2022-03-22,210.9199981689453
2022-03-23,209.6199951171875
2022-03-24,213.00999450683594
2022-03-25,210.97000122070312
2022-03-28,211.67999267578125
2022-03-29,214.9499969482422
2022-03-30,211.02999877929688
2022-03-31,210.60000610351562
2022-04-01,210.64999389648438
2022-04-04,211.63999938964844
2022-04-05,207.61000061035156
2022-04-06,209.7100067138672
2022-04-07,211.63999938964844
2022-04-08,214.75
2022-04-11,210.6199951171875
2022-04-12,208.05999755859375
2022-04-13,213.97999572753906
2022-04-14,212.5500030517578
2022-04-18,212.5399932861328
2022-04-19,223.02000427246094
2022-04-20,220.42999267578125
2022-04-21,218.39999389648438
2022-04-22,209.99000549316406
2022-04-25,214.5399932861328
2022-04-26,206.99000549316406
2022-04-27,206.94000244140625
2022-04-28,210.41000366210938
2022-04-29,207.44000244140625
2022-05-02,207.32000732421875
2022-05-03,205.6999969482422
2022-05-04,210.10000610351562
2022-05-05,201.17999267578125
2022-05-06,193.61000061035156
2022-05-09,187.5399932861328
2022-05-10,195.0
2022-05-11,191.07000732421875
2022-05-12,194.32000732421875
2022-05-13,199.11000061035156
2022-05-16,198.3800048828125
2022-05-17,202.89999389648438
2022-05-18,195.7100067138672
2022-05-19,193.08999633789062
2022-05-20,199.64999389648438
2022-05-23,199.39999389648438
2022-05-24,202.5399932861328
2022-05-25,202.36000061035156
2022-05-26,204.22000122070312
2022-05-27,206.1999969482422
2022-05-31,200.0
2022-06-01,200.0
2022-06-02,198.50999450683594
2022-06-03,200.6199951171875
2022-06-06,197.11000061035156
