Date,BPMC
2022-02-28,60.54999923706055
2022-03-01,61.310001373291016
2022-03-02,61.290000915527344
2022-03-03,58.880001068115234
2022-03-04,57.040000915527344
2022-03-07,54.099998474121094
2022-03-08,55.54999923706055
2022-03-09,58.61000061035156
2022-03-10,57.040000915527344
2022-03-11,57.099998474121094
2022-03-14,55.91999816894531
2022-03-15,58.560001373291016
2022-03-16,60.400001525878906
2022-03-17,62.81999969482422
2022-03-18,65.05999755859375
2022-03-21,63.56999969482422
2022-03-22,66.5
2022-03-23,64.37999725341797
2022-03-24,66.08999633789062
2022-03-25,64.44000244140625
2022-03-28,65.41000366210938
2022-03-29,66.55999755859375
2022-03-30,65.05999755859375
2022-03-31,63.880001068115234
2022-04-01,65.4000015258789
2022-04-04,67.19000244140625
2022-04-05,66.51000213623047
2022-04-06,69.87000274658203
2022-04-07,68.36000061035156
2022-04-08,69.58999633789062
2022-04-11,66.37000274658203
2022-04-12,67.01000213623047
2022-04-13,70.1500015258789
2022-04-14,68.0199966430664
2022-04-18,64.94000244140625
2022-04-19,67.23999786376953
2022-04-20,67.55000305175781
2022-04-21,64.55000305175781
2022-04-22,63.52000045776367
2022-04-25,65.0999984741211
2022-04-26,61.380001068115234
2022-04-27,59.72999954223633
2022-04-28,60.22999954223633
2022-04-29,58.349998474121094
2022-05-02,59.720001220703125
2022-05-03,62.81999969482422
2022-05-04,63.2599983215332
2022-05-05,60.33000183105469
2022-05-06,56.63999938964844
2022-05-09,51.849998474121094
2022-05-10,53.720001220703125
2022-05-11,52.15999984741211
2022-05-12,54.029998779296875
2022-05-13,54.95000076293945
2022-05-16,56.209999084472656
2022-05-17,58.470001220703125
2022-05-18,55.5
2022-05-19,56.959999084472656
2022-05-20,57.369998931884766
2022-05-23,56.90999984741211
2022-05-24,55.33000183105469
2022-05-25,55.939998626708984
2022-05-26,55.36000061035156
2022-05-27,56.290000915527344
2022-05-31,55.0
2022-06-01,56.040000915527344
2022-06-02,56.720001220703125
2022-06-03,59.349998474121094
2022-06-06,57.939998626708984
2022-06-07,62.619998931884766
2022-06-08,64.5
2022-06-09,58.77000045776367
2022-06-10,48.06999969482422
