Date,PCVX
2022-02-28,23.170000076293945
2022-03-01,23.84000015258789
2022-03-02,24.790000915527344
2022-03-03,23.479999542236328
2022-03-04,22.93000030517578
2022-03-07,23.1200008392334
2022-03-08,22.780000686645508
2022-03-09,24.530000686645508
2022-03-10,24.93000030517578
2022-03-11,24.290000915527344
2022-03-14,24.059999465942383
2022-03-15,24.889999389648438
2022-03-16,26.260000228881836
2022-03-17,26.360000610351562
2022-03-18,26.0
2022-03-21,24.729999542236328
2022-03-22,25.260000228881836
2022-03-23,24.270000457763672
2022-03-24,24.469999313354492
2022-03-25,23.959999084472656
2022-03-28,23.559999465942383
2022-03-29,24.739999771118164
2022-03-30,24.06999969482422
2022-03-31,24.149999618530273
2022-04-01,23.809999465942383
2022-04-04,25.5
2022-04-05,25.68000030517578
2022-04-06,26.399999618530273
2022-04-07,26.579999923706055
2022-04-08,25.65999984741211
2022-04-11,24.790000915527344
2022-04-12,24.950000762939453
2022-04-13,25.43000030517578
2022-04-14,24.530000686645508
2022-04-18,23.579999923706055
2022-04-19,23.25
2022-04-20,23.270000457763672
2022-04-21,23.200000762939453
2022-04-22,25.0
2022-04-25,25.799999237060547
2022-04-26,24.899999618530273
2022-04-27,24.3799991607666
2022-04-28,24.360000610351562
2022-04-29,24.209999084472656
2022-05-02,25.100000381469727
2022-05-03,25.899999618530273
2022-05-04,26.299999237060547
2022-05-05,24.559999465942383
2022-05-06,24.270000457763672
2022-05-09,21.40999984741211
2022-05-10,21.510000228881836
2022-05-11,21.510000228881836
2022-05-12,22.09000015258789
2022-05-13,23.530000686645508
2022-05-16,24.540000915527344
2022-05-17,25.270000457763672
2022-05-18,24.030000686645508
2022-05-19,25.31999969482422
2022-05-20,26.219999313354492
2022-05-23,26.559999465942383
2022-05-24,26.200000762939453
2022-05-25,25.6200008392334
2022-05-26,25.860000610351562
2022-05-27,26.09000015258789
2022-05-31,23.989999771118164
2022-06-01,22.700000762939453
2022-06-02,22.0
2022-06-03,21.899999618530273
2022-06-06,19.860000610351562
2022-06-07,19.799999237060547
