Date,RYAAY
2022-02-28,39.899959564208984
2022-03-01,35.61024475097656
2022-03-02,37.24689865112305
2022-03-03,36.21848678588867
2022-03-04,33.46538543701172
2022-03-07,29.65986442565918
2022-03-08,31.032413482666016
2022-03-09,32.637054443359375
2022-03-10,32.12885284423828
2022-03-11,32.0128059387207
2022-03-14,33.34933853149414
2022-03-15,34.28571319580078
2022-03-16,36.19447708129883
2022-03-17,35.60624313354492
2022-03-18,34.701881408691406
2022-03-21,34.433773040771484
2022-03-22,34.757904052734375
2022-03-23,33.74149703979492
2022-03-24,33.72148895263672
2022-03-25,33.3253288269043
2022-03-28,33.93757629394531
2022-03-29,35.122047424316406
2022-03-30,33.65746307373047
2022-03-31,34.86194610595703
2022-04-01,35.45418167114258
2022-04-04,35.67827224731445
2022-04-05,34.7699089050293
2022-04-06,33.8575439453125
2022-04-07,35.13805389404297
2022-04-08,35.058021545410156
2022-04-11,36.370548248291016
2022-04-12,36.61064529418945
2022-04-13,37.8591423034668
2022-04-14,38.367347717285156
2022-04-18,37.75910568237305
2022-04-19,37.8991584777832
2022-04-20,37.354942321777344
2022-04-21,37.72709274291992
2022-04-22,36.45858383178711
2022-04-25,36.566627502441406
2022-04-26,34.96598434448242
2022-04-27,35.682273864746094
2022-04-28,36.21048355102539
2022-04-29,34.941978454589844
2022-05-02,35.02600860595703
2022-05-03,35.4661865234375
2022-05-04,35.47418975830078
2022-05-05,34.41376495361328
2022-05-06,34.19767761230469
2022-05-09,33.313323974609375
2022-05-10,33.17727279663086
2022-05-11,32.78911590576172
2022-05-12,32.11284637451172
2022-05-13,33.21328353881836
2022-05-16,32.42096710205078
2022-05-17,33.86154556274414
2022-05-18,33.20528030395508
2022-05-19,33.90956497192383
2022-05-20,34.36174392700195
2022-05-23,34.77391052246094
2022-05-24,33.961585998535156
2022-05-25,35.022010803222656
2022-05-26,35.6142463684082
2022-05-27,36.2504997253418
2022-05-31,34.893959045410156
2022-06-01,34.29371643066406
2022-06-02,34.90996551513672
2022-06-03,34.19367599487305
2022-06-06,34.629852294921875
2022-06-07,34.41376495361328
2022-06-08,33.369346618652344
2022-06-09,31.884754180908203
2022-06-10,30.564226150512695
2022-06-13,28.01520538330078
2022-06-14,28.055221557617188
2022-06-15,28.559423446655273
2022-06-16,26.64665985107422
2022-06-17,28.419368743896484
2022-06-21,28.427370071411133
2022-06-22,29.207683563232422
2022-06-23,29.05962371826172
2022-06-24,30.024009704589844
2022-06-27,29.171669006347656
2022-06-28,28.311325073242188
2022-06-29,27.815126419067383
2022-06-30,26.910764694213867
2022-07-01,27.47098731994629
2022-07-05,27.358943939208984
2022-07-06,27.122848510742188
2022-07-07,27.254901885986328
2022-07-08,27.14285659790039
2022-07-11,26.482593536376953
2022-07-12,27.050819396972656
2022-07-13,27.182872772216797
2022-07-14,27.006803512573242
2022-07-15,27.61504554748535
2022-07-18,28.123249053955078
2022-07-19,28.85154151916504
2022-07-20,28.915565490722656
2022-07-21,28.94357681274414
2022-07-22,28.39936065673828
2022-07-25,29.715885162353516
2022-07-26,28.523408889770508
2022-07-27,29.367746353149414
2022-07-28,29.28371238708496
2022-07-29,29.211685180664062
2022-08-01,29.611845016479492
2022-08-02,28.65946388244629
2022-08-03,29.491796493530273
2022-08-04,29.679872512817383
2022-08-05,29.611845016479492
2022-08-08,29.823930740356445
2022-08-09,29.18767547607422
2022-08-10,29.92797088623047
2022-08-11,29.86794662475586
2022-08-12,30.088035583496094
2022-08-15,30.352140426635742
2022-08-16,30.77631187438965
2022-08-17,29.907962799072266
2022-08-18,30.112045288085938
2022-08-19,28.72348976135254
2022-08-22,28.215286254882812
2022-08-23,28.951580047607422
2022-08-24,29.239696502685547
2022-08-25,29.491796493530273
2022-08-26,27.91916847229004
2022-08-29,28.187274932861328
2022-08-30,28.93157386779785
2022-08-31,29.095638275146484
2022-09-01,29.039615631103516
2022-09-02,29.119647979736328
2022-09-06,29.103641510009766
2022-09-07,29.555822372436523
2022-09-08,29.13565444946289
2022-09-09,29.711885452270508
2022-09-12,29.7799129486084
2022-09-13,28.94757843017578
2022-09-14,27.503000259399414
2022-09-15,27.883153915405273
2022-09-16,27.214885711669922
2022-09-19,27.8071231842041
2022-09-20,27.08283233642578
2022-09-21,26.2705078125
2022-09-22,25.75029945373535
2022-09-23,25.0100040435791
2022-09-26,24.21368408203125
2022-09-27,23.59343719482422
2022-09-28,23.973588943481445
2022-09-29,23.06122398376465
2022-09-30,23.377351760864258
2022-10-03,23.821529388427734
2022-10-04,25.446178436279297
2022-10-05,25.026010513305664
2022-10-06,24.629852294921875
2022-10-07,23.3813533782959
2022-10-10,23.409364700317383
2022-10-11,22.973188400268555
2022-10-12,22.765106201171875
2022-10-13,23.913564682006836
2022-10-14,24.169668197631836
2022-10-17,24.565826416015625
2022-10-18,25.05802345275879
2022-10-19,25.06602668762207
2022-10-20,24.885953903198242
2022-10-21,25.374149322509766
2022-10-24,25.382152557373047
2022-10-25,26.106443405151367
2022-10-26,26.91876792907715
2022-10-27,27.154861450195312
2022-10-28,27.154861450195312
2022-10-31,27.567026138305664
2022-11-01,27.60704231262207
2022-11-02,26.590635299682617
2022-11-03,26.846738815307617
2022-11-04,27.631052017211914
2022-11-07,28.54741859436035
2022-11-08,29.07162857055664
2022-11-09,29.095638275146484
2022-11-10,30.33213233947754
2022-11-11,31.284513473510742
2022-11-14,30.80031967163086
2022-11-15,30.672269821166992
2022-11-16,29.99599838256836
2022-11-17,29.78391456604004
2022-11-18,29.60384178161621
2022-11-21,30.00800323486328
