Date,IBOC
2022-02-28,43.0099983215332
2022-03-01,40.75
2022-03-02,43.20000076293945
2022-03-03,42.529998779296875
2022-03-04,41.16999816894531
2022-03-07,40.369998931884766
2022-03-08,40.84000015258789
2022-03-09,41.5
2022-03-10,42.18000030517578
2022-03-11,42.77000045776367
2022-03-14,42.95000076293945
2022-03-15,42.709999084472656
2022-03-16,43.529998779296875
2022-03-17,42.83000183105469
2022-03-18,42.869998931884766
2022-03-21,42.790000915527344
2022-03-22,43.40999984741211
2022-03-23,42.5
2022-03-24,42.529998779296875
2022-03-25,43.779998779296875
2022-03-28,43.790000915527344
2022-03-29,44.25
2022-03-30,42.709999084472656
2022-03-31,42.209999084472656
2022-04-01,41.849998474121094
2022-04-04,41.849998474121094
2022-04-05,40.970001220703125
2022-04-06,40.63999938964844
2022-04-07,40.29999923706055
2022-04-08,40.189998626708984
2022-04-11,40.61000061035156
2022-04-12,40.470001220703125
2022-04-13,41.08000183105469
2022-04-14,40.38999938964844
2022-04-18,41.279998779296875
2022-04-19,42.47999954223633
2022-04-20,43.0099983215332
2022-04-21,41.630001068115234
2022-04-22,40.619998931884766
2022-04-25,41.70000076293945
2022-04-26,40.150001525878906
2022-04-27,40.2599983215332
2022-04-28,41.04999923706055
2022-04-29,39.790000915527344
2022-05-02,40.5
2022-05-03,41.09000015258789
2022-05-04,42.369998931884766
2022-05-05,41.27000045776367
2022-05-06,40.380001068115234
2022-05-09,40.810001373291016
2022-05-10,40.41999816894531
2022-05-11,39.7599983215332
2022-05-12,39.66999816894531
2022-05-13,39.720001220703125
2022-05-16,39.68000030517578
2022-05-17,41.189998626708984
2022-05-18,40.29999923706055
2022-05-19,39.63999938964844
2022-05-20,39.95000076293945
2022-05-23,40.439998626708984
2022-05-24,40.2599983215332
2022-05-25,40.790000915527344
2022-05-26,41.2599983215332
2022-05-27,41.83000183105469
2022-05-31,41.93000030517578
2022-06-01,41.7599983215332
2022-06-02,42.77000045776367
2022-06-03,41.95000076293945
2022-06-06,42.459999084472656
2022-06-07,42.779998779296875
2022-06-08,42.15999984741211
2022-06-09,40.279998779296875
2022-06-10,38.54999923706055
2022-06-13,38.9900016784668
2022-06-14,39.529998779296875
2022-06-15,40.08000183105469
2022-06-16,39.0
2022-06-17,39.900001525878906
2022-06-21,40.43000030517578
2022-06-22,40.33000183105469
2022-06-23,40.18000030517578
2022-06-24,41.029998779296875
2022-06-27,41.279998779296875
2022-06-28,40.9900016784668
2022-06-29,39.97999954223633
2022-06-30,40.08000183105469
2022-07-01,40.7400016784668
2022-07-05,40.84000015258789
2022-07-06,40.43000030517578
2022-07-07,40.540000915527344
2022-07-08,40.5
2022-07-11,40.09000015258789
2022-07-12,39.810001373291016
2022-07-13,39.439998626708984
2022-07-14,39.33000183105469
2022-07-15,40.18000030517578
2022-07-18,40.060001373291016
2022-07-19,41.22999954223633
2022-07-20,41.529998779296875
2022-07-21,41.59000015258789
2022-07-22,41.72999954223633
2022-07-25,42.529998779296875
2022-07-26,42.91999816894531
2022-07-27,43.34000015258789
2022-07-28,43.22999954223633
2022-07-29,43.86000061035156
2022-08-01,43.970001220703125
2022-08-02,43.34000015258789
2022-08-03,43.83000183105469
2022-08-04,43.189998626708984
2022-08-05,44.2400016784668
2022-08-08,43.72999954223633
2022-08-09,44.0099983215332
2022-08-10,44.70000076293945
2022-08-11,45.06999969482422
2022-08-12,45.630001068115234
2022-08-15,45.38999938964844
2022-08-16,45.97999954223633
2022-08-17,45.779998779296875
2022-08-18,45.779998779296875
2022-08-19,45.16999816894531
2022-08-22,43.91999816894531
2022-08-23,43.27000045776367
2022-08-24,42.86000061035156
2022-08-25,43.380001068115234
2022-08-26,42.33000183105469
2022-08-29,41.779998779296875
2022-08-30,41.630001068115234
2022-08-31,41.72999954223633
2022-09-01,41.689998626708984
2022-09-02,41.0099983215332
2022-09-06,39.939998626708984
2022-09-07,41.18000030517578
2022-09-08,41.72999954223633
2022-09-09,41.9900016784668
2022-09-12,42.58000183105469
2022-09-13,41.689998626708984
2022-09-14,42.0
2022-09-15,42.66999816894531
2022-09-16,42.79999923706055
2022-09-19,44.06999969482422
2022-09-20,44.52000045776367
2022-09-21,44.560001373291016
2022-09-22,44.47999954223633
2022-09-23,43.45000076293945
2022-09-26,43.119998931884766
2022-09-27,42.099998474121094
2022-09-28,43.47999954223633
2022-09-29,43.18000030517578
2022-09-30,42.5
2022-10-03,43.189998626708984
2022-10-04,44.459999084472656
2022-10-05,44.099998474121094
2022-10-06,44.189998626708984
2022-10-07,43.709999084472656
2022-10-10,44.52000045776367
2022-10-11,43.83000183105469
2022-10-12,44.0099983215332
2022-10-13,46.13999938964844
2022-10-14,45.970001220703125
2022-10-17,46.880001068115234
2022-10-18,47.27000045776367
2022-10-19,47.060001373291016
2022-10-20,46.61000061035156
2022-10-21,47.90999984741211
2022-10-24,48.25
2022-10-25,47.95000076293945
2022-10-26,47.619998931884766
2022-10-27,48.040000915527344
2022-10-28,49.2400016784668
2022-10-31,49.599998474121094
2022-11-01,49.650001525878906
2022-11-02,48.54999923706055
2022-11-03,48.93000030517578
2022-11-04,50.45000076293945
2022-11-07,50.52000045776367
2022-11-08,51.650001525878906
2022-11-09,51.36000061035156
2022-11-10,52.95000076293945
2022-11-11,50.79999923706055
2022-11-14,50.970001220703125
2022-11-15,51.5
2022-11-16,50.790000915527344
2022-11-17,50.869998931884766
2022-11-18,51.130001068115234
2022-11-21,51.16999816894531
2022-11-22,51.97999954223633
2022-11-23,52.08000183105469
2022-11-25,52.56999969482422
