Date,TROW
2022-02-28,144.55999755859375
2022-03-01,139.55999755859375
2022-03-02,142.97999572753906
2022-03-03,142.9199981689453
2022-03-04,138.75
2022-03-07,134.4600067138672
2022-03-08,134.8800048828125
2022-03-09,138.8800048828125
2022-03-10,138.5800018310547
2022-03-11,136.3300018310547
2022-03-14,136.94000244140625
2022-03-15,139.38999938964844
2022-03-16,145.14999389648438
2022-03-17,146.99000549316406
2022-03-18,146.75
2022-03-21,145.6699981689453
2022-03-22,149.44000244140625
2022-03-23,146.42999267578125
2022-03-24,148.77000427246094
2022-03-25,148.9199981689453
2022-03-28,150.27000427246094
2022-03-29,155.0
2022-03-30,153.10000610351562
2022-03-31,151.19000244140625
2022-04-01,152.86000061035156
2022-04-04,155.75999450683594
2022-04-05,154.85000610351562
2022-04-06,148.3800048828125
2022-04-07,146.5
2022-04-08,146.14999389648438
2022-04-11,143.07000732421875
2022-04-12,143.8699951171875
2022-04-13,143.5800018310547
2022-04-14,138.9600067138672
2022-04-18,139.30999755859375
2022-04-19,145.1199951171875
2022-04-20,143.39999389648438
2022-04-21,139.5800018310547
2022-04-22,134.25
2022-04-25,137.19000244140625
2022-04-26,131.4499969482422
2022-04-27,131.05999755859375
2022-04-28,129.36000061035156
2022-04-29,123.04000091552734
2022-05-02,125.27999877929688
2022-05-03,128.61000061035156
2022-05-04,134.75999450683594
2022-05-05,127.3499984741211
2022-05-06,125.83000183105469
2022-05-09,122.44000244140625
2022-05-10,122.9000015258789
2022-05-11,114.77999877929688
2022-05-12,119.23999786376953
2022-05-13,121.95999908447266
2022-05-16,121.08999633789062
2022-05-17,125.66999816894531
2022-05-18,121.30999755859375
2022-05-19,120.12999725341797
2022-05-20,121.77999877929688
2022-05-23,121.30999755859375
2022-05-24,120.33999633789062
2022-05-25,122.98999786376953
2022-05-26,127.7300033569336
2022-05-27,129.88999938964844
2022-05-31,127.08999633789062
2022-06-01,123.88999938964844
2022-06-02,127.08999633789062
2022-06-03,125.05000305175781
2022-06-06,125.31999969482422
2022-06-07,126.11000061035156
2022-06-08,123.1500015258789
2022-06-09,121.20999908447266
2022-06-10,114.8499984741211
2022-06-13,107.9000015258789
2022-06-14,107.68000030517578
2022-06-15,110.06999969482422
2022-06-16,106.08999633789062
2022-06-17,106.68000030517578
2022-06-21,109.88999938964844
2022-06-22,111.33000183105469
2022-06-23,115.0
2022-06-24,121.5
2022-06-27,120.51000213623047
2022-06-28,117.87000274658203
2022-06-29,115.5
2022-06-30,113.61000061035156
2022-07-01,115.30999755859375
2022-07-05,117.08000183105469
2022-07-06,116.81999969482422
2022-07-07,118.91999816894531
2022-07-08,115.95999908447266
2022-07-11,113.0999984741211
2022-07-12,113.7699966430664
2022-07-13,111.52999877929688
2022-07-14,111.62999725341797
2022-07-15,115.37999725341797
2022-07-18,113.69000244140625
2022-07-19,119.05000305175781
2022-07-20,121.0999984741211
2022-07-21,122.68000030517578
2022-07-22,121.08000183105469
2022-07-25,120.2300033569336
2022-07-26,117.12999725341797
2022-07-27,120.44000244140625
2022-07-28,120.77999877929688
2022-07-29,123.47000122070312
2022-08-01,123.41999816894531
2022-08-02,122.63999938964844
2022-08-03,126.70999908447266
2022-08-04,125.18000030517578
2022-08-05,125.04000091552734
2022-08-08,127.7699966430664
2022-08-09,124.66999816894531
2022-08-10,129.8699951171875
2022-08-11,129.50999450683594
2022-08-12,132.25999450683594
2022-08-15,132.08999633789062
2022-08-16,132.13999938964844
2022-08-17,130.3800048828125
2022-08-18,131.77000427246094
2022-08-19,126.41999816894531
2022-08-22,123.7699966430664
2022-08-23,124.44999694824219
2022-08-24,124.81999969482422
2022-08-25,126.38999938964844
2022-08-26,119.68000030517578
2022-08-29,119.01000213623047
2022-08-30,119.43000030517578
2022-08-31,120.0
2022-09-01,119.0
2022-09-02,118.33999633789062
2022-09-06,118.66000366210938
2022-09-07,121.2699966430664
2022-09-08,121.70999908447266
2022-09-09,124.38999938964844
2022-09-12,124.94000244140625
2022-09-13,116.18000030517578
2022-09-14,114.41999816894531
