Date,DRS
2022-02-28,13.09000015258789
2022-03-01,12.960000038146973
2022-03-02,13.289999961853027
2022-03-03,13.0600004196167
2022-03-04,13.359999656677246
2022-03-07,13.649999618530273
2022-03-08,12.9399995803833
2022-03-09,12.850000381469727
2022-03-10,13.25
2022-03-11,13.010000228881836
2022-03-14,12.859999656677246
2022-03-15,13.529999732971191
2022-03-16,13.5
2022-03-17,13.15999984741211
2022-03-18,13.430000305175781
2022-03-21,14.380000114440918
2022-03-22,14.34000015258789
2022-03-23,14.140000343322754
2022-03-24,14.289999961853027
2022-03-25,16.43000030517578
2022-03-28,16.18000030517578
2022-03-29,14.170000076293945
2022-03-30,14.119999885559082
2022-03-31,13.930000305175781
2022-04-01,14.119999885559082
2022-04-04,14.390000343322754
2022-04-05,14.0600004196167
2022-04-06,14.0
2022-04-07,14.140000343322754
2022-04-08,14.130000114440918
2022-04-11,14.369999885559082
2022-04-12,14.609999656677246
2022-04-13,14.970000267028809
2022-04-14,15.0600004196167
2022-04-18,15.920000076293945
2022-04-19,16.059999465942383
2022-04-20,15.899999618530273
2022-04-21,14.869999885559082
2022-04-22,15.010000228881836
2022-04-25,15.050000190734863
2022-04-26,14.9399995803833
2022-04-27,15.119999885559082
2022-04-28,15.260000228881836
2022-04-29,14.739999771118164
2022-05-02,14.979999542236328
2022-05-03,15.550000190734863
2022-05-04,15.449999809265137
2022-05-05,15.039999961853027
2022-05-06,14.770000457763672
2022-05-09,13.710000038146973
2022-05-10,11.989999771118164
2022-05-11,10.75
2022-05-12,10.600000381469727
2022-05-13,10.760000228881836
2022-05-16,10.84000015258789
2022-05-17,11.399999618530273
2022-05-18,11.270000457763672
2022-05-19,11.270000457763672
2022-05-20,11.350000381469727
2022-05-23,11.670000076293945
2022-05-24,11.630000114440918
2022-05-25,11.699999809265137
2022-05-26,11.899999618530273
2022-05-27,12.279999732971191
2022-05-31,12.039999961853027
2022-06-01,11.979999542236328
2022-06-02,12.460000038146973
2022-06-03,12.420000076293945
2022-06-06,12.279999732971191
2022-06-07,12.539999961853027
2022-06-08,12.5
2022-06-09,12.130000114440918
2022-06-10,11.979999542236328
2022-06-13,11.630000114440918
2022-06-14,11.5600004196167
2022-06-15,12.350000381469727
2022-06-16,11.779999732971191
2022-06-17,11.640000343322754
2022-06-21,11.359999656677246
2022-06-22,11.289999961853027
2022-06-23,10.970000267028809
2022-06-24,11.229999542236328
2022-06-27,10.640000343322754
2022-06-28,10.039999961853027
2022-06-29,9.3100004196167
2022-06-30,9.239999771118164
2022-07-01,9.050000190734863
2022-07-05,9.039999961853027
2022-07-06,7.760000228881836
2022-07-07,9.15999984741211
2022-07-08,9.350000381469727
2022-07-11,9.260000228881836
2022-07-12,9.779999732971191
2022-07-13,10.1899995803833
2022-07-14,10.069999694824219
2022-07-15,10.029999732971191
2022-07-18,9.789999961853027
2022-07-19,9.670000076293945
2022-07-20,9.640000343322754
2022-07-21,9.729999542236328
2022-07-22,9.729999542236328
2022-07-25,9.859999656677246
2022-07-26,9.710000038146973
2022-07-27,9.880000114440918
2022-07-28,10.109999656677246
2022-07-29,10.119999885559082
2022-08-01,10.210000038146973
2022-08-02,10.420000076293945
2022-08-03,10.619999885559082
2022-08-04,10.479999542236328
2022-08-05,10.430000305175781
2022-08-08,10.819999694824219
2022-08-09,10.760000228881836
2022-08-10,11.149999618530273
2022-08-11,11.0
2022-08-12,11.1899995803833
2022-08-15,11.199999809265137
2022-08-16,11.069999694824219
2022-08-17,10.770000457763672
2022-08-18,10.699999809265137
2022-08-19,10.600000381469727
2022-08-22,10.329999923706055
2022-08-23,10.329999923706055
2022-08-24,10.479999542236328
2022-08-25,10.539999961853027
2022-08-26,10.40999984741211
2022-08-29,10.300000190734863
2022-08-30,10.25
2022-08-31,10.029999732971191
2022-09-01,9.930000305175781
2022-09-02,10.039999961853027
2022-09-06,9.640000343322754
2022-09-07,9.979999542236328
2022-09-08,9.899999618530273
2022-09-09,10.630000114440918
2022-09-12,11.260000228881836
2022-09-13,10.489999771118164
2022-09-14,10.489999771118164
2022-09-15,10.609999656677246
2022-09-16,10.59000015258789
2022-09-19,10.5600004196167
2022-09-20,10.619999885559082
2022-09-21,10.470000267028809
2022-09-22,10.34000015258789
2022-09-23,10.3100004196167
2022-09-26,10.229999542236328
2022-09-27,10.300000190734863
2022-09-28,10.220000267028809
2022-09-29,9.609999656677246
2022-09-30,9.630000114440918
2022-10-03,9.579999923706055
2022-10-04,10.180000305175781
2022-10-05,10.020000457763672
2022-10-06,10.029999732971191
2022-10-07,9.84000015258789
2022-10-10,9.850000381469727
2022-10-11,9.40999984741211
2022-10-12,9.800000190734863
2022-10-13,9.989999771118164
2022-10-14,10.039999961853027
2022-10-17,10.34000015258789
2022-10-18,10.550000190734863
2022-10-19,10.380000114440918
2022-10-20,10.109999656677246
2022-10-21,10.640000343322754
2022-10-24,10.920000076293945
2022-10-25,11.229999542236328
2022-10-26,10.819999694824219
2022-10-27,10.970000267028809
2022-10-28,11.199999809265137
2022-10-31,11.5
2022-11-01,11.239999771118164
2022-11-02,10.800000190734863
2022-11-03,11.210000038146973
2022-11-04,10.979999542236328
2022-11-07,10.600000381469727
2022-11-08,10.479999542236328
2022-11-09,10.329999923706055
2022-11-10,10.029999732971191
2022-11-11,9.819999694824219
2022-11-14,9.600000381469727
2022-11-15,9.899999618530273
2022-11-16,9.630000114440918
2022-11-17,9.550000190734863
2022-11-18,9.65999984741211
2022-11-21,10.020000457763672
2022-11-22,10.109999656677246
2022-11-23,9.90999984741211
