Date,PODD
2022-02-28,264.69000244140625
2022-03-01,260.8399963378906
2022-03-02,270.7099914550781
2022-03-03,265.3900146484375
2022-03-04,261.7099914550781
2022-03-07,261.8599853515625
2022-03-08,248.3000030517578
2022-03-09,249.3699951171875
2022-03-10,234.92999267578125
2022-03-11,223.25999450683594
2022-03-14,211.9600067138672
2022-03-15,216.07000732421875
2022-03-16,238.63999938964844
2022-03-17,248.27000427246094
2022-03-18,260.0299987792969
2022-03-21,253.41000366210938
2022-03-22,250.0
2022-03-23,243.11000061035156
2022-03-24,251.61000061035156
2022-03-25,251.94000244140625
2022-03-28,253.42999267578125
2022-03-29,260.6199951171875
2022-03-30,263.6499938964844
2022-03-31,266.3900146484375
2022-04-01,279.0199890136719
2022-04-04,270.92999267578125
2022-04-05,270.6499938964844
2022-04-06,267.2799987792969
2022-04-07,267.510009765625
2022-04-08,267.6300048828125
2022-04-11,258.1400146484375
2022-04-12,253.60000610351562
2022-04-13,265.2799987792969
2022-04-14,263.5
2022-04-18,257.0
2022-04-19,270.8299865722656
2022-04-20,273.2099914550781
2022-04-21,261.95001220703125
2022-04-22,249.3800048828125
2022-04-25,251.38999938964844
2022-04-26,240.2899932861328
2022-04-27,234.52000427246094
2022-04-28,237.9600067138672
2022-04-29,238.99000549316406
2022-05-02,247.1699981689453
2022-05-03,238.8699951171875
2022-05-04,247.00999450683594
2022-05-05,226.91000366210938
2022-05-06,205.57000732421875
2022-05-09,191.4600067138672
2022-05-10,190.24000549316406
2022-05-11,186.39999389648438
2022-05-12,189.02999877929688
2022-05-13,199.05999755859375
2022-05-16,196.91000366210938
2022-05-17,200.02999877929688
2022-05-18,190.02999877929688
2022-05-19,194.74000549316406
2022-05-20,198.72000122070312
2022-05-23,202.85000610351562
2022-05-24,217.8300018310547
2022-05-25,221.64999389648438
2022-05-26,229.05999755859375
2022-05-27,235.2100067138672
2022-05-31,213.47999572753906
2022-06-01,207.3800048828125
2022-06-02,213.88999938964844
2022-06-03,212.57000732421875
2022-06-06,212.02000427246094
2022-06-07,219.88999938964844
2022-06-08,219.41000366210938
2022-06-09,219.30999755859375
2022-06-10,221.2100067138672
2022-06-13,203.5
2022-06-14,205.5500030517578
2022-06-15,204.2899932861328
2022-06-16,198.3300018310547
2022-06-17,200.8000030517578
2022-06-21,204.77000427246094
2022-06-22,207.92999267578125
2022-06-23,218.97000122070312
2022-06-24,227.72999572753906
2022-06-27,228.2100067138672
2022-06-28,226.2100067138672
2022-06-29,221.94000244140625
2022-06-30,217.94000244140625
2022-07-01,226.4600067138672
2022-07-05,231.67999267578125
2022-07-06,230.32000732421875
2022-07-07,235.11000061035156
2022-07-08,235.50999450683594
2022-07-11,230.82000732421875
2022-07-12,224.60000610351562
2022-07-13,226.5500030517578
2022-07-14,227.47000122070312
2022-07-15,232.27999877929688
2022-07-18,225.3699951171875
2022-07-19,231.2100067138672
2022-07-20,236.97999572753906
2022-07-21,244.33999633789062
2022-07-22,240.63999938964844
2022-07-25,240.5800018310547
2022-07-26,239.5
2022-07-27,243.61000061035156
2022-07-28,247.47000122070312
2022-07-29,247.8000030517578
2022-08-01,245.67999267578125
2022-08-02,257.05999755859375
2022-08-03,260.8500061035156
2022-08-04,256.010009765625
2022-08-05,267.04998779296875
2022-08-08,263.05999755859375
2022-08-09,258.67999267578125
2022-08-10,262.489990234375
2022-08-11,264.0799865722656
2022-08-12,270.70001220703125
2022-08-15,270.6400146484375
2022-08-16,268.6099853515625
2022-08-17,266.6000061035156
2022-08-18,271.32000732421875
2022-08-19,267.4200134277344
2022-08-22,261.8900146484375
2022-08-23,259.8800048828125
2022-08-24,273.70001220703125
2022-08-25,282.8599853515625
2022-08-26,267.1700134277344
2022-08-29,263.7799987792969
2022-08-30,258.2200012207031
2022-08-31,255.47000122070312
2022-09-01,259.5299987792969
2022-09-02,254.35000610351562
2022-09-06,249.7899932861328
2022-09-07,262.8399963378906
2022-09-08,269.6300048828125
2022-09-09,268.9100036621094
2022-09-12,268.0
2022-09-13,252.72000122070312
2022-09-14,263.6000061035156
2022-09-15,259.1400146484375
2022-09-16,255.0
2022-09-19,254.63999938964844
2022-09-20,255.0399932861328
2022-09-21,250.38999938964844
2022-09-22,241.25
2022-09-23,234.19000244140625
2022-09-26,231.58999633789062
2022-09-27,230.58999633789062
2022-09-28,236.13999938964844
